"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map05204","Chemical carcinogenesis - DNA adducts","",7,27,0.0231023102310231,2.17675100843418,0.0341856143058489,"Mycgr3G105101;Mycgr3G54449;Mycgr3G100643;Mycgr3G109704;Mycgr3G105887;Mycgr3G67035;Mycgr3G103891",0.30767052875264
"map00290","Valine, leucine and isoleucine biosynthesis","",6,22,0.0198019801980198,2.28982898289829,0.0387095501826096,"Mycgr3G109538;Mycgr3G43729;Mycgr3G99408;Mycgr3G103221;Mycgr3G36032;Mycgr3G40731",0.331394673860201
"map00660","C5-Branched dibasic acid metabolism","",3,7,0.0099009900990099,3.5983026874116,0.0406037292945155,"Mycgr3G43729;Mycgr3G103221;Mycgr3G40731",0.331394673860201
"map00561","Glycerolipid metabolism","",9,40,0.0297029702970297,1.88910891089109,0.0412402260803806,"Mycgr3G54399;Mycgr3G73758;Mycgr3G107208;Mycgr3G41900;Mycgr3G76425;Mycgr3G41337;Mycgr3G109704;Mycgr3G48122;Mycgr3G31826",0.331394673860201
"map00071","Fatty acid degradation","",8,36,0.0264026402640264,1.86578657865787,0.0564109058545744,"Mycgr3G32667;Mycgr3G54449;Mycgr3G67342;Mycgr3G70343;Mycgr3G41337;Mycgr3G109704;Mycgr3G48122;Mycgr3G60749",0.417377041686976
"map00621","Dioxin degradation","",3,8,0.0099009900990099,3.14851485148515,0.0593602903732588,"Mycgr3G75791;Mycgr3G16314;Mycgr3G111077",0.417377041686976
"map00624","Polycyclic aromatic hydrocarbon degradation","",3,8,0.0099009900990099,3.14851485148515,0.0593602903732588,"Mycgr3G75791;Mycgr3G16314;Mycgr3G111077",0.417377041686976
"map00981","Insect hormone biosynthesis","",3,8,0.0099009900990099,3.14851485148515,0.0593602903732588,"Mycgr3G41337;Mycgr3G109704;Mycgr3G48122",0.417377041686976
"map04723","Retrograde endocannabinoid signaling","",8,38,0.0264026402640264,1.76758728504429,0.0740436250406787,"Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G99503;Mycgr3G101715;Mycgr3G76276;Mycgr3G110313;Mycgr3G67035",0.504842898004627
"map00250","Alanine, aspartate and glutamate metabolism","",7,32,0.0231023102310231,1.83663366336634,0.0774581805191035,"Mycgr3G68234;Mycgr3G110982;Mycgr3G56782;Mycgr3G64379;Mycgr3G72635;Mycgr3G67317;Mycgr3G100271",0.50881618974109
"map01200","Carbon metabolism","",20,122,0.066006600660066,1.37639993507547,0.0813358168227793,"Mycgr3G106055;Mycgr3G87443;Mycgr3G32667;Mycgr3G54399;Mycgr3G107202;Mycgr3G76530;Mycgr3G53658;Mycgr3G41900;Mycgr3G88803;Mycgr3G54449;Mycgr3G100493;Mycgr3G76425;Mycgr3G108333;Mycgr3G74581;Mycgr3G110012;Mycgr3G74146;Mycgr3G41530;Mycgr3G102083;Mycgr3G72883;Mycgr3G100271",0.50881618974109
