"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map05225","Hepatocellular carcinoma","",5,32,0.0179856115107914,1.34217625899281,0.313465924101879,"Mycgr3G105101;Mycgr3G100643;Mycgr3G66791;Mycgr3G105887;Mycgr3G59862",0.999460849422621
"map00830","Retinol metabolism","",2,10,0.00719424460431655,1.71798561151079,0.327824370630331,"Mycgr3G54449;Mycgr3G60749",0.999460849422621
"map00410","beta-Alanine metabolism","",4,25,0.0143884892086331,1.37438848920863,0.330864717394013,"Mycgr3G68234;Mycgr3G109704;Mycgr3G72635;Mycgr3G41337",0.999460849422621
"map00051","Fructose and mannose metabolism","",5,33,0.0179856115107914,1.30150425114454,0.337644653461835,"Mycgr3G92097;Mycgr3G54399;Mycgr3G41900;Mycgr3G76425;Mycgr3G41530",0.999460849422621
"map00220","Arginine biosynthesis","",3,18,0.0107913669064748,1.43165467625899,0.350440560628566,"Mycgr3G64379;Mycgr3G85598;Mycgr3G100271",0.999460849422621
"map05205","Proteoglycans in cancer","",4,26,0.0143884892086331,1.32152739346984,0.358753224481199,"Mycgr3G36977;Mycgr3G84295;Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00010","Glycolysis / Gluconeogenesis","",7,50,0.0251798561151079,1.20258992805755,0.362351176950189,"Mycgr3G54449;Mycgr3G109704;Mycgr3G41337;Mycgr3G60749;Mycgr3G70497;Mycgr3G41530;Mycgr3G31826",0.999460849422621
"map00300","Lysine biosynthesis","",2,11,0.00719424460431655,1.56180510137345,0.372419422102846,"Mycgr3G68535;Mycgr3G88201",0.999460849422621
"map00450","Selenocompound metabolism","",2,11,0.00719424460431655,1.56180510137345,0.372419422102846,"Mycgr3G104491;Mycgr3G98380",0.999460849422621
"map05223","Non-small cell lung cancer","",2,11,0.00719424460431655,1.56180510137345,0.372419422102846,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map04510","Focal adhesion","",3,19,0.0107913669064748,1.3563044301401,0.38389177731697,"Mycgr3G84295;Mycgr3G49181;Mycgr3G65163",0.999460849422621
"map05160","Hepatitis C","",3,19,0.0107913669064748,1.3563044301401,0.38389177731697,"Mycgr3G63945;Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00230","Purine metabolism","",14,109,0.0503597122302158,1.10329351197941,0.389331596358058,"Mycgr3G73125;Mycgr3G56200;Mycgr3G70045;Mycgr3G109020;Mycgr3G87000;Mycgr3G43980;Mycgr3G76469;Mycgr3G108426;Mycgr3G85598;Mycgr3G64857;Mycgr3G109769;Mycgr3G109462;Mycgr3G101192;Mycgr3G99627",0.999460849422621
"map00052","Galactose metabolism","",4,28,0.0143884892086331,1.22713257965057,0.414336297557444,"Mycgr3G32466;Mycgr3G41016;Mycgr3G50133;Mycgr3G12051",0.999460849422621
"map04810","Regulation of actin cytoskeleton","",4,28,0.0143884892086331,1.22713257965057,0.414336297557444,"Mycgr3G84295;Mycgr3G49181;Mycgr3G34487;Mycgr3G59862",0.999460849422621
"map00053","Ascorbate and aldarate metabolism","",2,12,0.00719424460431655,1.43165467625899,0.415778119392762,"Mycgr3G109704;Mycgr3G41337",0.999460849422621
"map05213","Endometrial cancer","",2,12,0.00719424460431655,1.43165467625899,0.415778119392762,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map05215","Prostate cancer","",2,12,0.00719424460431655,1.43165467625899,0.415778119392762,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00860","Porphyrin metabolism","",3,20,0.0107913669064748,1.28848920863309,0.41693848620791,"Mycgr3G39840;Mycgr3G105601;Mycgr3G108472",0.999460849422621
"map05167","Kaposi sarcoma-associated herpesvirus infection","",3,20,0.0107913669064748,1.28848920863309,0.41693848620791,"Mycgr3G100120;Mycgr3G67035;Mycgr3G59862",0.999460849422621
"map00650","Butanoate metabolism","",4,29,0.0143884892086331,1.18481766311089,0.441772290830071,"Mycgr3G68234;Mycgr3G99631;Mycgr3G32667;Mycgr3G72635",0.999460849422621
"map04664","Fc epsilon RI signaling pathway","",2,13,0.00719424460431655,1.32152739346984,0.457584025870642,"Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map04933","AGE-RAGE signaling pathway in diabetic complications","",2,13,0.00719424460431655,1.32152739346984,0.457584025870642,"Mycgr3G49181;Mycgr3G59862",0.999460849422621
"map05162","Measles","",2,13,0.00719424460431655,1.32152739346984,0.457584025870642,"Mycgr3G72449;Mycgr3G65878",0.999460849422621
"map00140","Steroid hormone biosynthesis","",1,5,0.00359712230215827,1.71798561151079,0.461729314208782,"Mycgr3G42395",0.999460849422621
"map04913","Ovarian steroidogenesis","",1,5,0.00359712230215827,1.71798561151079,0.461729314208782,"Mycgr3G67035",0.999460849422621
"map04975","Fat digestion and absorption","",1,5,0.00359712230215827,1.71798561151079,0.461729314208782,"Mycgr3G73758",0.999460849422621
"map05216","Thyroid cancer","",1,5,0.00359712230215827,1.71798561151079,0.461729314208782,"Mycgr3G59862",0.999460849422621
"map05200","Pathways in cancer","",7,55,0.0251798561151079,1.09326357096141,0.462567260675688,"Mycgr3G100120;Mycgr3G105101;Mycgr3G100643;Mycgr3G69921;Mycgr3G67035;Mycgr3G105887;Mycgr3G59862",0.999460849422621
"map00900","Terpenoid backbone biosynthesis","",3,22,0.0107913669064748,1.17135382603009,0.481096005470419,"Mycgr3G32667;Mycgr3G23211;Mycgr3G69467",0.999460849422621
"map00020","Citrate cycle (TCA cycle)","",4,31,0.0143884892086331,1.10837781387793,0.495379977297312,"Mycgr3G106055;Mycgr3G53658;Mycgr3G74581;Mycgr3G74146",0.999460849422621
"map00362","Benzoate degradation","",2,14,0.00719424460431655,1.22713257965057,0.497610614293867,"Mycgr3G32667;Mycgr3G43103",0.999460849422621
"map00720","Other carbon fixation pathways","",2,14,0.00719424460431655,1.22713257965057,0.497610614293867,"Mycgr3G106055;Mycgr3G32667",0.999460849422621
"map05130","Pathogenic Escherichia coli infection","",2,14,0.00719424460431655,1.22713257965057,0.497610614293867,"Mycgr3G102491;Mycgr3G110267",0.999460849422621
"map00350","Tyrosine metabolism","",5,40,0.0179856115107914,1.07374100719424,0.505812894132831,"Mycgr3G54449;Mycgr3G109704;Mycgr3G60749;Mycgr3G100271;Mycgr3G98857",0.999460849422621
"map04068","FoxO signaling pathway","",3,23,0.0107913669064748,1.12042539881139,0.511916125754039,"Mycgr3G68512;Mycgr3G59862;Mycgr3G65163",0.999460849422621
"map00620","Pyruvate metabolism","",6,49,0.0215827338129496,1.05182792541477,0.5141587965923,"Mycgr3G32667;Mycgr3G68078;Mycgr3G109704;Mycgr3G41337;Mycgr3G74796;Mycgr3G67892",0.999460849422621
"map00621","Dioxin degradation","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G111077",0.999460849422621
"map00624","Polycyclic aromatic hydrocarbon degradation","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G111077",0.999460849422621
"map00960","Tropane, piperidine and pyridine alkaloid biosynthesis","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G100271",0.999460849422621
"map04320","Dorso-ventral axis formation","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G59862",0.999460849422621
"map04911","Insulin secretion","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G70478",0.999460849422621
"map04979","Cholesterol metabolism","",1,6,0.00359712230215827,1.43165467625899,0.524523796227228,"Mycgr3G41169",0.999460849422621
