"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
15,3,"C3","S",0,0.2,0.0569020212389873,0.00025604530499029,0.999621012804384,0.0266732856711266,3137,0.0569020212389873,0,736.2,3882.3,4.97,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
15,3,"C4","S",0,0.2,0.056480722856084,0.000234094960517096,0.999568678584523,0.0300321019251806,3303,0.056480722856084,0,569.8,3882.3,5.24,"manual (03_trim_selector.R)",FALSE,FALSE,-0.09,FALSE
15,3,"C5","S",0,0.2,0.0555680064217921,0.000220060328274851,0.99955331560421,0.0286270522458536,3336,0.0555680064217921,0,536.3,3882.3,4.9,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,3,"B1","P2",2,0,0.0204596235569461,0.000534265437852878,0.998642733974807,0.0372211469863202,3453,0.0204596235569461,0,418.8,3882.3,3.41,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,3,"B2","P2",2,0,0.0296513457019565,0.00043527682810348,0.998943196451287,0.0367708746201418,3458,0.0296513457019565,0,414.1,3882.3,3.95,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,3,"B3","P2",2,0,0.0216734599521468,0.00050372613937855,0.998612175420217,0.0360229024255374,3402,0.0216734599521468,0,466.2,3879.2,3.22,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,3,"D1","P2S",2,0.2,0.0209298390454797,0.000355115985882527,0.997925875719257,0.0305766312846238,3420,0.0209298390454797,0,452,3882.3,2.29,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,3,"D2","P2S",2,0.2,0.0252543556122549,0.000399625203657527,0.998213735322709,0.0355015908998963,3349,0.0252543556122549,0,523,3882.3,2.9,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,3,"D3","P2S",2,0.2,0.0300291125334669,0.000427734978973294,0.998843942707252,0.038051386167302,3447,0.0300291125334669,0,421.5,3879.2,3.81,"manual (03_trim_selector.R)",FALSE,FALSE,-0.08,FALSE
15,3,"B4","P4",4,0,0.0234850296207849,0.000434147203175904,0.998669589902743,0.0321966723136257,3397,0.0234850296207849,0,470.9,3879.2,2.97,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,3,"B5","P4",4,0,0.0220199283112245,0.000484151816596634,0.998997690023737,0.0273187264168632,3236,0.0220199283112245,0,636.7,3882.3,2.9,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,3,"B6","P4",4,0,0.0215001310647114,0.000391293356222989,0.998508511522754,0.0268363180341462,3260,0.0215001310647114,0,613,3882.3,2.32,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,3,"D4","P4S",4,0.2,0.0235108297908641,0.000382249208268864,0.998021546050052,0.0347015763944073,3402,0.0235108297908641,0,466.2,3879.2,2.66,"manual (03_trim_selector.R)",FALSE,FALSE,-0.04,FALSE
15,3,"D5","P4S",4,0.2,0.0300987159234442,0.000368100837605191,0.998611983834958,0.0353123546910734,3416,0.0300987159234442,0,452,3879.2,3.22,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,3,"D6","P4S",4,0.2,0.024437767034879,0.000370478242780142,0.998318713977302,0.0289076361421758,3216,0.024437767034879,0,584.6,3810.7,2.42,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
27,1,"A1","V",0,0,0.0670405071668125,0.00111793919930812,0.998863094397931,0.0776996218458749,1989,0.0783413874544531,12,398.4,2392.4,7.84815533980586,"manual (03_trim_selector.R)",FALSE,FALSE,1.39,FALSE
27,1,"A2","V",0,0,0.0560392376857043,0.00114932960532849,0.998191936897283,0.0790181564098041,1977,0.0597529245591584,12,399.4,2381.4,6.16751733703191,"manual (03_trim_selector.R)",FALSE,FALSE,-0.03,FALSE
