"temp","dose_mM","culture","r_raw","r_dn_2h","r_dn_4h","r_dn_12h","pct_change_2h","pct_change_4h","pct_change_12h"
15,0.2,1,0.0407721044423419,0.0406260308963776,0.040408507543913,0.038952657298661,-0.358268350290369,-0.891778590783943,-4.46248033690256
15,0.2,2,0.0439834624422029,0.0439181028751058,0.0437223694734565,0.0420089346532726,-0.148600322639458,-0.593616223573834,-4.48925045754407
15,0.2,3,0.0403078994480838,0.0402911169054561,0.0401932536749778,0.0401375697390614,-0.0416358650724646,-0.28442507467723,-0.422571534003591
15,0.35,1,0.033546528997024,0.0335413923953587,0.0335040935891363,0.032909770525893,-0.0153118722526657,-0.126497164256445,-1.89813518765959
15,0.35,2,0.032136153656816,0.0321350430457408,0.0319688797700185,0.0306728951568812,-0.00345595520583331,-0.520516202977706,-4.55330938344731
15,0.35,3,0.0349442849008953,0.0349657737913052,0.0348557756630806,0.0339487792941349,0.0614947207269401,-0.253286733626934,-2.84883668269005
27,0,1,0.0617215926244246,0.0588933142014732,0.056274724837539,0.0508277696281176,-4.58231601404301,-8.82489831399811,-17.6499382681129
27,0,2,0.0281878232035523,0.0280282319393021,0.02793268639009,0.0272396769722617,-0.566170942316802,-0.905131310140039,-3.36367311673447
27,0,3,0.0429812409591306,0.0426334560067298,0.0423040401029642,0.0382363386339629,-0.809155214321111,-1.57557306642278,-11.039472614761
27,0.0125,1,0.0462233065231664,0.0468582917889196,0.0461558999049819,0.0397838697134236,1.37373397429925,-0.145828204978649,-13.9311470643397
27,0.0125,2,0.0343801996872824,0.0341753655494033,0.0340541938832836,0.0313007335146367,-0.595791006865076,-0.948237086940051,-8.95709216542129
27,0.0125,3,0.0259639904610885,0.0263150275941452,0.0266241057559697,0.0249590948413315,1.35201533671332,2.54242619550511,-3.87034351003572
27,0.025,1,0.0472506981714751,0.0477916174974557,0.049765284913763,0.0448300488308,1.14478589081917,5.32179806774984,-5.12299168975329
27,0.025,2,0.0396823043607892,0.0391025268436726,0.0380207802307313,0.0335136372573123,-1.46104800730646,-4.18706563749772,-15.5451332850827
27,0.025,3,0.0390965986580081,0.0382878275411685,0.0377812637639682,0.0355206982764867,-2.06864828297255,-3.36432052707591,-9.14632091860734
27,0.05,1,0.0574708971060613,0.0523983674952631,0.0490828459513125,0.0408267057171527,-8.82625792570617,-14.595302278419,-28.9610780882575
27,0.05,2,0.0140666856278965,0.0141400091508849,0.0141447983463211,0.0135204263133374,0.521256569799378,0.555302936959623,-3.88335482152051
27,0.05,3,0.0315647867976193,0.0310907240737795,0.0313088716009778,0.0298126462504142,-1.50187209208582,-0.810761682891581,-5.55093420538253
27,0.1,1,0.0171566109299447,0.0164383291723675,0.0151393397984422,0.00990970632422301,-4.18661797781671,-11.7579814553091,-42.2397210924281
27,0.1,2,0.0240225966415842,0.0215591393655553,0.0194316861608369,0.0159484711837749,-10.2547501953414,-19.1108003403773,-33.6105441816917
27,0.1,3,0.0155081640085821,0.0145303765384992,0.0128766383796232,0.00985910923463911,-6.30498535830464,-16.9686471429027,-36.4263285506709
27,0.2,1,0.0236496279480114,0.0246101243276112,0.0261970738898051,0.0290255865768403,4.06135936561547,10.771611068866,22.7316837315443
27,0.2,2,0.0162684998868476,0.0157744548724584,0.0150862431730231,0.0164951207601282,-3.03681973030979,-7.26715260809176,1.39300411750842
27,0.2,3,0.0201828398534022,0.0210021681580813,0.0218495681850902,0.0239786518695513,4.05952933596239,8.25814575052009,18.8071254774849
27,0.35,1,0.00991334499468745,0.00990699149024987,0.0102865975170248,0.0126436606018064,-0.0640904199438297,3.76515215134146,27.541819724645
27,0.35,2,6e-05,6e-05,6e-05,6e-05,0,0,0
27,0.35,3,0.00512638315966455,0.00480710499452304,0.00404497985365302,0.000625185111748578,-6.22813697683903,-21.0948591303171,-87.8045574769427
