T,Dose,Replicate,r,K,O2_0,T_end_min
18,0.06,R2,6.811695966669523e-4,4.94856984628749e-4,7.861941289060439,2847
18,0.06,R3,7.305514255130219e-4,3.281908630258833e-4,8.027766502457544,3297
18,0.12,R1,6.773803019822551e-4,2.807767491067061e-4,8.089076724322666,3495
18,0.12,R2,6.982142235496432e-4,4.0010298620193186e-4,8.820977044852576,3149
18,0.12,R3,7.796976771184475e-4,3.9030969408329516e-4,8.512001589234675,2984
18,0.25,R1,6.070424206751309e-4,4.29473998134871e-4,8.657643008908048,3200
18,0.25,R2,6.42088262333904e-4,4.86763795438701e-4,8.36317595621484,3096
18,0.25,R3,6.915674077944144e-4,4.013669887520499e-4,8.747290001475978,3212
18,0.5,R1,6.192500134286009e-4,3.3835967904650885e-4,8.218733695822383,3433
18,0.5,R2,5.682629214198082e-4,4.7563399368610605e-4,8.297362724360937,3298
18,0.5,R3,5.979875800216966e-4,3.9292065704955035e-4,8.312940773224172,3357
18,1,R1,5.017299887788176e-4,4.82002640480171e-4,8.57074353538641,3260
18,1,R2,4.4891427050164085e-4,5.434154587660149e-4,8.738650787781394,3253
18,1,R3,5.933035427175464e-4,3.9814215486076715e-4,9.21227384218131,3378
18,2,R1,4.6213986706216575e-4,4.161340427356261e-4,8.22113818725954,3417
18,2,R2,6.189958701822155e-4,3.2404446320918173e-4,8.546936175452924,2953
18,2,R3,4.7113929201117645e-4,3.539296044005543e-4,8.776680621281981,3406
18,4,R1,3.6026457789560735e-4,5.113098148254279e-4,8.533037580027166,3397
18,4,R2,4.3925122541047494e-4,4.084466109168299e-4,8.580606211666087,3422
18,4,R3,4.4958524783062816e-4,3.4296090858133214e-4,8.420639634534227,3388
18,Control,R1,8.561124613827527e-4,2.4354947214005407e-4,8.42319670216559,3335
18,Control,R2,7.716064044720464e-4,3.623878195454413e-4,8.399153672829497,3099
18,Control,R3,7.35432433360142e-4,4.106683947781127e-4,8.296715362349879,3065
21,0.06,R1,8.199302480851028e-4,5.260200087540114e-4,8.533859754306022,2585
21,0.06,R2,9.626535873132786e-4,4.670134927766438e-4,8.3958231283272209,2472
21,0.06,R3,8.159613938868461e-4,4.3047628774117063e-4,8.481086720800759,2821
21,0.12,R1,7.580664196662867e-4,6.148930436637365e-4,8.353947987518705,2526
21,0.12,R2,7.297874840201281e-4,5.724915325547921e-4,8.406221706951467,2753
21,0.12,R3,7.027792116047906e-4,6.081475282073373e-4,8.642683999063145,2603
21,0.25,R1,7.106484048498848e-4,6.772654158092166e-4,8.899616103572363,2640
21,0.25,R2,6.435006731041564e-4,0.0010799483170548933,7.995828394392996,2100
21,0.25,R3,7.386462588717113e-4,4.565556523848736e-4,8.283213252596628,2891
21,0.5,R1,6.604662623073005e-4,5.3850225641305e-4,8.32625532177292,2943
21,0.5,R2,5.195654753434071e-4,6.918376598947009e-4,8.32341670894063,2886
21,0.5,R3,6.591010705203344e-4,4.7955971107686125e-4,8.297358365079225,3065
21,1,R1,5.962461107849598e-4,5.818975225372109e-4,8.454103349381807,3025
21,1,R2,5.989180703513111e-4,2.5821886810871794e-4,8.46791734745499,3487
21,1,R3,4.3950517595012456e-4,8.061265611707855e-4,8.114501952955864,2881
21,2,R1,4.1938977612883036e-4,6.690300668870143e-4,8.486125352514222,3204
21,2,R2,4.4827864201335684e-4,6.781936436260088e-4,8.94064238787474,3072
21,2,R3,4.566106062993279e-4,6.320760500905367e-4,8.672577291559255,3200
21,4,R1,3.917846748394772e-4,7.348942922358553e-4,8.603537890658796,3210
21,4,R2,3.153945197105272e-4,8.164565979643617e-4,9.137157449195556,3093
21,4,R3,4.3068533243233767e-4,6.558721678105291e-4,8.671734709246966,3152
21,Control,R1,7.493257592973798e-4,5.976717175395176e-4,8.41976630784131,2487
21,Control,R2,9.162695041207427e-4,4.570520494527557e-4,8.458106142115701,2562
21,Control,R3,9.564766312282852e-4,3.673960742919057e-4,8.320620658174242,2701
24,0.06,R1,9.89592192341942e-4,5.922967203466961e-4,7.889945365500784,2065
24,0.06,R2,0.0010359149547256893,2.6332680516199896e-4,7.941375921403308,2757
24,0.06,R3,9.634238399425635e-4,5.797937903261168e-4,8.506922382262017,2081
24,0.12,R1,8.426214753250284e-4,5.901212998608999e-4,7.967756132061687,2409
24,0.12,R2,8.674262537491572e-4,7.287693075023959e-4,9.609384497609325,2115
24,0.12,R3,0.001533849757387598,4.0996335997402417e-4,8.025764848740884,1868.0000000000002
24,0.25,R1,8.784546803029073e-4,0.0010354522990711173,8.370488605181922,1776.0000000000002
24,0.25,R2,7.778063843917008e-4,5.684938196530528e-4,7.779159924995997,2542
24,0.25,R3,7.68237537368804e-4,5.472247074068885e-4,8.172870231417859,2580
24,0.5,R1,6.791549604586552e-4,6.017626857849425e-4,8.078132907233552,2695
24,0.5,R2,6.016758391219255e-4,7.635370616639055e-4,8.277496157643064,2625
24,0.5,R3,6.296000193749809e-4,8.281207802537547e-4,7.860851574666813,2328
24,1,R1,7.081477874797053e-4,9.154423492744744e-4,8.214146475428958,2231
24,1,R2,6.655210210444949e-4,6.666633153954134e-4,8.01249929282569,2724
24,1,R3,5.460187840243354e-4,8.042462576344134e-4,8.278490963426208,2709
24,2,R1,3.022022951936858e-4,0.0010992089303372855,8.020403681124055,2649
24,2,R2,4.146725235997686e-4,7.711490013710537e-4,8.192824000705688,3047
24,2,R3,3.305998148736445e-4,9.597318160424173e-4,7.356985480344393,2852
24,4,R1,3.2199826665752694e-4,0.0011413337576603323,9.740039809668191,2641
24,4,R2,3.0752446429059e-4,0.0010413957342480533,8.229594718560463,2843
24,4,R3,2.801772229236658e-4,0.0010556508263433561,8.165093610265064,3068
24,Control,R1,0.0010086462035295922,5.962988050434208e-4,8.173375560629333,2078
24,Control,R2,0.0011671002332457397,3.82622310419819e-4,7.489330762398799,2185
24,Control,R3,0.0010577087355654526,5.174633825795562e-4,7.863112132405456,2106
26,0.06,R1,8.641573214819656e-4,6.12347308290296e-4,7.5773456092239355,2334
26,0.06,R2,6.37596510787228e-4,9.118086468726037e-4,7.749597452694984,2059
26,0.06,R3,0.001876661690663272,4.5938087535742344e-4,7.8624095591879355,633
26,0.12,R1,6.91928397766894e-4,9.536410793621419e-4,8.054842809366784,2188
26,0.12,R2,6.424305738720134e-4,0.0010225639443967032,8.067908840277804,553
26,0.12,R3,4.2687248095413916e-4,0.002186600960588806,8.058202495666656,1458
26,0.25,R1,8.011394217207529e-4,7.713233362748176e-4,7.866604285816106,1002
26,0.25,R2,4.782041131618321e-4,0.0018028178286816168,7.963023832267576,1527
26,0.25,R3,9.352705266743203e-4,6.175948475838789e-4,7.800118512601874,898
26,0.5,R1,6.180244186246997e-4,7.227112279972161e-4,8.542348405716984,2491
26,0.5,R2,3.7418252009365177e-4,0.002066397292879579,7.879444593700716,1530
26,0.5,R3,9.705448668322319e-4,0.0011326826449767917,7.947288715595296,724
26,1,R1,4.897191177961494e-4,0.0015731897455498523,8.161056404078325,1579
26,1,R2,5.412828308222776e-4,0.0016575293928888638,7.6505775860372855,1428
26,1,R3,4.913545816941984e-4,0.0017333215679957833,7.8935843562918535,1515
26,2,R1,3.2950680241256865e-4,0.0011405624041138439,8.346379720508,2429
26,2,R2,3.728802704077642e-4,9.395219855642225e-4,7.915341914749775,2729
26,2,R3,3.6264932759229275e-4,0.0020648020180650925,7.584049854479926,1376
26,4,R1,3.521205183081932e-4,8.883742920326089e-4,8.437053352199296,3020
26,4,R2,3.8296341906326954e-4,8.037375038360674e-4,8.012571113595383,3018
26,4,R3,4.8275818454705143e-4,7.39599033375049e-4,8.034636389952006,2515
26,Control,R1,0.001023477640734497,5.876813740432545e-4,7.939917236738989,2156
26,Control,R2,9.51414519701106e-4,5.779472444576337e-4,8.0875889777032,2108
26,Control,R3,7.179799026388739e-4,0.0015016495394026257,7.986346409426691,1488
27,0.06,R1,3.354316020537461e-4,0.0020792223978839466,8.188993480548815,1641
27,0.06,R2,0.0014393432898376953,7.974845178544931e-4,7.273848441193566,744
27,0.06,R3,8.017867077615855e-4,7.291348148175365e-4,7.792489197944314,1362
27,0.12,R1,6.020421385760193e-4,8.59572248067879e-4,7.467292635088199,2305
27,0.12,R2,6.932203167005174e-4,7.083724998372978e-4,7.74957269903216,2257
27,0.12,R3,6.431027562700919e-4,4.755751605609704e-4,7.973796916064485,2913
27,0.25,R1,6.217283748621425e-4,0.002052029174044875,7.347697003736208,1149
27,0.25,R2,6.630990891462133e-4,8.915801562984878e-4,8.249099229017006,1231
27,0.25,R3,3.064015806590954e-4,0.0010105586881227506,7.935693932161193,1218
27,0.5,R1,5.194068966822753e-4,9.05048100825968e-4,7.753578062271628,2568
27,0.5,R2,6.362001823452979e-4,6.088228209059411e-4,8.222328313566495,2736
27,0.5,R3,5.25408989049585e-4,7.823825839706794e-4,8.349449262621464,2690
27,1,R1,7.96072878888033e-4,6.739800850160716e-4,7.858083730765993,1233
27,1,R3,5.292704679608403e-4,8.579150948937711e-4,8.116109664499213,903
27,2,R1,3.497374513269042e-4,0.0010689161317628223,7.990185736925301,2281
