T,Dose,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min
15,1,R3,r,3.475325874904354e-4,3.6557117300141526e-6,95.06564334302419,0,2946
15,1,R3,K,3.188165309844835e-4,1.9956175661604564e-6,159.7583306494353,0,2946
15,1,R3,O2_0,7.82336845872018,0.0016970849303613558,4609.886234187685,0,2946
15,2,R1,r,3.2546819216030783e-4,3.7004203376908085e-6,87.9543842209589,0,3104
15,2,R1,K,2.837657761903313e-4,1.8916482191891214e-6,150.00980272747069,0,3104
15,2,R1,O2_0,8.906425689499136,0.0016880744378831498,5276.085870163296,0,3104
15,2,R2,r,1.5601710120115398e-4,3.443994536056482e-6,45.301204623802946,0,3011
15,2,R2,K,4.300359674773109e-4,2.4373423290166375e-6,176.43642518234682,0,3011
15,2,R2,O2_0,8.600862912780824,0.0018049827790955074,4765.066466224565,0,3011
15,2,R3,r,2.818791329412753e-4,3.5024974185620768e-6,80.47946914890193,0,3002
15,2,R3,K,3.5264336052197564e-4,2.1144012164621532e-6,166.78166744153867,0,3002
15,2,R3,O2_0,9.001203888883028,0.0017384708723843945,5177.655853697136,0,3002
15,4,R1,r,2.7661758488766575e-4,5.979894271328699e-6,46.257939076605595,0,2724
15,4,R1,K,2.8258272342135605e-4,2.5982966717167598e-6,108.75691236391668,0,2724
15,4,R1,O2_0,9.364123135193394,0.0018869379997689599,4962.602447107406,0,2724
15,4,R2,r,8.314429665468632e-5,6.667860624522775e-6,12.469411305464567,1.5241609716664442e-34,2225
15,4,R2,K,5.432242398465834e-4,4.2580511655929296e-6,127.57578965609727,0,2225
15,4,R2,O2_0,8.547070162988634,0.002154971255692889,3966.210751261501,0,2225
15,4,R3,r,1.7283450417251913e-4,3.345603268093166e-6,51.66019109941465,0,3098
15,4,R3,K,3.8981527676195207e-4,2.225122738009882e-6,175.18821326260738,0,3098
15,4,R3,O2_0,8.39949091720709,0.0017269383713231987,4863.804671136765,0,3098
15,Control,R1,r,8.547285473408178e-4,1.8982496292844322e-6,450.27194219077387,0,3061
15,Control,R1,K,2.3898745546741112e-4,9.306414556153495e-7,256.79863499030375,0,3061
15,Control,R1,O2_0,9.460933749896725,0.0013972397383720356,6771.159944906758,0,3061
15,Control,R2,r,6.08524431963736e-4,1.2623412205277619e-6,482.06017681124524,0,3463
15,Control,R2,K,3.5032523504321933e-4,9.859540549198163e-7,355.31598383832386,0,3463
15,Control,R2,O2_0,8.795529525110961,0.0013961517148055483,6299.837927238427,0,3463
15,Control,R3,r,6.379492759535965e-4,1.3119768640344923e-6,486.2504007820862,0,3459
15,Control,R3,K,3.382259856263849e-4,9.96339689336987e-7,339.4685459649379,0,3459
15,Control,R3,O2_0,9.946467082600835,0.0014587241989049641,6818.607033507399,0,3459
18,0.06,R1,r,7.246463506574355e-4,1.5859497383890168e-6,456.91634048473696,0,2824
18,0.06,R1,K,4.7943786051678097e-4,1.3753884923518852e-6,348.5835916054179,0,2824
18,0.06,R1,O2_0,8.77171816577818,0.001555361849879993,5639.6639575896625,0,2824
18,0.06,R2,r,6.811695966669523e-4,1.599217129714535e-6,425.9394074827995,0,2847
18,0.06,R2,K,4.94856984628749e-4,1.4299413898787297e-6,346.0680193827502,0,2847
18,0.06,R2,O2_0,7.861941289060439,0.0015719427026910072,5001.41721170981,0,2847
18,0.06,R3,r,7.305514255130219e-4,1.2641153283589315e-6,577.91517049430945,0,3297
18,0.06,R3,K,3.281908630258833e-4,9.023193486890109e-7,363.71919044262455,0,3297
18,0.06,R3,O2_0,8.027766502457544,0.00135270843344342,5934.587457270645,0,3297
18,0.12,R1,r,6.773803019822551e-4,1.3079195522926914e-6,517.9067021322946,0,3495
18,0.12,R1,K,2.807767491067061e-4,8.439436168618631e-7,332.696099000964,0,3495
18,0.12,R1,O2_0,8.089076724322666,0.001321505785613215,6121.105796422307,0,3495
18,0.12,R2,r,6.982142235496432e-4,1.32244808192504e-6,527.9709903872202,0,3149
18,0.12,R2,K,4.0010298620193186e-4,1.0808567077560168e-6,370.172089723708,0,3149
18,0.12,R2,O2_0,8.820977044852576,0.001436641290702125,6139.99966584667,0,3149
18,0.12,R3,r,7.796976771184475e-4,1.4304936216129628e-6,545.0549833555316,0,2984
18,0.12,R3,K,3.9030969408329516e-4,1.0920064041285652e-6,357.4243636371045,0,2984
18,0.12,R3,O2_0,8.512001589234675,0.0014388683830120212,5915.761086789798,0,2984
18,0.25,R1,r,6.070424206751309e-4,1.3759128619636209e-6,441.1924893330789,0,3200
18,0.25,R1,K,4.29473998134871e-4,1.200431178143895e-6,357.7664475517231,0,3200
18,0.25,R1,O2_0,8.657643008908048,0.0014848671018070291,5830.584433025698,0,3200
18,0.25,R2,r,6.42088262333904e-4,1.2667864415425728e-6,506.8638574565336,0,3096
18,0.25,R2,K,4.86763795438701e-4,1.2167086440091483e-6,400.06602881917314,0,3096
18,0.25,R2,O2_0,8.36317595621484,0.0014786356749938842,5656.008506794232,0,3096
18,0.25,R3,r,6.915674077944144e-4,1.2677197566006195e-6,545.5207305823228,0,3212
18,0.25,R3,K,4.013669887520499e-4,1.0621536344070069e-6,377.8803515332604,0,3212
18,0.25,R3,O2_0,8.747290001475978,0.0014514764969080372,6026.477190715537,0,3212
18,0.5,R1,r,6.192500134286009e-4,1.3274326244701606e-6,466.50202956686564,0,3433
18,0.5,R1,K,3.3835967904650885e-4,9.942470529548612e-7,340.31750764653293,0,3433
18,0.5,R1,O2_0,8.218733695822383,0.0014046828470280443,5850.953269067931,0,3433
18,0.5,R2,r,5.682629214198082e-4,1.19761243736987e-6,474.49650962860386,0,3298
18,0.5,R2,K,4.7563399368610605e-4,1.1854886091539527e-6,401.21346591896116,0,3298
18,0.5,R2,O2_0,8.297362724360937,0.0014769463549553726,5617.917466346738,0,3298
18,0.5,R3,r,5.979875800216966e-4,1.2998156922960812e-6,460.0556706354048,0,3357
18,0.5,R3,K,3.9292065704955035e-4,1.0945244202992296e-6,358.9875655237831,0,3357
18,0.5,R3,O2_0,8.312940773224172,0.001451883820213219,5725.623949720275,0,3357
18,1,R1,r,5.017299887788176e-4,1.3751549617479025e-6,364.85341851298665,0,3260
18,1,R1,K,4.82002640480171e-4,1.3344276233315304e-6,361.20553265886673,0,3260
18,1,R1,O2_0,8.57074353538641,0.0015192627872103552,5641.383181064985,0,3260
18,1,R2,r,4.4891427050164085e-4,1.35420945125097e-6,331.4954493095215,0,3253
18,1,R2,K,5.434154587660149e-4,1.4540024085799853e-6,373.73766065265863,0,3253
18,1,R2,O2_0,8.738650787781394,0.0015616483190181607,5595.786632214068,0,3253
18,1,R3,r,5.933035427175464e-4,1.2339539856471048e-6,480.81496524070843,0,3378
18,1,R3,K,3.9814215486076715e-4,1.0591623293696752e-6,375.902865708704,0,3378
18,1,R3,O2_0,9.21227384218131,0.0014121934367164054,6523.379589981273,0,3378
18,2,R1,r,4.6213986706216575e-4,1.4644299854920242e-6,315.5766213752407,0,3417
18,2,R1,K,4.161340427356261e-4,1.2791621737625737e-6,325.317658128988,0,3417
18,2,R1,O2_0,8.22113818725954,0.0014988818972757143,5484.847206575668,0,3417
18,2,R2,r,6.189958701822155e-4,2.40583113725927e-6,257.2898241259681,0,2953
18,2,R2,K,3.2404446320918173e-4,1.4468258025903884e-6,223.96923156126635,0,2953
18,2,R2,O2_0,8.546936175452924,0.0015893016191867342,5377.793662493404,0,2953
18,2,R3,r,4.7113929201117645e-4,1.728480940913117e-6,272.5741897751469,0,3406
18,2,R3,K,3.539296044005543e-4,1.2830604673402494e-6,275.84795370887,0,3406
18,2,R3,O2_0,8.776680621281981,0.0015110043515731168,5808.507839268974,0,3406
18,4,R1,r,3.6026457789560735e-4,1.4570271193000394e-6,247.26003594818442,0,3397
18,4,R1,K,5.113098148254279e-4,1.5015843965735333e-6,340.5135375621818,0,3397
18,4,R1,O2_0,8.533037580027166,0.0015644365359300245,5454.383980462624,0,3397
18,4,R2,r,4.3925122541047494e-4,1.5545629931658889e-6,282.5560799668425,0,3422
18,4,R2,K,4.084466109168299e-4,1.3251663888165852e-6,308.22288760401284,0,3422
18,4,R2,O2_0,8.580606211666087,0.0015176931252041414,5653.716202023336,0,3422
18,4,R3,r,4.4958524783062816e-4,1.9139253250887414e-6,234.90218867853824,0,3388
18,4,R3,K,3.4296090858133214e-4,1.358915274675761e-6,252.37843372035323,0,3388
18,4,R3,O2_0,8.420639634534227,0.0015507771788977297,5429.9481247973345,0,3388
18,Control,R1,r,8.561124613827527e-4,1.3322640391928906e-6,642.599692101125,0,3335
18,Control,R1,K,2.4354947214005407e-4,7.37782922243796e-7,330.10993450397945,0,3335
18,Control,R1,O2_0,8.42319670216559,0.0013201834233255317,6380.323031891753,0,3335
18,Control,R2,r,7.716064044720464e-4,1.3933013240991086e-6,553.7972232754157,0,3099
18,Control,R2,K,3.623878195454413e-4,1.0308161770721897e-6,351.5542611823628,0,3099
18,Control,R2,O2_0,8.399153672829497,0.0014434945333313656,5818.62520355067,0,3099
18,Control,R3,r,7.35432433360142e-4,1.3465671779348533e-6,546.1535416955797,0,3065
18,Control,R3,K,4.106683947781127e-4,1.1044724613993402e-6,371.8231183942836,0,3065
18,Control,R3,O2_0,8.296715362349879,0.0014569259268666594,5694.672055286453,0,3065
21,0.06,R1,r,8.199302480851028e-4,1.7151596546852705e-6,478.04893605403686,0,2585
21,0.06,R1,K,5.260200087540114e-4,1.5030848658021913e-6,349.96028549144916,0,2585
21,0.06,R1,O2_0,8.533859754306022,0.0015955700021621515,5348.470918068037,0,2585
21,0.06,R2,r,9.626535873132786e-4,1.923001092461641e-6,500.59960500645474,0,2472
21,0.06,R2,K,4.670134927766438e-4,1.4612402375588173e-6,319.60076158103044,0,2472
21,0.06,R2,O2_0,8.3958231283272209,0.0016255698207444352,5164.849286192041,0,2472
21,0.06,R3,r,8.159613938868461e-4,1.5191508417262582e-6,537.1167704186926,0,2821
21,0.06,R3,K,4.3047628774117063e-4,1.2067847502003245e-6,356.71339704094885,0,2821
21,0.06,R3,O2_0,8.481086720800759,0.0014900890663906122,5691.664285104905,0,2821
21,0.12,R1,r,7.580664196662867e-4,1.7569269850466383e-6,431.4729218221687,0,2526
21,0.12,R1,K,6.148930436637365e-4,1.7282781419407875e-6,355.78361418911203,0,2526
21,0.12,R1,O2_0,8.353947987518705,0.001671912243246282,4996.642629578568,0,2526
21,0.12,R2,r,7.297874840201281e-4,1.4425666938947344e-6,505.8951430867996,0,2753
21,0.12,R2,K,5.724915325547921e-4,1.4516829372813113e-6,394.3640293981447,0,2753
21,0.12,R2,O2_0,8.406221706951467,0.0015801197298563202,5319.990345108748,0,2753
21,0.12,R3,r,7.027792116047906e-4,1.7317272238773693e-6,405.82558379561357,0,2603
21,0.12,R3,K,6.081475282073373e-4,1.7230936915178456e-6,352.9393272118766,0,2603
21,0.12,R3,O2_0,8.642683999063145,0.0016692620571739586,5177.547744477646,0,2603
21,0.25,R1,r,7.106484048498848e-4,1.5006733591984176e-6,473.5530223775523,0,2640
21,0.25,R1,K,6.772654158092166e-4,1.6935386479567702e-6,399.91140245091395,0,2640
21,0.25,R1,O2_0,8.899616103572363,0.001690111852616218,5265.696521680593,0,2640
21,0.25,R2,r,6.435006731041564e-4,2.147489341508744e-6,299.65255736825094,0,2100
21,0.25,R2,K,0.0010799483170548933,2.9269845540342453e-6,368.9627659860408,0,2100
21,0.25,R2,O2_0,7.995828394392996,0.0019611695950707293,4077.0713631753138,0,2100
21,0.25,R3,r,7.386462588717113e-4,1.5168904954882425e-6,486.9476478814397,0,2891
21,0.25,R3,K,4.565556523848736e-4,1.2920520874812922e-6,353.3570022512611,0,2891
21,0.25,R3,O2_0,8.283213252596628,0.001542350870646366,5370.511606820899,0,2891
21,0.5,R1,r,6.604662623073005e-4,1.3211351455937346e-6,499.9233155745613,0,2943
21,0.5,R1,K,5.3850225641305e-4,1.3293369551405298e-6,405.0908645326291,0,2943
21,0.5,R1,O2_0,8.32625532177292,0.0015128942041270031,5503.52780720545,0,2943
21,0.5,R2,r,5.195654753434071e-4,1.4070817597253758e-6,369.2503806209614,0,2886
21,0.5,R2,K,6.918376598947009e-4,1.7128641539375147e-6,403.9069054625911,0,2886
21,0.5,R2,O2_0,8.32341670894063,0.001652549209903757,5036.713375346552,0,2886
21,0.5,R3,r,6.591010705203344e-4,1.3283521046552117e-6,496.17949052101005,0,3065
21,0.5,R3,K,4.7955971107686125e-4,1.2478149855540912e-6,384.31956390066364,0,3065
21,0.5,R3,O2_0,8.297358365079225,0.0015178208619600361,5466.625590034677,0,3065
21,1,R1,r,5.962461107849598e-4,1.2559500220746353e-6,474.7371314983166,0,3025
21,1,R1,K,5.818975225372109e-4,1.3863879336554482e-6,419.72200450629924,0,3025
21,1,R1,O2_0,8.454103349381807,0.0015475344680980674,5462.949952754183,0,3025
21,1,R2,r,5.989180703513111e-4,1.6838118629541777e-6,355.69179878596077,0,3487
21,1,R2,K,2.5821886810871794e-4,9.745437109258516e-7,264.96386484645285,0,3487
21,1,R2,O2_0,8.46791734745499,0.0013805371887687496,6133.784309720199,0,3487
21,1,R3,r,4.3950517595012456e-4,1.354164154151205e-6,324.5582705780659,0,2881
21,1,R3,K,8.061265611707855e-4,1.8740652190967817e-6,430.1486164709378,0,2881
21,1,R3,O2_0,8.114501952955864,0.0016776961975739726,4836.693296849462,0,2881
21,2,R1,r,4.1938977612883036e-4,1.2057524575804738e-6,347.8241105727455,0,3204
21,2,R1,K,6.690300668870143e-4,1.552077805963461e-6,431.05446409737823,0,3204
21,2,R1,O2_0,8.486125352514222,0.0015828192797020715,5361.398778331494,0,3204
21,2,R2,r,4.4827864201335684e-4,1.315283654843253e-6,340.82278781665525,0,3072
21,2,R2,K,6.781936436260088e-4,1.6509814415900515e-6,410.7821121071138,0,3072
21,2,R2,O2_0,8.94064238787474,0.0016312521761143737,5480.846259571749,0,3072
21,2,R3,r,4.566106062993279e-4,1.2151642298316372e-6,375.76040759740926,0,3200
21,2,R3,K,6.320760500905367e-4,1.4929775976505657e-6,423.3660646249532,0,3200
21,2,R3,O2_0,8.672577291559255,0.0015778031935311122,5496.615374538626,0,3200
21,4,R1,r,3.917846748394772e-4,1.1425840947273611e-6,342.8935136130731,0,3210
21,4,R1,K,7.348942922358553e-4,1.6047425325417275e-6,457.9515263871441,0,3210
21,4,R1,O2_0,8.603537890658796,0.001596401388661557,5389.332502317672,0,3210
21,4,R2,r,3.153945197105272e-4,1.2993216786317033e-6,242.73782612683303,0,3093
21,4,R2,K,8.164565979643617e-4,1.8973094609557736e-6,430.3233683097063,0,3093
21,4,R2,O2_0,9.137157449195556,0.0016697499630827471,5472.171074240502,0,3093
21,4,R3,r,4.3068533243233767e-4,1.280225578530823e-6,336.4136287033015,0,3152
21,4,R3,K,6.558721678105291e-4,1.5914806848175576e-6,412.1144378737567,0,3152
21,4,R3,O2_0,8.671734709246966,0.001603552591907058,5407.826817163463,0,3152
21,Control,R1,r,7.493257592973798e-4,1.8671027721383677e-6,401.33075183600477,0,2487
21,Control,R1,K,5.976717175395176e-4,1.749749597060158e-6,341.57557089522743,0,2487
21,Control,R1,O2_0,8.41976630784131,0.0016381412722169398,5139.82917752058,0,2487
21,Control,R2,r,9.162695041207427e-4,1.8301131673546695e-6,500.66275707155376,0,2562
21,Control,R2,K,4.570520494527557e-4,1.4069627515402488e-6,324.85014187646806,0,2562
21,Control,R2,O2_0,8.458106142115701,0.0016036035944694076,5274.437006306585,0,2562
21,Control,R3,r,9.564766312282852e-4,1.7381897540893936e-6,550.2717001857868,0,2701
21,Control,R3,K,3.673960742919057e-4,1.1531678904778674e-6,318.59721149507425,0,2701
21,Control,R3,O2_0,8.320620658174242,0.0015093256168074369,5512.806889062299,0,2701
24,0.06,R1,r,9.89592192341942e-4,2.8605396351209024e-6,345.945981727366,0,2065
24,0.06,R1,K,5.922967203466961e-4,2.2405909788590425e-6,264.3484357186453,0,2065
24,0.06,R1,O2_0,7.889945365500784,0.0018510450485868491,4262.427525210279,0,2065
24,0.06,R2,r,0.0010359149547256893,1.9982726903379833e-6,518.4052005186925,0,2757
24,0.06,R2,K,2.6332680516199896e-4,9.891943503039214e-7,266.2033048218422,0,2757
24,0.06,R2,O2_0,7.941375921403308,0.0014638346633985327,5425.049781896883,0,2757
24,0.06,R3,r,9.634238399425635e-4,2.8572733876668016e-6,337.18293954687977,0,2081
24,0.06,R3,K,5.797937903261168e-4,2.2005010608157795e-6,263.4826225037915,0,2081
24,0.06,R3,O2_0,8.506922382262017,0.0018080144749509804,4705.118515432605,0,2081
24,0.12,R1,r,8.426214753250284e-4,1.9798113851152996e-6,425.606945015096,0,2409
24,0.12,R1,K,5.901212998608999e-4,1.8002861805077886e-6,327.79305104394587,0,2409
24,0.12,R1,O2_0,7.967756132061687,0.0017269359166843421,4613.811117762555,0,2409
24,0.12,R2,r,8.674262537491572e-4,2.394574172060873e-6,362.2465588537661,0,2115
24,0.12,R2,K,7.287693075023959e-4,2.321098903582117e-6,313.97598197030607,0,2115
24,0.12,R2,O2_0,9.609384497609325,0.0018302933081991463,5250.188291987007,0,2115
24,0.12,R3,r,0.001533849757387598,3.2192411642783844e-6,476.46314119228816,0,1868.0000000000002
24,0.12,R3,K,4.0996335997402417e-4,1.6822309025431972e-6,243.70219293572686,0,1868.0000000000002
24,0.12,R3,O2_0,8.025764848740884,0.0016928330138539563,4741.025714325584,0,1868.0000000000002
24,0.25,R1,r,8.784546803029073e-4,3.0194222693528443e-6,290.93468946666655,0,1776.0000000000002
24,0.25,R1,K,0.0010354522990711173,3.4051683953422033e-6,304.082553006034,0,1776.0000000000002
24,0.25,R1,O2_0,8.370488605181922,0.0020613999393663783,4060.5844820946277,0,1776.0000000000002
24,0.25,R2,r,7.778063843917008e-4,1.8145221148604304e-6,428.6563266557532,0,2542
24,0.25,R2,K,5.684938196530528e-4,1.6697017692260954e-6,340.47626356445016,0,2542
24,0.25,R2,O2_0,7.779159924995997,0.001660044750511549,4686.114589741524,0,2542
24,0.25,R3,r,7.68237537368804e-4,1.8265029503714664e-6,420.6056919933051,0,2580
24,0.25,R3,K,5.472247074068885e-4,1.6427152138541808e-6,333.1220790991372,0,2580
24,0.25,R3,O2_0,8.172870231417859,0.0016603656722684473,4922.331488732725,0,2580
24,0.5,R1,r,6.791549604586552e-4,1.6091279844605213e-6,422.0639793834359,0,2695
24,0.5,R1,K,6.017626857849425e-4,1.64042725356328e-6,366.8328994643403,0,2695
24,0.5,R1,O2_0,8.078132907233552,0.0016458790497241907,4908.09632007118,0,2695
24,0.5,R2,r,6.016758391219255e-4,1.5206051557514932e-6,395.681835515396,0,2625
24,0.5,R2,K,7.635370616639055e-4,1.8723154326507033e-6,407.80364694368785,0,2625
24,0.5,R2,O2_0,8.277496157643064,0.0016855965611493437,4910.722024728715,0,2625
24,0.5,R3,r,6.296000193749809e-4,2.02077407979851e-6,311.5637842295354,0,2328
24,0.5,R3,K,8.281207802537547e-4,2.3675613624044826e-6,349.77795862182836,0,2328
24,0.5,R3,O2_0,7.860851574666813,0.0018229455937196714,4312.17015019464,0,2328
24,1,R1,r,7.081477874797053e-4,1.9038566890959305e-6,371.95435535432966,0,2231
24,1,R1,K,9.154423492744744e-4,2.3888988161170825e-6,383.206832829544,0,2231
24,1,R1,O2_0,8.214146475428958,0.0018281759565302366,4493.083089780315,0,2231
24,1,R2,r,6.655210210444949e-4,1.4276913479138257e-6,466.151890614851,0,2724
24,1,R2,K,6.666633153954134e-4,1.627247277837957e-6,409.6877742399275,0,2724
24,1,R2,O2_0,8.01249929282569,0.0016406881926194917,4883.6209883567735,0,2724
24,1,R3,r,5.460187840243354e-4,1.4511889849626945e-6,376.25615249441256,0,2709
24,1,R3,K,8.042462576344134e-4,1.9239006983224533e-6,418.02898576609306,0,2709
24,1,R3,O2_0,8.278490963426208,0.0017311209044490374,4782.156429484628,0,2709
24,2,R1,r,3.022022951936858e-4,1.5993985374124502e-6,188.9474625146255,0,2649
24,2,R1,K,0.0010992089303372855,2.642508082900524e-6,415.9718327637996,0,2649
24,2,R1,O2_0,8.020403681124055,0.0018918388684560936,4239.4750498330795,0,2649
24,2,R2,r,4.146725235997686e-4,1.2516123531013084e-6,331.3106670545973,0,3047
24,2,R2,K,7.711490013710537e-4,1.7519706938877814e-6,440.1609022693207,0,3047
24,2,R2,O2_0,8.192824000705688,0.0016573720438041574,4943.261853205115,0,3047
24,2,R3,r,3.305998148736445e-4,1.3924367978748175e-6,237.4253649273107,0,2852
24,2,R3,K,9.597318160424173e-4,2.196209919867367e-6,436.99457295064815,0,2852
24,2,R3,O2_0,7.356985480344393,0.0017650262960336787,4168.201627860627,0,2852
24,4,R1,r,3.2199826665752694e-4,1.464281792818675e-6,219.90184419195373,0,2641
24,4,R1,K,0.0011413337576603323,2.5180949977876534e-6,453.2528592698388,0,2641
24,4,R1,O2_0,9.740039809668191,0.001823666950966393,5340.909317080498,0,2641
