T,Dose,Replicate,n,r2,rmse,rss,aic,aicc,T_end_min,on_boundary,quality_ok,keep
18,2,R1,3418,0.9987295321285018,0.035004756167778206,4.188188038021642,-22910.126854379778,-22910.1198245028,3417,FALSE,TRUE,TRUE
18,2,R2,2954,0.9978687707981793,0.035523390649450176,3.7276859306715933,-19712.327568113556,-19712.319432520337,2953,FALSE,TRUE,TRUE
18,2,R3,3407,0.9982542068449435,0.035336447537793005,4.254200035282209,-22772.114073762023,-22772.107021161377,3406,FALSE,TRUE,TRUE
18,4,R1,3398,0.9987080401985879,0.03495080132170249,4.1508558272729505,-22786.519148226238,-22786.51207692394,3397,FALSE,TRUE,TRUE
18,4,R2,3423,0.9985473321108242,0.035156486148471514,4.230754468167153,-22914.03934326848,-22914.032323672105,3422,FALSE,TRUE,TRUE
18,4,R3,3389,0.9978702648283229,0.035827885009130506,4.350246959586925,-22558.157056603195,-22558.149966499797,3388,FALSE,TRUE,TRUE
18,Control,R1,3336,0.9992224117086596,0.03533146268958199,4.164369685299841,-22298.372018810172,-22298.36481592902,3335,FALSE,TRUE,TRUE
18,Control,R2,3100,0.9992502773819514,0.03529843525084539,3.862536546590186,-20726.28318782067,-20726.275435882686,3099,FALSE,TRUE,TRUE
18,Control,R3,3066,0.99930483952466,0.03487000929457921,3.7280032027935883,-20573.777826501355,-20573.769988486983,3065,FALSE,TRUE,TRUE
21,0.06,R1,2586,0.9993068495730292,0.034524964191171646,3.082442572110756,-17403.327574466068,-17403.318279346007,2585,FALSE,TRUE,TRUE
21,0.06,R2,2473,0.9992735589134776,0.03545553082362031,3.1087951089801384,-16511.04839779824,-16511.038677263612,2472,FALSE,TRUE,TRUE
21,0.06,R3,2822,0.9993162269480006,0.03440568944968986,3.3405466384869866,-19011.646155715604,-19011.637639037108,2821,FALSE,TRUE,TRUE
21,0.12,R1,2527,0.9992974258710907,0.03491662746754024,3.080844797857553,-16949.119432584026,-16949.10992009889,2526,FALSE,TRUE,TRUE
21,0.12,R2,2754,0.9993962802642727,0.034831760535818365,3.3412947467357315,-18485.59887660072,-18485.590149327993,2753,FALSE,TRUE,TRUE
21,0.12,R3,2604,0.9992428451342131,0.03503625312971599,3.1965116428942655,-17447.945114876424,-17447.93588410719,2603,FALSE,TRUE,TRUE
21,0.25,R1,2641,0.9994111032853314,0.03592101102367172,3.40773256605461,-17564.218521839848,-17564.209420588428,2640,FALSE,TRUE,TRUE
21,0.25,R2,2101,0.9993463196795629,0.03496696319227648,2.5688685697839286,-14084.783305742569,-14084.771860821253,2100,FALSE,TRUE,TRUE
21,0.25,R3,2892,0.9992437747596025,0.03535871152565359,3.61568968634169,-19325.345419968213,-19325.337109718905,2891,FALSE,TRUE,TRUE
21,0.5,R1,2944,0.9993746284504822,0.03421880737002507,3.4472084339223406,-19865.88143314219,-19865.873269876884,2943,FALSE,TRUE,TRUE
21,0.5,R2,2887,0.999285232842328,0.03514059280642373,3.56504446566572,-19327.651937317678,-19327.643612655866,2886,FALSE,TRUE,TRUE
21,0.5,R3,3066,0.9992949614415243,0.035348743847529875,3.831070298440331,-20490.163531668866,-20490.155693654495,3065,FALSE,TRUE,TRUE
21,1,R1,3026,0.9993723334952699,0.03490972067168473,3.6877516956569067,-20298.399233569813,-20298.39129180939,3025,FALSE,TRUE,TRUE
21,1,R2,3488,0.9983528171185908,0.03456790093453645,4.167949935269501,-23467.052309287235,-23467.04542065348,3487,FALSE,TRUE,TRUE
21,1,R3,2882,0.9993220715250518,0.03468872595541908,3.4679328156380973,-19368.766902769694,-19368.7585636453,2881,FALSE,TRUE,TRUE
21,2,R1,3205,0.9992674813931373,0.03482497975427927,3.8869573837095057,-21515.064383709956,-21515.056886052975,3204,FALSE,TRUE,TRUE
21,2,R2,3073,0.9992348621414165,0.035280675271567204,3.825043144329418,-20548.80475257778,-20548.796932440928,3072,FALSE,TRUE,TRUE
21,2,R3,3201,0.999269630072493,0.03517111982851042,3.9596615516425966,-21424.887012346346,-21424.879505308498,3200,FALSE,TRUE,TRUE
21,4,R1,3211,0.9993317551004838,0.03480619970164092,3.8900351074600032,-21558.81755125278,-21558.81006762322,3210,FALSE,TRUE,TRUE
21,4,R2,3094,0.9992044245724421,0.03458653596448333,3.701130886249612,-20812.23151139674,-20812.22374440645,3093,FALSE,TRUE,TRUE
21,4,R3,3153,0.9992151157192128,0.03505003831037893,3.873476850067623,-21125.27087806732,-21125.26325660019,3152,FALSE,TRUE,TRUE
21,Control,R1,2488,0.9992364985979599,0.03374324191105555,2.832852660174023,-16857.540204020053,-16857.530542184304,2487,FALSE,TRUE,TRUE
21,Control,R2,2563,0.9992630428338137,0.03547428752758377,3.2253434687363636,-17109.44303926454,-17109.433660601,2562,FALSE,TRUE,TRUE
21,Control,R3,2702,0.9992560971420835,0.035233500429366786,3.3542615908717237,-18074.47586577066,-18074.466970292528,2701,FALSE,TRUE,TRUE
24,0.06,R1,2066,0.9990044291220868,0.035482952497782105,2.601176470505074,-13789.520420687279,-13789.508781502022,2065,FALSE,TRUE,TRUE
24,0.06,R2,2758,0.9990121035129185,0.035623429098252106,3.4999811565807812,-18388.490580482347,-18388.4818658854,2757,FALSE,TRUE,TRUE
24,0.06,R3,2082,0.998976767892662,0.03463541770020344,2.497592515595072,-13997.026022031445,-13997.014472464554,2081,FALSE,TRUE,TRUE
24,0.12,R1,2410,0.9992409016495096,0.035697467600859276,3.0710851554056977,-16057.496046226452,-16057.486071164107,2409,FALSE,TRUE,TRUE
24,0.12,R2,2116,0.9992240897233069,0.034650731722884826,2.5406245100987084,-14223.830997260438,-14223.819633624074,2115,FALSE,TRUE,TRUE
24,0.12,R3,1869,0.9992040023906098,0.03394617539010436,2.1537287373377936,-12639.575821665041,-12639.562953032333,1868.0000000000002,FALSE,TRUE,TRUE
24,0.25,R1,1777,0.9992393140723409,0.034634219904250814,2.131563367744158,-11945.793054680229,-11945.779518301211,1776.0000000000002,FALSE,TRUE,TRUE
24,0.25,R2,2543,0.9992441199992549,0.03503266256527257,3.1209919762263527,-17039.598984128257,-17039.589531587888,2542,FALSE,TRUE,TRUE
24,0.25,R3,2581,0.9991999262227054,0.03532040235839129,3.2198770535400834,-17252.08626841891,-17252.076955264078,2580,FALSE,TRUE,TRUE
24,0.5,R1,2696,0.9992745478533337,0.03515455932988079,3.331832840364181,-18046.421168080982,-18046.412252776376,2695,FALSE,TRUE,TRUE
24,0.5,R2,2626,0.9993786021180558,0.03450520225301321,3.1265391881010602,-17675.620466295615,-17675.611312977537,2625,FALSE,TRUE,TRUE
24,0.5,R3,2329,0.9992228241102787,0.0346798191489072,2.801064675091921,-15652.320418738478,-15652.310096157833,2328,FALSE,TRUE,TRUE
24,1,R1,2232,0.9994020143137161,0.034504060159289446,2.6572633338061316,-15022.851824478013,-15022.841052485195,2231,FALSE,TRUE,TRUE
24,1,R2,2725,0.9994085944236611,0.03515988137451911,3.368692028786447,-18239.78021125546,-18239.7713909688,2724,FALSE,TRUE,TRUE
24,1,R3,2710,0.9993694593815907,0.0355806418728187,3.430811426181623,-18074.86827697163,-18074.859407792028,2709,FALSE,TRUE,TRUE
24,2,R1,2650,0.999231672086975,0.03554308212407377,3.3477733202284283,-17680.151607875916,-17680.14253758113,2649,FALSE,TRUE,TRUE
24,2,R2,3048,0.9993146676880474,0.03523049614224244,3.7831405924902493,-20390.26017024652,-20390.252285883842,3047,FALSE,TRUE,TRUE
24,2,R3,2853,0.9992815467460745,0.03497540114218547,3.4900140884670177,-19126.847309596837,-19126.83888558841,2852,FALSE,TRUE,TRUE
24,4,R1,2642,0.9993641822274353,0.03440713721215041,3.1277345827806404,-17798.391812692247,-17798.382714890882,2641,FALSE,TRUE,TRUE
24,4,R2,2844,0.9993556045414319,0.03447780393281062,3.3807167336994195,-19147.996025359946,-19147.98757465572,2843,FALSE,TRUE,TRUE
24,4,R3,3069,0.9994527799854693,0.034469481245590496,3.646417426496813,-20664.825658902428,-20664.81782855985,3068,FALSE,TRUE,TRUE
24,Control,R1,2079,0.9990835945890086,0.035647948290035356,2.641943755743903,-13857.036803268005,-13857.025237002945,2078,FALSE,TRUE,TRUE
24,Control,R2,2186,0.9988855622489504,0.03555444443105456,2.7633630820988686,-14582.009166994798,-14581.998167911388,2185,FALSE,TRUE,TRUE
24,Control,R3,2107,0.9990234998856486,0.03518980786969945,2.609145671648703,-14098.252890364032,-14098.241478095844,2106,FALSE,TRUE,TRUE
26,0.06,R1,2335,0.9992156543277669,0.03618649943836678,3.057595501642816,-15494.053039790755,-15494.04274378046,2334,FALSE,TRUE,TRUE
26,0.06,R2,2060,0.999006390210685,0.03489602994423496,2.508529786090023,-13818.17471106639,-13818.163037914639,2059,FALSE,TRUE,TRUE
26,0.06,R3,634,0.9529912469786187,0.0354387134895076,0.7962421303437526,-4229.057176927682,-4229.0190816895865,633,FALSE,TRUE,TRUE
26,0.12,R1,2189,0.9993646618819095,0.0349265387567386,2.6702803467523344,-14680.03740709567,-14680.026423113975,2188,FALSE,TRUE,TRUE
26,0.12,R2,554,0.967774083081021,0.035793269679950154,0.7097616175274281,-3683.6349043257646,-3683.5912679621283,553,FALSE,TRUE,TRUE
26,0.12,R3,1459,0.9992630874819379,0.034582097648302904,1.744849436047109,-9811.375050021828,-9811.358555176468,1458,FALSE,TRUE,TRUE
26,0.25,R1,1003,0.9899234820604007,0.03438920565606763,1.1861653180522798,-6754.24518114283,-6754.221157118806,1002,FALSE,TRUE,TRUE
26,0.25,R2,1528,0.999106842685562,0.03486660448417765,1.8575592054152856,-10250.626043142433,-10250.610295110937,1527,FALSE,TRUE,TRUE
26,0.25,R3,899,0.9827174472422772,0.033115056292305975,0.9858496509650918,-6121.1654744032785,-6121.13865876082,898,FALSE,TRUE,TRUE
26,0.5,R1,2492,0.9991385047955836,0.03563323016825234,3.1641599138213317,-16613.031597723693,-16613.021951421444,2491,FALSE,TRUE,TRUE
26,0.5,R2,1531,0.9991566960944374,0.035713381210880156,1.9527072097933944,-10197.287759642471,-10197.272042550134,1530,FALSE,TRUE,TRUE
26,0.5,R3,725,0.9901766601244185,0.034108036223513744,0.8434346478927811,-4892.422271314438,-4892.38898421319,724,FALSE,TRUE,TRUE
26,1,R1,1580,0.9989047609181703,0.035676804082493276,2.011078272274162,-10527.08436839711,-10527.069139970714,1579,FALSE,TRUE,TRUE
26,1,R2,1429,0.998911597329604,0.03388487443567402,1.640755958480073,-9667.71994847655,-9667.703106371286,1428,FALSE,TRUE,TRUE
26,1,R3,1516,0.9990177101038319,0.03515355898477222,1.8734314272925234,-10145.225184782688,-10145.209311766816,1515,FALSE,TRUE,TRUE
26,2,R1,2430,0.9991650835909438,0.03525158959693562,3.0196992029391945,-16251.889027149497,-16251.879134321796,2429,FALSE,TRUE,TRUE
26,2,R2,2730,0.9992512792227388,0.034887460810293994,3.322778336486152,-18315.72780676533,-18315.719002656748,2729,FALSE,TRUE,TRUE
26,2,R3,1377,0.9988839349484843,0.03550345524984132,1.7357020758508965,-9187.196955728126,-9187.179475757259,1376,FALSE,TRUE,TRUE
26,4,R1,3021,0.9993531856036919,0.03482277841649146,3.663342833761715,-20279.915634050652,-20279.907679128544,3020,FALSE,TRUE,TRUE
26,4,R2,3019,0.9992903584957347,0.0347712537378103,3.6500920211410444,-20275.42629594817,-20275.418335749167,3018,FALSE,TRUE,TRUE
26,4,R3,2516,0.9988971124713225,0.03438927812361002,2.9754780838553154,-16951.892562455712,-16951.883008315584,2515,FALSE,TRUE,TRUE
26,Control,R1,2157,0.9992993935650264,0.03418982066324227,2.521411856375929,-14557.31906125495,-14557.307914018535,2156,FALSE,TRUE,TRUE
26,Control,R2,2109,0.9989566658890423,0.03533044177280112,2.6325384043514606,-14094.817502367527,-14094.806100942349,2108,FALSE,TRUE,TRUE
26,Control,R3,1489,0.9991154164530819,0.03402889314922542,1.724210732183526,-10061.26395323285,-10061.247791616688,1488,FALSE,TRUE,TRUE
27,0.06,R1,1642,0.999276285370049,0.03528047058778891,2.0438164552389666,-10977.094029263557,-10977.079377248905,1641,FALSE,TRUE,TRUE
27,0.06,R2,745,0.9870670637695053,0.03483548884990947,0.9040659061420643,-4996.106739778904,-4996.074351114936,744,FALSE,TRUE,TRUE
27,0.06,R3,1363,0.9951884314316182,0.035825462832522297,1.749361141905127,-9069.116748482536,-9069.099088438386,1362,FALSE,TRUE,TRUE
27,0.12,R1,2306,0.9991912965392986,0.03471500902566849,2.779034049910077,-15493.009482189977,-15492.999056473209,2305,FALSE,TRUE,TRUE
27,0.12,R2,2258,0.9989462449013007,0.03553539739792216,2.851322169259394,-15064.912478189362,-15064.901830452007,2257,FALSE,TRUE,TRUE
27,0.12,R3,2914,0.999092581700314,0.03449362802462398,3.4671074307134777,-19616.76332693488,-19616.7550795122,2913,FALSE,TRUE,TRUE
27,0.25,R1,1150,0.9987204123601485,0.03544884577420965,1.4451137667322567,-7675.2285473278635,-7675.207604919487,1149,FALSE,TRUE,TRUE
27,0.25,R2,1232,0.9950110194769413,0.03452579918640393,1.4685819572545848,-8287.943336214757,-8287.923792240816,1231,FALSE,TRUE,TRUE
27,0.25,R3,1219,0.9933572879572933,0.035208771335375956,1.5111425887361387,-8152.669581800121,-8152.649828713701,1218,FALSE,TRUE,TRUE
27,0.5,R1,2569,0.9993738614808104,0.034708643481944766,3.094848436224483,-17261.618438070203,-17261.609081345057,2568,FALSE,TRUE,TRUE
27,0.5,R2,2737,0.999250002665398,0.03474572479022203,3.3042853757085155,-18384.990914580358,-18384.982133021633,2736,FALSE,TRUE,TRUE
27,0.5,R3,2691,0.9993024730696328,0.034765621470702356,3.2524729419330356,-18072.817581148436,-18072.80864925413,2690,FALSE,TRUE,TRUE
27,1,R1,1234,0.9925185307959206,0.03515775587179407,1.5253076626587876,-8256.64196483526,-8256.622452640138,1233,FALSE,TRUE,TRUE
27,1,R3,904,0.9849897392493684,0.035366381163183754,1.1307059485879571,-6036.324419279827,-6036.297752613161,903,FALSE,TRUE,TRUE
27,2,R1,2282,0.9988814773108046,0.03586298010173002,2.9350019259353046,-15183.218878599138,-15183.208343041631,2281,FALSE,TRUE,TRUE
27,2,R2,2503,0.9991140759561292,0.03485606783844524,3.0410084992912165,-16796.779387864393,-16796.769784022857,2502,FALSE,TRUE,TRUE
27,2,R3,1189,0.9947752399815765,0.03518241308776363,1.4717468047161915,-7953.6628817264,-7953.642628561843,1188,FALSE,TRUE,TRUE
27,4,R2,869,0.9952900695765399,0.03427970834340489,1.0211605131706365,-5856.624543055255,-5856.596797390515,868,FALSE,TRUE,TRUE
27,4,R3,703,0.9895705635176208,0.034127903654663075,0.8187938069269617,-4742.961756083625,-4742.927421319677,702,FALSE,TRUE,TRUE
27,Control,R1,2360,0.9991730081329098,0.03522073946965514,2.927581153542804,-15787.687251503196,-15787.67706474598,2359,FALSE,TRUE,TRUE
27,Control,R2,2243,0.9992560419142855,0.0340439317720657,2.599612978593888,-15157.1441999745,-15157.133480903487,2242,FALSE,TRUE,TRUE
27,Control,R3,2077,0.9990440377886763,0.035365308590976224,2.5977143924535473,-13876.767374670444,-13876.75579724642,2076,FALSE,TRUE,TRUE
28,0.06,R1,1114,0.9921296215199631,0.035522681309715705,1.405713028598831,-7430.136876583808,-7430.115254962187,1113,FALSE,TRUE,TRUE
28,0.06,R2,1357,0.9892110574440772,0.035362134389529905,1.6969021044273667,-9064.496531155506,-9064.478792796304,1356,FALSE,TRUE,TRUE
28,0.06,R3,2629,0.9992158887053785,0.03500237033882148,3.2209612282243705,-17620.60106901924,-17620.5919261621,2628,FALSE,TRUE,TRUE
28,0.12,R1,2505,0.999213149639636,0.03480761392658103,3.034982818091103,-16817.174816947692,-16817.165220786155,2504,FALSE,TRUE,TRUE
28,0.12,R2,2437,0.9991926283347836,0.0352313015366967,3.0249131096220303,-16301.52835335834,-16301.518488993359,2436,FALSE,TRUE,TRUE
28,0.12,R3,715,0.9758695374976675,0.03479535114306506,0.8656622697359775,-4796.328229224693,-4796.294473950432,714,FALSE,TRUE,TRUE
28,0.25,R1,667,0.9657861296438456,0.03659822283485829,0.8933997530848519,-4406.545965301925,-4406.509766206903,666,FALSE,TRUE,TRUE
28,0.25,R2,1579,0.9957911296631476,0.03596490852039345,2.042396464265945,-10495.018167237244,-10495.002929142005,1578,FALSE,TRUE,TRUE
28,0.25,R3,2487,0.9992649820314775,0.03498059489685796,3.043197702093818,-16671.632006953383,-16671.62234122644,2486,FALSE,TRUE,TRUE
28,0.5,R1,2666,0.999279468607406,0.03461623885569953,3.1946251240445696,-17927.821428460167,-17927.812412682557,2665,FALSE,TRUE,TRUE
28,0.5,R2,894,0.9840422603876106,0.0353115729393581,1.1147350220057366,-5972.2576079551,-5972.230641662965,893,FALSE,TRUE,TRUE
28,0.5,R3,667,0.9932282486957932,0.03547536623646601,0.8394205736107988,-4448.114920753301,-4448.0787216582785,666,FALSE,TRUE,TRUE
28,1,R1,673,0.9747772264703689,0.03549451033471157,0.847885957605337,-4487.45575550676,-4487.419881067299,672,FALSE,TRUE,TRUE
28,1,R2,1121,0.9911614967043664,0.03600980258400398,1.4536072938777513,-7446.327475411469,-7446.305989287924,1120,FALSE,TRUE,TRUE
28,1,R3,2875,0.9992026829647318,0.03588981660382674,3.703226940586912,-19125.9846817785,-19125.976322321865,2874,FALSE,TRUE,TRUE
28,2,R1,2801,0.9993300217460995,0.0353323533561004,3.496698917498631,-18721.240683532327,-18721.23210291023,2800,FALSE,TRUE,TRUE
28,2,R2,2690,0.9992597953644223,0.035603973772638346,3.409959531203315,-17937.90337195309,-17937.89443673343,2689,FALSE,TRUE,TRUE
28,2,R3,2841,0.9992932910130983,0.03593294880479617,3.6682333166648196,-18892.903668280498,-18892.89520864003,2840,FALSE,TRUE,TRUE
28,4,R1,3095,0.9993923284636593,0.0348208247488361,3.752656043005439,-20777.17048831919,-20777.162723841673,3094,FALSE,TRUE,TRUE
28,4,R2,3202,0.9995053060791835,0.03377283167166761,3.652214517511189,-21691.38341139149,-21691.375906701058,3201,FALSE,TRUE,TRUE
28,4,R3,2911,0.9994054729052976,0.034365375661976866,3.4378299982157734,-19618.24883539562,-19618.240579461668,2910,FALSE,TRUE,TRUE
28,Control,R1,2353,0.9993113392327949,0.03394056189057997,2.7105659776278253,-15915.077847132883,-15915.067630019217,2352,FALSE,TRUE,TRUE
28,Control,R2,2398,0.9992683732876811,0.03544340556796516,3.0124515258161226,-16011.767434741472,-16011.757409678816,2397,FALSE,TRUE,TRUE
28,Control,R3,2535,0.9992523408572473,0.034739690888335485,3.059354921848347,-17028.55314946982,-17028.543667051803,2534,FALSE,TRUE,TRUE
