Trait,Dose,comparison,parameter,median,q2.5,q17,q83,q97.5,p_gt0,p_lt0
Growth,0.5,0.5 - Control,lnB0,-0.42554623405736125,-0.6232567339941182,-0.5244397151979631,-0.31962697345697966,-0.20752286449105947,7.5e-4,0.99925
Growth,0.5,0.5 - Control,E,0.12537800435415086,-0.2122010511200204,-0.0404900658664248,0.28978052182473457,0.45687502716931416,0.76575,0.23425
Growth,0.5,0.5 - Control,Eh,-0.8872167231306516,-4.013057349094875,-2.390950687095375,0.6624250352040528,2.4139075779042507,0.29175,0.70825
Growth,0.5,0.5 - Control,Th_C,0.6899168540923597,-1.6340087084453756,-0.3778004729572931,1.8810903356659714,3.3232297404052376,0.72675,0.27325
Growth,1,1 - Control,lnB0,-0.5785964684626081,-0.7864958569871559,-0.6799891591135018,-0.474316035358622,-0.35830142044287827,0,1
Growth,1,1 - Control,E,0.25913134509516017,-0.0718488859917124,0.09617246705272972,0.4300675103429322,0.6003402281480148,0.937,0.063
Growth,1,1 - Control,Eh,-0.6529947561286429,-3.831869225559288,-2.184435209298292,0.9283387313923549,2.5974114904475667,0.345625,0.654375
Growth,1,1 - Control,Th_C,0.5600201256274016,-1.664329273053886,-0.4776437878836575,1.7648019922947307,3.123452487642918,0.694875,0.305125
Growth,2,2 - Control,lnB0,-0.7622460087231091,-0.9757970648025815,-0.8679329098579465,-0.6422510874984085,-0.4972453776755298,0,1
Growth,2,2 - Control,E,0.05977493183763605,-0.26723661001121707,-0.10329923796077749,0.2192300277097084,0.3877183105290972,0.63525,0.36475
Growth,2,2 - Control,Eh,-1.3237892846082968,-4.480283782988219,-2.884799365541873,0.43289782588016845,2.4103253205207213,0.2295,0.7705
Growth,2,2 - Control,Th_C,1.1818926317202152,-1.3225211317466943,-0.05952249805219228,2.4531323893147485,3.858876655341374,0.81775,0.18225
Growth,4,4 - Control,lnB0,-0.9004590270824373,-1.1067625695614565,-1.0039297866447299,-0.7944872532898866,-0.668525957930871,0,1
Growth,4,4 - Control,E,0.00719711308451812,-0.32426689235884315,-0.15809859129704926,0.1728742670675787,0.3482786386039292,0.51575,0.48425
Growth,4,4 - Control,Eh,-0.7330041152346278,-4.0216948367562555,-2.3674410087655104,0.9286833255595134,2.880186454867009,0.32875,0.67125
Growth,4,4 - Control,Th_C,0.6982694568759484,-1.5752462691677933,-0.34694208123954523,1.8575952411988568,3.252829342915979,0.732375,0.267625
Respiration,0.06,0.06 - Control,lnB0,0.06570373120066786,-0.3298837628689841,-0.09751263181613135,0.22839727524855225,0.4556816239146181,0.65425,0.34575
Respiration,0.06,0.06 - Control,E,-0.07290703789081959,-0.4895166239815225,-0.2720932398576013,0.12605578963667627,0.3485806057999605,0.3625,0.6375
Respiration,0.06,0.06 - Control,Eh,0.02337837616774685,-4.746579614888906,-2.3104195410443533,2.2877532153102997,4.632197303317431,0.5025,0.4975
Respiration,0.06,0.06 - Control,Th_C,-0.2384070132906686,-3.5271654446116387,-1.7830059867051662,1.3838288825457021,3.1175087557508983,0.441625,0.558375
Respiration,0.12,0.12 - Control,lnB0,0.1412320156789726,-0.2561542158904145,-0.019286593230625648,0.29460307169503697,0.4712603385481795,0.803375,0.196625
Respiration,0.12,0.12 - Control,E,0.007655853636421017,-0.39705553388060577,-0.19011105681209994,0.20592675489955736,0.3967092429631109,0.51475,0.48525
Respiration,0.12,0.12 - Control,Eh,0.09651972389688135,-4.188841275009111,-2.047696494974677,2.278859434041817,4.591133524472853,0.516125,0.483875
Respiration,0.12,0.12 - Control,Th_C,-0.751247230924406,-3.8568460515733163,-2.3142264816074682,0.8695296662444914,2.601171999440307,0.318625,0.681375
Respiration,0.25,0.25 - Control,lnB0,0.26062001991419237,-0.13540244763635437,0.09922316588366123,0.41528388355384005,0.6048537507227143,0.926,0.074
Respiration,0.25,0.25 - Control,E,0.03840378256924115,-0.3755947784536646,-0.16359462176472503,0.23179252073965181,0.4389398053797496,0.573,0.427
Respiration,0.25,0.25 - Control,Eh,0.02728364235621905,-4.329027479687253,-2.1369767599616987,2.2525724388202124,4.5014127034662055,0.50375,0.49625
Respiration,0.25,0.25 - Control,Th_C,-0.6607166135982787,-3.8126360635665573,-2.252893081047595,0.9474895743307149,2.68314649049388,0.346375,0.653625
Respiration,0.5,0.5 - Control,lnB0,0.38767165849792695,-0.01791015860003673,0.22180040821634753,0.5516508401584244,0.7941606973721205,0.971,0.029
Respiration,0.5,0.5 - Control,E,-0.09028878623247355,-0.4908572596926085,-0.2845421637705946,0.1047373118810558,0.3130144608804529,0.332125,0.667875
Respiration,0.5,0.5 - Control,Eh,-0.08616169615783176,-4.749420486061658,-2.2834471161136136,2.178945451794596,4.523033140203294,0.481875,0.518125
Respiration,0.5,0.5 - Control,Th_C,-0.2831461202085279,-3.4162912484483554,-1.8882942093128456,1.3627023393780533,3.022622872496881,0.436375,0.563625
Respiration,1,1 - Control,lnB0,0.44488065895098927,0.05286541519775394,0.2796769616373242,0.603895588280692,0.786968567480872,0.983375,0.016625
Respiration,1,1 - Control,E,-0.09235837470130909,-0.5194068579219522,-0.2942254212344736,0.10990241416173416,0.3302057423752176,0.325625,0.674375
Respiration,1,1 - Control,Eh,0.24195847950788485,-4.208370129149782,-1.9337188365076996,2.5507608676890596,4.769247115547532,0.539125,0.460875
Respiration,1,1 - Control,Th_C,-0.6517110293286503,-3.78129213203726,-2.2139434612184608,0.98937035129106,2.715504905972477,0.3485,0.6515
Respiration,2,2 - Control,lnB0,0.4221378670229283,0.010728384846424946,0.2608641127930781,0.5663825166374084,0.7209233811116668,0.976875,0.023125
Respiration,2,2 - Control,E,0.08862562832826859,-0.3129294695368978,-0.10251361587389932,0.2848980062617295,0.48768836338221716,0.67675,0.32325
Respiration,2,2 - Control,Eh,0.16360018382442787,-4.055267206995063,-1.893334944710278,2.326317371782214,4.600509998648263,0.529375,0.470625
Respiration,2,2 - Control,Th_C,-0.9132761689205893,-4.039698365623992,-2.4131400818716227,0.687999921857469,2.4954069553276175,0.293125,0.706875
Respiration,4,4 - Control,lnB0,0.48733001287778865,0.08528944152033899,0.322948568129609,0.646515170358303,0.825997738375226,0.987875,0.012125
Respiration,4,4 - Control,E,0.1160275751264756,-0.2911214132355765,-0.0866794178475891,0.32061464704368126,0.5288026031369462,0.702875,0.297125
Respiration,4,4 - Control,Eh,-0.025463051134250847,-4.227726154628537,-2.092877401052796,2.1793098335307914,4.414266503474914,0.495125,0.504875
Respiration,4,4 - Control,Th_C,-0.6560530414555483,-3.842610388400921,-2.235735241964351,0.929217834092537,2.6150691445137886,0.348125,0.651875
