model,variable,rhat,ess_bulk,ess_tail,n_divergent
SS_TPC_respiration,b_Th_Dose_keyD7,1.0012778948803318,5631.583206913917,3532.023807330234,0
SS_TPC_respiration,b_Th_Dose_keyD8,1.0001477985243508,5847.612840885531,3241.9936528036756,0
SS_TPC_respiration,sigma,1.000798364631484,9276.688608586086,5800.490207550323,0
SS_TPC_respiration,lprior,1.000563204023243,2962.2662463033507,4556.853685336759,0
SS_TPC_respiration,lp__,1.000459592169272,2155.7673242472933,3626.951085971485,0
CUE_common_slope,b_alpha_Dose_keyD1,1.0015052676415912,10250.75417866998,6395.152255174338,0
CUE_common_slope,b_alpha_Dose_keyD2,1.000109837607324,10077.613115894941,6327.780869073023,0
CUE_common_slope,b_alpha_Dose_keyD3,1.0014577191995266,10575.36961609615,6063.91172298261,0
CUE_common_slope,b_alpha_Dose_keyD4,1.0028937332623615,10647.67439234924,6065.976338199675,0
CUE_common_slope,b_alpha_Dose_keyD5,1.000557316893856,8486.993605734535,6254.34089552351,0
CUE_common_slope,b_alpha_Dose_keyD6,1.0007411241524757,10373.81781399013,6278.504454402873,0
CUE_common_slope,b_alpha_Dose_keyD7,1.0003493405896835,8997.326121227285,5974.073025728699,0
CUE_common_slope,b_alpha_Dose_keyD8,1.0001626946117623,8832.718344638266,6609.405783039097,0
CUE_common_slope,b_E_Intercept,1.000098609999111,6908.205020631066,5717.805876464333,0
CUE_common_slope,sigma,1.000523304872908,9917.949799230588,6881.711838028867,0
CUE_common_slope,lprior,1.000177318324291,12019.288743807554,6486.8630411333725,0
CUE_common_slope,lp__,1.0018381336703364,3356.8168049500855,4810.77473476253,0
