param,slope,T,T_fac
b_T_fac28:log10_dose,-0.2549156905126515,28,28
b_T_fac15:log10_dose,-1.0469758352820209,15,15
b_T_fac18:log10_dose,-0.47332351832769,18,18
b_T_fac21:log10_dose,-0.53099619429904,21,21
b_T_fac24:log10_dose,-1.1875879758084023,24,24
b_T_fac26:log10_dose,-0.5716377271419675,26,26
b_T_fac27:log10_dose,-0.039758983676782406,27,27
b_T_fac28:log10_dose,-0.49311671277840186,28,28
b_T_fac15:log10_dose,-0.8911520386249804,15,15
b_T_fac18:log10_dose,-0.3351150484193606,18,18
b_T_fac21:log10_dose,-0.5202394809692235,21,21
b_T_fac24:log10_dose,-1.1366098858535667,24,24
b_T_fac26:log10_dose,-0.4137914720591371,26,26
b_T_fac27:log10_dose,-0.11282084304916548,27,27
b_T_fac28:log10_dose,-0.32346080398395777,28,28
b_T_fac15:log10_dose,-1.0973803122140955,15,15
b_T_fac18:log10_dose,-0.44332384386828544,18,18
b_T_fac21:log10_dose,-0.5668354283876128,21,21
b_T_fac24:log10_dose,-1.1304118159088021,24,24
b_T_fac26:log10_dose,-0.35830649251906177,26,26
b_T_fac27:log10_dose,-0.043265134918160364,27,27
b_T_fac28:log10_dose,-0.2847596546089627,28,28
b_T_fac15:log10_dose,-0.7892165715810493,15,15
b_T_fac18:log10_dose,-0.15521699158574265,18,18
b_T_fac21:log10_dose,-0.7184632871520685,21,21
b_T_fac24:log10_dose,-0.7796601247604172,24,24
b_T_fac26:log10_dose,-0.7494803244503638,26,26
b_T_fac27:log10_dose,-0.1234027481511634,27,27
b_T_fac28:log10_dose,-0.32024003666944023,28,28
b_T_fac15:log10_dose,-0.9393137918732148,15,15
b_T_fac18:log10_dose,-0.05760733537505167,18,18
b_T_fac21:log10_dose,-0.8252363724262094,21,21
b_T_fac24:log10_dose,-0.9290474216277098,24,24
b_T_fac26:log10_dose,-0.6387470830490826,26,26
b_T_fac27:log10_dose,-0.19790119692430105,27,27
b_T_fac28:log10_dose,-0.3057072180690521,28,28
b_T_fac15:log10_dose,-1.1582169085739482,15,15
b_T_fac18:log10_dose,-0.46241364998687884,18,18
b_T_fac21:log10_dose,-0.35688621020132194,21,21
b_T_fac24:log10_dose,-1.2917409818253938,24,24
b_T_fac26:log10_dose,-0.6893169527507069,26,26
b_T_fac27:log10_dose,-0.37591991674167463,27,27
b_T_fac28:log10_dose,-0.5583483705569285,28,28
b_T_fac15:log10_dose,-0.8827702375296109,15,15
b_T_fac18:log10_dose,-0.5642131031251886,18,18
b_T_fac21:log10_dose,-0.7403292445980594,21,21
b_T_fac24:log10_dose,-1.097950902839513,24,24
b_T_fac26:log10_dose,-0.5087904163987325,26,26
b_T_fac27:log10_dose,-0.22379279433201996,27,27
b_T_fac28:log10_dose,-0.3144916270354637,28,28
b_T_fac15:log10_dose,-1.0127835903411802,15,15
b_T_fac18:log10_dose,-0.06471746209067078,18,18
b_T_fac21:log10_dose,-0.5314609639194283,21,21
b_T_fac24:log10_dose,-1.2285728198087063,24,24
b_T_fac26:log10_dose,-0.7941602272992904,26,26
b_T_fac27:log10_dose,-0.292231848176777,27,27
b_T_fac28:log10_dose,-0.7824926557591938,28,28
b_T_fac15:log10_dose,-0.9603774219042369,15,15
b_T_fac18:log10_dose,-0.27305668685342754,18,18
b_T_fac21:log10_dose,-0.4894580429427665,21,21
b_T_fac24:log10_dose,-1.1859555293135249,24,24
b_T_fac26:log10_dose,-0.3972350073854772,26,26
b_T_fac27:log10_dose,-0.40154584239092944,27,27
b_T_fac28:log10_dose,-0.6785017941205137,28,28
b_T_fac15:log10_dose,-0.641122391405623,15,15
b_T_fac18:log10_dose,-0.45706784224497604,18,18
b_T_fac21:log10_dose,-0.8487661469165959,21,21
b_T_fac24:log10_dose,-1.1978534038351791,24,24
b_T_fac26:log10_dose,-0.4934835696265106,26,26
b_T_fac27:log10_dose,-0.20568290850170287,27,27
b_T_fac28:log10_dose,-0.08113817481992185,28,28
b_T_fac15:log10_dose,-1.0903518435227446,15,15
b_T_fac18:log10_dose,-0.2502674764466861,18,18
b_T_fac21:log10_dose,-0.7007897822536845,21,21
b_T_fac24:log10_dose,-0.9841124783085562,24,24
b_T_fac26:log10_dose,-0.696581523220879,26,26
b_T_fac27:log10_dose,-0.3475697388444903,27,27
b_T_fac28:log10_dose,-0.7408544806775696,28,28
b_T_fac15:log10_dose,-1.0110709979556998,15,15
b_T_fac18:log10_dose,-0.08281004183728977,18,18
b_T_fac21:log10_dose,-0.556056378506245,21,21
b_T_fac24:log10_dose,-0.9759969409253141,24,24
b_T_fac26:log10_dose,-0.634937077899788,26,26
b_T_fac27:log10_dose,-0.35156002265814823,27,27
b_T_fac28:log10_dose,-0.758216959865279,28,28
b_T_fac15:log10_dose,-0.990400220313818,15,15
b_T_fac18:log10_dose,-0.056051465666101766,18,18
b_T_fac21:log10_dose,-0.5826060768230343,21,21
b_T_fac24:log10_dose,-1.065928186317948,24,24
b_T_fac26:log10_dose,-0.5739141281225009,26,26
b_T_fac27:log10_dose,-0.3249483042837014,27,27
b_T_fac28:log10_dose,-0.8102977635394816,28,28
b_T_fac15:log10_dose,-0.8836660503020262,15,15
b_T_fac18:log10_dose,-0.7926099298504427,18,18
b_T_fac21:log10_dose,-0.6333845616312135,21,21
b_T_fac24:log10_dose,-1.0284798392384393,24,24
b_T_fac26:log10_dose,-0.6731381518819104,26,26
b_T_fac27:log10_dose,-0.19101321735472776,27,27
b_T_fac28:log10_dose,-0.5107194967318823,28,28
b_T_fac15:log10_dose,-0.7439436992177735,15,15
b_T_fac18:log10_dose,-0.26441920170299005,18,18
b_T_fac21:log10_dose,-0.7095904775806289,21,21
b_T_fac24:log10_dose,-1.2294405724131872,24,24
b_T_fac26:log10_dose,-0.3917781466738599,26,26
b_T_fac27:log10_dose,-0.6081731490773554,27,27
b_T_fac28:log10_dose,-0.7302275923088848,28,28
b_T_fac15:log10_dose,-1.1523718958614575,15,15
b_T_fac18:log10_dose,-0.15132470767379985,18,18
b_T_fac21:log10_dose,-0.8875462831968675,21,21
b_T_fac24:log10_dose,-1.2580634425254547,24,24
b_T_fac26:log10_dose,-0.49136378496787103,26,26
b_T_fac27:log10_dose,-0.7491592446935572,27,27
b_T_fac28:log10_dose,-0.6085853808328322,28,28
b_T_fac15:log10_dose,-1.0574255150368697,15,15
b_T_fac18:log10_dose,-0.15489255576238298,18,18
b_T_fac21:log10_dose,-0.645881912941779,21,21
b_T_fac24:log10_dose,-1.2843652240720178,24,24
b_T_fac26:log10_dose,-0.7187384449255471,26,26
b_T_fac27:log10_dose,-0.3550243279022861,27,27
b_T_fac28:log10_dose,-0.7343450031010225,28,28
b_T_fac15:log10_dose,-0.9300208405153491,15,15
b_T_fac18:log10_dose,-0.22410879121512312,18,18
b_T_fac21:log10_dose,-0.7137928269510314,21,21
b_T_fac24:log10_dose,-1.1403788963510448,24,24
b_T_fac26:log10_dose,-0.704515219268409,26,26
b_T_fac27:log10_dose,-0.4188850277487445,27,27
b_T_fac28:log10_dose,-0.717194094211065,28,28
b_T_fac15:log10_dose,-0.7176088104440232,15,15
b_T_fac18:log10_dose,-0.4189833708366735,18,18
b_T_fac21:log10_dose,-0.631703427169851,21,21
b_T_fac24:log10_dose,-1.0338614705466411,24,24
b_T_fac26:log10_dose,-0.5502162961975926,26,26
b_T_fac27:log10_dose,-0.21183151351818563,27,27
b_T_fac28:log10_dose,-0.4477140961516216,28,28
b_T_fac15:log10_dose,-0.9033498155903045,15,15
b_T_fac18:log10_dose,-0.39266831658660595,18,18
b_T_fac21:log10_dose,-0.634340036466945,21,21
b_T_fac24:log10_dose,-1.1674758171584072,24,24
b_T_fac26:log10_dose,-0.4560961046503182,26,26
b_T_fac27:log10_dose,-0.15595023115661807,27,27
b_T_fac28:log10_dose,-0.612010567018207,28,28
b_T_fac15:log10_dose,-0.9941527396540975,15,15
b_T_fac18:log10_dose,-0.3882873517922082,18,18
b_T_fac21:log10_dose,-0.560843806768572,21,21
b_T_fac24:log10_dose,-1.0516721706186323,24,24
b_T_fac26:log10_dose,-0.47787149274798774,26,26
b_T_fac27:log10_dose,-0.22949028734823518,27,27
b_T_fac28:log10_dose,-0.5986186910145329,28,28
b_T_fac15:log10_dose,-0.9306623036079258,15,15
b_T_fac18:log10_dose,-0.2850391844319811,18,18
b_T_fac21:log10_dose,-0.6810766491870286,21,21
b_T_fac24:log10_dose,-0.9783610439643733,24,24
b_T_fac26:log10_dose,-0.7350863753255861,26,26
b_T_fac27:log10_dose,-0.16102616822976445,27,27
b_T_fac28:log10_dose,-0.5130184914940072,28,28
b_T_fac15:log10_dose,-1.1847192659818797,15,15
b_T_fac18:log10_dose,-0.30614888266838497,18,18
b_T_fac21:log10_dose,-0.7043716771720764,21,21
b_T_fac24:log10_dose,-1.0817505045856706,24,24
b_T_fac26:log10_dose,-0.5169748670718088,26,26
b_T_fac27:log10_dose,-0.01032431180693262,27,27
b_T_fac28:log10_dose,-0.527352549512546,28,28
b_T_fac15:log10_dose,-1.117899295647491,15,15
b_T_fac18:log10_dose,-0.41175080050508844,18,18
b_T_fac21:log10_dose,-0.4644984426809687,21,21
b_T_fac24:log10_dose,-1.040920367065879,24,24
b_T_fac26:log10_dose,-0.3862556952947828,26,26
b_T_fac27:log10_dose,-0.11183241004490836,27,27
b_T_fac28:log10_dose,-0.5292628681531488,28,28
b_T_fac15:log10_dose,-0.6492930065499722,15,15
b_T_fac18:log10_dose,-0.1930888591996699,18,18
b_T_fac21:log10_dose,-0.6934522557049815,21,21
b_T_fac24:log10_dose,-1.1495266731747604,24,24
b_T_fac26:log10_dose,-0.7484404689604636,26,26
b_T_fac27:log10_dose,-0.10301035694234749,27,27
b_T_fac28:log10_dose,-0.46351779095920587,28,28
b_T_fac15:log10_dose,-0.8499614253333121,15,15
b_T_fac18:log10_dose,-0.40595497072320713,18,18
b_T_fac21:log10_dose,-0.6668091035343496,21,21
b_T_fac24:log10_dose,-1.3152752969573047,24,24
b_T_fac26:log10_dose,-0.5942328707179203,26,26
b_T_fac27:log10_dose,-0.023849061688719746,27,27
b_T_fac28:log10_dose,-0.4228417502115962,28,28
b_T_fac15:log10_dose,-0.9374855977016417,15,15
b_T_fac18:log10_dose,-0.38188464340087785,18,18
b_T_fac21:log10_dose,-0.8935417399192301,21,21
b_T_fac24:log10_dose,-1.157626791260466,24,24
b_T_fac26:log10_dose,-0.5981605823570237,26,26
b_T_fac27:log10_dose,0.17511704451550514,27,27
b_T_fac28:log10_dose,-0.4660021554936632,28,28
b_T_fac15:log10_dose,-1.0784819066613245,15,15
b_T_fac18:log10_dose,-0.522061606551293,18,18
b_T_fac21:log10_dose,-0.6257764191833954,21,21
b_T_fac24:log10_dose,-0.9143186165592426,24,24
b_T_fac26:log10_dose,-0.4134994866669085,26,26
b_T_fac27:log10_dose,-0.27877318078780466,27,27
b_T_fac28:log10_dose,-0.38139541764550644,28,28
b_T_fac15:log10_dose,-0.9493813027402492,15,15
b_T_fac18:log10_dose,-0.42586940322323613,18,18
b_T_fac21:log10_dose,-0.6390936807794241,21,21
b_T_fac24:log10_dose,-1.3362908975893037,24,24
b_T_fac26:log10_dose,-0.8886642213679414,26,26
b_T_fac27:log10_dose,-0.20298095406769268,27,27
b_T_fac28:log10_dose,-0.4200069671290524,28,28
b_T_fac15:log10_dose,-0.9550060330803252,15,15
b_T_fac18:log10_dose,-0.4689013638707306,18,18
b_T_fac21:log10_dose,-0.783859303010843,21,21
b_T_fac24:log10_dose,-1.139994413510311,24,24
b_T_fac26:log10_dose,-0.7443477219641966,26,26
b_T_fac27:log10_dose,-0.29422442820707995,27,27
b_T_fac28:log10_dose,-0.6875196005648497,28,28
b_T_fac15:log10_dose,-0.9225201406345386,15,15
b_T_fac18:log10_dose,-0.37331175427071045,18,18
b_T_fac21:log10_dose,-0.6837392572186988,21,21
b_T_fac24:log10_dose,-1.1474845129245446,24,24
b_T_fac26:log10_dose,-0.8102293896450216,26,26
b_T_fac27:log10_dose,-0.21918076421317312,27,27
b_T_fac28:log10_dose,-0.735739155294666,28,28
b_T_fac15:log10_dose,-0.9470700971023314,15,15
b_T_fac18:log10_dose,-0.3098378049723488,18,18
b_T_fac21:log10_dose,-0.7506249649207661,21,21
b_T_fac24:log10_dose,-1.1618826197091394,24,24
b_T_fac26:log10_dose,-0.8875703290718242,26,26
b_T_fac27:log10_dose,-0.28075782297827967,27,27
b_T_fac28:log10_dose,-0.6556619872930421,28,28
b_T_fac15:log10_dose,-0.8344908486305712,15,15
b_T_fac18:log10_dose,-0.5460159188506833,18,18
b_T_fac21:log10_dose,-0.375753034878699,21,21
b_T_fac24:log10_dose,-0.8374058415507338,24,24
b_T_fac26:log10_dose,-0.7325672591851232,26,26
b_T_fac27:log10_dose,-0.28390214588324714,27,27
b_T_fac28:log10_dose,-0.5182361081282549,28,28
b_T_fac15:log10_dose,-0.9211541980552101,15,15
b_T_fac18:log10_dose,-0.1803219860459106,18,18
b_T_fac21:log10_dose,-0.6819257196951649,21,21
b_T_fac24:log10_dose,-0.9296383872753514,24,24
b_T_fac26:log10_dose,-0.6899922674448363,26,26
b_T_fac27:log10_dose,-0.10878379250706971,27,27
b_T_fac28:log10_dose,-0.3426592408297669,28,28
b_T_fac15:log10_dose,-1.041195629591354,15,15
b_T_fac18:log10_dose,-0.5732332941706395,18,18
b_T_fac21:log10_dose,-0.6377848900801911,21,21
b_T_fac24:log10_dose,-1.3053323304529476,24,24
b_T_fac26:log10_dose,-0.6899133807730676,26,26
b_T_fac27:log10_dose,-0.3403297217268965,27,27
b_T_fac28:log10_dose,-0.4616870193264836,28,28
b_T_fac15:log10_dose,-0.8907038996158547,15,15
b_T_fac18:log10_dose,-0.06764759831399304,18,18
b_T_fac21:log10_dose,-0.704227984410398,21,21
b_T_fac24:log10_dose,-0.688052772695526,24,24
b_T_fac26:log10_dose,-0.282692290869841,26,26
b_T_fac27:log10_dose,-0.4278546692841438,27,27
b_T_fac28:log10_dose,-0.4818689900193524,28,28
b_T_fac15:log10_dose,-0.9737521442448464,15,15
b_T_fac18:log10_dose,-0.2894167726556189,18,18
b_T_fac21:log10_dose,-0.7049594504612888,21,21
b_T_fac24:log10_dose,-0.8821462760374437,24,24
b_T_fac26:log10_dose,-0.5452743682645746,26,26
b_T_fac27:log10_dose,-0.37011744041879824,27,27
b_T_fac28:log10_dose,-0.539452016363423,28,28
b_T_fac15:log10_dose,-0.8467958197656766,15,15
b_T_fac18:log10_dose,-0.37333749190293514,18,18
b_T_fac21:log10_dose,-0.7498864070417559,21,21
b_T_fac24:log10_dose,-1.0237900941466516,24,24
b_T_fac26:log10_dose,-0.4472401779602502,26,26
b_T_fac27:log10_dose,-0.4722077690678021,27,27
b_T_fac28:log10_dose,-0.4161001334777736,28,28
b_T_fac15:log10_dose,-1.2040374922779729,15,15
b_T_fac18:log10_dose,-0.44580283617828936,18,18
b_T_fac21:log10_dose,-0.33482737738480933,21,21
b_T_fac24:log10_dose,-1.0493566211636067,24,24
b_T_fac26:log10_dose,-0.38968684720677055,26,26
b_T_fac27:log10_dose,-0.23187615858535793,27,27
b_T_fac28:log10_dose,-0.5381316320295646,28,28
b_T_fac15:log10_dose,-1.0992354259769577,15,15
b_T_fac18:log10_dose,-0.3468016270437855,18,18
b_T_fac21:log10_dose,-0.37857254538745166,21,21
b_T_fac24:log10_dose,-1.1487929666477117,24,24
b_T_fac26:log10_dose,-0.6842383461684258,26,26
b_T_fac27:log10_dose,-0.3349465197051186,27,27
b_T_fac28:log10_dose,-0.622423753972648,28,28
b_T_fac15:log10_dose,-0.977555749217096,15,15
b_T_fac18:log10_dose,-0.38777182386855863,18,18
b_T_fac21:log10_dose,-0.6662690456267129,21,21
b_T_fac24:log10_dose,-0.9347198628111506,24,24
b_T_fac26:log10_dose,-0.3582889115199243,26,26
b_T_fac27:log10_dose,-0.3423755462356813,27,27
b_T_fac28:log10_dose,-0.7078361367897165,28,28
b_T_fac15:log10_dose,-0.8675610586456115,15,15
b_T_fac18:log10_dose,-0.23743627469250767,18,18
b_T_fac21:log10_dose,-0.39854530659983634,21,21
b_T_fac24:log10_dose,-1.0416667755030542,24,24
b_T_fac26:log10_dose,-0.4846862502395817,26,26
b_T_fac27:log10_dose,-0.07673995346224396,27,27
b_T_fac28:log10_dose,-0.7977170367543772,28,28
b_T_fac15:log10_dose,-0.9142621135002741,15,15
b_T_fac18:log10_dose,-0.5270465365518958,18,18
b_T_fac21:log10_dose,-0.7951548673332441,21,21
b_T_fac24:log10_dose,-1.2822275337482802,24,24
b_T_fac26:log10_dose,-0.4199115100441733,26,26
b_T_fac27:log10_dose,-0.4363482631434402,27,27
b_T_fac28:log10_dose,-0.7742162087422246,28,28
b_T_fac15:log10_dose,-1.1324093686958063,15,15
b_T_fac18:log10_dose,-0.3013310559914821,18,18
b_T_fac21:log10_dose,-0.5824640820397434,21,21
b_T_fac24:log10_dose,-1.0731105628094835,24,24
b_T_fac26:log10_dose,-0.9160379970551322,26,26
b_T_fac27:log10_dose,-0.34808802026210584,27,27
b_T_fac28:log10_dose,-0.4533853459564272,28,28
b_T_fac15:log10_dose,-0.9282795895180133,15,15
b_T_fac18:log10_dose,-0.2506152342723156,18,18
b_T_fac21:log10_dose,-0.5403449178842321,21,21
b_T_fac24:log10_dose,-0.5990028287325059,24,24
b_T_fac26:log10_dose,-0.21909265310547155,26,26
b_T_fac27:log10_dose,-0.07548500363913965,27,27
b_T_fac28:log10_dose,-0.5576930941656612,28,28
b_T_fac15:log10_dose,-0.7044797462050104,15,15
b_T_fac18:log10_dose,-0.5089565634061204,18,18
b_T_fac21:log10_dose,-0.6353331735791178,21,21
b_T_fac24:log10_dose,-1.3674444112690014,24,24
b_T_fac26:log10_dose,-0.7060406127363906,26,26
b_T_fac27:log10_dose,-0.5691888126395404,27,27
b_T_fac28:log10_dose,-0.2812748636963157,28,28
b_T_fac15:log10_dose,-1.1403286627923983,15,15
b_T_fac18:log10_dose,-0.35196791816328354,18,18
b_T_fac21:log10_dose,-0.8715721082300184,21,21
b_T_fac24:log10_dose,-1.0977841806297353,24,24
b_T_fac26:log10_dose,-0.6514319963018742,26,26
b_T_fac27:log10_dose,-0.11902145211649774,27,27
b_T_fac28:log10_dose,-0.8079572308555121,28,28
b_T_fac15:log10_dose,-1.2093368443918149,15,15
b_T_fac18:log10_dose,-0.4103515363334536,18,18
b_T_fac21:log10_dose,-0.5739735894076291,21,21
b_T_fac24:log10_dose,-1.0601658844569095,24,24
b_T_fac26:log10_dose,-0.36151592748674255,26,26
b_T_fac27:log10_dose,-0.28652350230521906,27,27
b_T_fac28:log10_dose,-0.30883170638875346,28,28
b_T_fac15:log10_dose,-0.9580765257025915,15,15
b_T_fac18:log10_dose,-0.3539436554830002,18,18
b_T_fac21:log10_dose,-0.6561928093632624,21,21
b_T_fac24:log10_dose,-1.120584459236425,24,24
b_T_fac26:log10_dose,-0.5055021943459932,26,26
b_T_fac27:log10_dose,-0.13833007316332568,27,27
b_T_fac28:log10_dose,-0.3288897886889639,28,28
b_T_fac15:log10_dose,-0.9319285785121583,15,15
b_T_fac18:log10_dose,-0.32083149268463523,18,18
b_T_fac21:log10_dose,-0.7976624424835826,21,21
b_T_fac24:log10_dose,-1.010176278082152,24,24
b_T_fac26:log10_dose,-0.7964738751471293,26,26
b_T_fac27:log10_dose,-0.1089026942005755,27,27
b_T_fac28:log10_dose,-0.6812321886678718,28,28
b_T_fac15:log10_dose,-0.8287909588299741,15,15
b_T_fac18:log10_dose,-0.3418035480541335,18,18
b_T_fac21:log10_dose,-0.6225978688546979,21,21
b_T_fac24:log10_dose,-1.0880275612149417,24,24
b_T_fac26:log10_dose,-0.47833585226146436,26,26
b_T_fac27:log10_dose,-0.21530012840734744,27,27
b_T_fac28:log10_dose,-0.17607979752113886,28,28
b_T_fac15:log10_dose,-0.9876727580924188,15,15
b_T_fac18:log10_dose,-0.3928629875547863,18,18
b_T_fac21:log10_dose,-0.6035383024925515,21,21
b_T_fac24:log10_dose,-1.0640513407336718,24,24
b_T_fac26:log10_dose,-0.5161997709469919,26,26
b_T_fac27:log10_dose,-0.4006006789778383,27,27
b_T_fac28:log10_dose,-0.5937886655277046,28,28
b_T_fac15:log10_dose,-0.8510829378573042,15,15
b_T_fac18:log10_dose,-0.3957366505772233,18,18
b_T_fac21:log10_dose,-0.4865707011886056,21,21
b_T_fac24:log10_dose,-0.9245666233197868,24,24
b_T_fac26:log10_dose,-0.5367360000806298,26,26
b_T_fac27:log10_dose,-0.21226480033778045,27,27
b_T_fac28:log10_dose,-0.40328246384115707,28,28
b_T_fac15:log10_dose,-0.7861119770737401,15,15
b_T_fac18:log10_dose,-0.40546183486147097,18,18
b_T_fac21:log10_dose,-0.33715729664040117,21,21
b_T_fac24:log10_dose,-0.6848114687579809,24,24
b_T_fac26:log10_dose,-0.6534755103620575,26,26
b_T_fac27:log10_dose,-0.31457658524582444,27,27
b_T_fac28:log10_dose,-0.45936834901676,28,28
b_T_fac15:log10_dose,-0.9309237969737469,15,15
b_T_fac18:log10_dose,-0.3335311956818805,18,18
b_T_fac21:log10_dose,-0.8210387688749234,21,21
b_T_fac24:log10_dose,-1.054228195517103,24,24
b_T_fac26:log10_dose,-0.5582434020959891,26,26
b_T_fac27:log10_dose,-0.4359549507190395,27,27
b_T_fac28:log10_dose,-0.2419623216614155,28,28
b_T_fac15:log10_dose,-0.8396423494094687,15,15
b_T_fac18:log10_dose,-0.4839752628424465,18,18
b_T_fac21:log10_dose,-0.5595445882673642,21,21
b_T_fac24:log10_dose,-0.9962580845342737,24,24
b_T_fac26:log10_dose,-0.7829514895597033,26,26
b_T_fac27:log10_dose,-0.36663621825302206,27,27
b_T_fac28:log10_dose,-0.54875076774431375,28,28
b_T_fac15:log10_dose,-1.0314625015483836,15,15
b_T_fac18:log10_dose,-0.39387555322061774,18,18
b_T_fac21:log10_dose,-0.7009105710062956,21,21
b_T_fac24:log10_dose,-1.4675140865465164,24,24
b_T_fac26:log10_dose,-0.6274495103463391,26,26
b_T_fac27:log10_dose,-0.3269861223741546,27,27
b_T_fac28:log10_dose,-0.5874474902772395,28,28
b_T_fac15:log10_dose,-1.0221311278543588,15,15
b_T_fac18:log10_dose,-0.39405397034506234,18,18
b_T_fac21:log10_dose,-0.6109139210736961,21,21
b_T_fac24:log10_dose,-1.4579226018386433,24,24
b_T_fac26:log10_dose,-0.5962730660770276,26,26
b_T_fac27:log10_dose,-0.3796075551309535,27,27
b_T_fac28:log10_dose,-0.670079756181225,28,28
b_T_fac15:log10_dose,-0.7563565787475909,15,15
b_T_fac18:log10_dose,-0.5798695810881139,18,18
b_T_fac21:log10_dose,-0.5972406661657875,21,21
b_T_fac24:log10_dose,-1.0403157936058425,24,24
b_T_fac26:log10_dose,-0.488632858136401,26,26
b_T_fac27:log10_dose,-0.0757668814517623,27,27
b_T_fac28:log10_dose,-0.6475548965153395,28,28
b_T_fac15:log10_dose,-0.8121070656278097,15,15
b_T_fac18:log10_dose,-0.40041388959490076,18,18
b_T_fac21:log10_dose,-0.6332173494514818,21,21
b_T_fac24:log10_dose,-1.3233070079047204,24,24
b_T_fac26:log10_dose,-0.39511480778097197,26,26
b_T_fac27:log10_dose,-0.382524051735472,27,27
b_T_fac28:log10_dose,-0.46283711977014014,28,28
b_T_fac15:log10_dose,-0.7320668407252762,15,15
b_T_fac18:log10_dose,-0.35688564517307125,18,18
b_T_fac21:log10_dose,-0.5332346386182826,21,21
b_T_fac24:log10_dose,-1.2952864864524245,24,24
b_T_fac26:log10_dose,-0.32337975017060755,26,26
b_T_fac27:log10_dose,-0.3259560676432451,27,27
b_T_fac28:log10_dose,-0.37868583375413867,28,28
b_T_fac15:log10_dose,-1.0190623312937594,15,15
b_T_fac18:log10_dose,-0.18728590895046868,18,18
b_T_fac21:log10_dose,-0.8085116696873506,21,21
b_T_fac24:log10_dose,-1.174476681780835,24,24
b_T_fac26:log10_dose,-0.4348559443867274,26,26
b_T_fac27:log10_dose,-0.2089572993556789,27,27
b_T_fac28:log10_dose,-0.5520852048458587,28,28
b_T_fac15:log10_dose,-1.028142895395548,15,15
b_T_fac18:log10_dose,-0.25329527645362887,18,18
b_T_fac21:log10_dose,-0.7323493922500177,21,21
b_T_fac24:log10_dose,-1.0382442240241616,24,24
b_T_fac26:log10_dose,-0.17441137487164232,26,26
b_T_fac27:log10_dose,-0.4173265118645133,27,27
b_T_fac28:log10_dose,-0.2798397733535726,28,28
b_T_fac15:log10_dose,-1.0221845551702466,15,15
b_T_fac18:log10_dose,-0.41908751804187183,18,18
b_T_fac21:log10_dose,-0.6524890813486953,21,21
