T,Dose,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,cell_volume_um3,cell_carbon_fg,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
18,0.5,R3,5.979875800216966e-4,3.9292065704955035e-4,8.312940773224172,3357,440.3,10000000,13012091.290775057,4.234345330026694,140225989655.78473,3.019658010915678e-11,339.52108105202194,33952.10810520219,1218.1763377478933,1811.794806549407,0.035879254801301795,0.053363249225511306,0.40204222407880663,1.487300935346493
18,1,R1,5.017299887788176e-4,4.82002640480171e-4,8.57074353538641,3260,243.1,10000000,11297208.426165758,3.970246881587529,93054897956.4649,4.2665641129873486e-11,339.52108105202194,33952.10810520219,1022.087449118418,2559.938467792409,0.03010379932672906,0.07539851310146399,0.2853378151992479,2.504617848502528
18,1,R2,4.4891427050164085e-4,5.434154587660149e-4,8.738650787781394,3253,236.9,10000000,11122086.250449147,4.0035573198416055,81940822811.71964,4.885913007050003e-11,339.52108105202194,33952.10810520219,914.4951505223813,2931.547804230002,0.02693485623009845,0.08634361657739968,0.2377755946257388,3.2056460906932447
18,1,R3,5.933035427175464e-4,3.9814215486076715e-4,9.21227384218131,3378,388.6,10000000,12593021.983246218,4.308205440104622,136266218367.53555,3.16160930545866e-11,339.52108105202194,33952.10810520219,1208.6343612927346,1896.9655832751962,0.035598212563052775,0.055871805585601925,0.38917902590988324,1.5695115446215133
18,2,R1,4.6213986706216575e-4,4.161340427356261e-4,8.22113818725954,3417,477.3,10000000,12467988.649608344,3.4674033562847457,103888510071.35097,3.337619678926305e-11,339.52108105202194,33952.10810520219,941.4373635731052,2002.5718073557828,0.027728392023729946,0.05898225232880152,0.3197807170132098,2.127142903862746
18,2,R2,6.189958701822155e-4,3.2404446320918173e-4,8.546936175452924,2953,321.1,10000000,12198886.375907466,2.7330777698907074,102888674107.33347,2.656344630352181e-11,339.52108105202194,33952.10810520219,1260.9728820660168,1593.8067782113087,0.03713975221093293,0.046942792867907465,0.44170585198281836,1.263950082415703
18,2,R3,4.7113929201117645e-4,3.539296044005543e-4,8.776680621281981,3406,281.4,10000000,11417687.51900873,2.987130536553881,96364143097.39973,3.0998361429257443e-11,339.52108105202194,33952.10810520219,959.7703304983131,1859.9016857554466,0.028268357520670587,0.05478015326743348,0.34038367759292526,1.9378612014290804
18,4,R1,3.6026457789560735e-4,5.113098148254279e-4,8.533037580027166,3397,349.3,10000000,11341011.706410658,3.4064378687002526,75555857967.01376,4.508502663271242e-11,339.52108105202194,33952.10810520219,733.9045137112017,2705.101597962745,0.02161587467373644,0.07967403937277949,0.21340599285936468,3.6859040207882243
18,4,R2,4.3925122541047494e-4,4.084466109168299e-4,8.580606211666087,3422,350.2,10000000,11662876.774336703,3.2505317174479686,92816416781.06189,3.5021086033900866e-11,339.52108105202194,33952.10810520219,894.8103054287388,2101.265162034052,0.026355073524628497,0.061889092586627725,0.29866080315610466,2.3482800201180667
18,4,R3,4.4958524783062816e-4,3.4296090858133214e-4,8.420639634534227,3388,235.5,10000000,11116854.930841003,2.736191622975419,88691872964.2525,3.0850533780905137e-11,339.52108105202194,33952.10810520219,915.8620162109764,1851.0320268543082,0.026975114869837693,0.05451891296760717,0.331007260110454,2.021081772243634
18,Control,R1,8.561124613827527e-4,2.4354947214005407e-4,8.42319670216559,3335,410.2,10000000,14207392.456225889,4.658917213206175,271776673081.93927,1.7142446996551228e-11,339.52108105202194,33952.10810520219,1744.0093703446773,1028.5468197930736,0.05136674768296516,0.030294048799740896,0.6290257981238708,0.5897599160202888
18,Control,R2,7.716064044720464e-4,3.623878195454413e-4,8.399153672829497,3099,413,10000000,13753021.398425287,4.662106016710426,176932116233.85074,2.634968775566179e-11,339.52108105202194,33952.10810520219,1571.8598435580773,1580.9812653397075,0.046296384268322784,0.04656503980374248,0.4985534599641117,1.005802948538327
18,Control,R3,7.35432433360142e-4,4.106683947781127e-4,8.296715362349879,3065,326.3,10000000,12712130.51178722,4.761353956125663,147386440429.11313,3.230523745782218e-11,339.52108105202194,33952.10810520219,1498.1688888909268,1938.314247469331,0.04412594600160852,0.05708965821690287,0.43595991292356767,1.2937888791057712
21,0.06,R1,8.199302480851028e-4,5.260200087540114e-4,8.533859754306022,2585,318.2,10000000,12981001.921497973,4.700668918398442,116002036513.00868,4.0522296501848914e-11,339.52108105202194,33952.10810520219,1670.3016253026396,2431.3377901109347,0.049195814885106166,0.07161080491901478,0.40722780725819135,1.4556279855564433
