curve_code,series_id,T,Dose,Replicate
C001,T=15 | Dose=0.06 | Rep=R1,15,0.06,R1
C061,T=21 | Dose=1 | Rep=R2,21,1,R2
C062,T=21 | Dose=1 | Rep=R3,21,1,R3
C063,T=21 | Dose=2 | Rep=R1,21,2,R1
C064,T=21 | Dose=2 | Rep=R2,21,2,R2
C065,T=21 | Dose=2 | Rep=R3,21,2,R3
C066,T=21 | Dose=4 | Rep=R1,21,4,R1
C067,T=21 | Dose=4 | Rep=R2,21,4,R2
C068,T=21 | Dose=4 | Rep=R3,21,4,R3
C069,T=21 | Dose=Control | Rep=R1,21,Control,R1
C070,T=21 | Dose=Control | Rep=R2,21,Control,R2
C071,T=21 | Dose=Control | Rep=R3,21,Control,R3
C072,T=24 | Dose=0.06 | Rep=R1,24,0.06,R1
C073,T=24 | Dose=0.06 | Rep=R2,24,0.06,R2
C074,T=24 | Dose=0.06 | Rep=R3,24,0.06,R3
C075,T=24 | Dose=0.12 | Rep=R1,24,0.12,R1
C076,T=24 | Dose=0.12 | Rep=R2,24,0.12,R2
C077,T=24 | Dose=0.12 | Rep=R3,24,0.12,R3
C078,T=24 | Dose=0.25 | Rep=R1,24,0.25,R1
C079,T=24 | Dose=0.25 | Rep=R2,24,0.25,R2
C080,T=24 | Dose=0.25 | Rep=R3,24,0.25,R3
C081,T=24 | Dose=0.5 | Rep=R1,24,0.5,R1
C082,T=24 | Dose=0.5 | Rep=R2,24,0.5,R2
C083,T=24 | Dose=0.5 | Rep=R3,24,0.5,R3
C084,T=24 | Dose=1 | Rep=R1,24,1,R1
C085,T=24 | Dose=1 | Rep=R2,24,1,R2
C086,T=24 | Dose=1 | Rep=R3,24,1,R3
C087,T=24 | Dose=2 | Rep=R1,24,2,R1
C088,T=24 | Dose=2 | Rep=R2,24,2,R2
C089,T=24 | Dose=2 | Rep=R3,24,2,R3
C090,T=24 | Dose=4 | Rep=R1,24,4,R1
C091,T=24 | Dose=4 | Rep=R2,24,4,R2
C092,T=24 | Dose=4 | Rep=R3,24,4,R3
C093,T=24 | Dose=Control | Rep=R1,24,Control,R1
C094,T=24 | Dose=Control | Rep=R2,24,Control,R2
C095,T=24 | Dose=Control | Rep=R3,24,Control,R3
C096,T=26 | Dose=0.06 | Rep=R1,26,0.06,R1
C097,T=26 | Dose=0.06 | Rep=R2,26,0.06,R2
C098,T=26 | Dose=0.06 | Rep=R3,26,0.06,R3
C099,T=26 | Dose=0.12 | Rep=R1,26,0.12,R1
C100,T=26 | Dose=0.12 | Rep=R2,26,0.12,R2
C101,T=26 | Dose=0.12 | Rep=R3,26,0.12,R3
C102,T=26 | Dose=0.25 | Rep=R1,26,0.25,R1
C103,T=26 | Dose=0.25 | Rep=R2,26,0.25,R2
C104,T=26 | Dose=0.25 | Rep=R3,26,0.25,R3
C105,T=26 | Dose=0.5 | Rep=R1,26,0.5,R1
C106,T=26 | Dose=0.5 | Rep=R2,26,0.5,R2
C107,T=26 | Dose=0.5 | Rep=R3,26,0.5,R3
C108,T=26 | Dose=1 | Rep=R1,26,1,R1
C109,T=26 | Dose=1 | Rep=R2,26,1,R2
C110,T=26 | Dose=1 | Rep=R3,26,1,R3
C111,T=26 | Dose=2 | Rep=R1,26,2,R1
C112,T=26 | Dose=2 | Rep=R2,26,2,R2
C113,T=26 | Dose=2 | Rep=R3,26,2,R3
C114,T=26 | Dose=4 | Rep=R1,26,4,R1
C115,T=26 | Dose=4 | Rep=R2,26,4,R2
C116,T=26 | Dose=4 | Rep=R3,26,4,R3
C117,T=26 | Dose=Control | Rep=R1,26,Control,R1
C118,T=26 | Dose=Control | Rep=R2,26,Control,R2
C119,T=26 | Dose=Control | Rep=R3,26,Control,R3
C120,T=27 | Dose=0.06 | Rep=R1,27,0.06,R1
C121,T=27 | Dose=0.06 | Rep=R2,27,0.06,R2
C122,T=27 | Dose=0.06 | Rep=R3,27,0.06,R3
C123,T=27 | Dose=0.12 | Rep=R1,27,0.12,R1
C124,T=27 | Dose=0.12 | Rep=R2,27,0.12,R2
C125,T=27 | Dose=0.12 | Rep=R3,27,0.12,R3
C126,T=27 | Dose=0.25 | Rep=R1,27,0.25,R1
C127,T=27 | Dose=0.25 | Rep=R2,27,0.25,R2
C128,T=27 | Dose=0.25 | Rep=R3,27,0.25,R3
C129,T=27 | Dose=0.5 | Rep=R1,27,0.5,R1
C130,T=27 | Dose=0.5 | Rep=R2,27,0.5,R2
C131,T=27 | Dose=0.5 | Rep=R3,27,0.5,R3
C132,T=27 | Dose=1 | Rep=R1,27,1,R1
C133,T=27 | Dose=1 | Rep=R3,27,1,R3
C134,T=27 | Dose=2 | Rep=R1,27,2,R1
C135,T=27 | Dose=2 | Rep=R2,27,2,R2
C136,T=27 | Dose=2 | Rep=R3,27,2,R3
C137,T=27 | Dose=4 | Rep=R2,27,4,R2
C138,T=27 | Dose=4 | Rep=R3,27,4,R3
C139,T=27 | Dose=Control | Rep=R1,27,Control,R1
C140,T=27 | Dose=Control | Rep=R2,27,Control,R2
C141,T=27 | Dose=Control | Rep=R3,27,Control,R3
C142,T=28 | Dose=0.06 | Rep=R1,28,0.06,R1
C143,T=28 | Dose=0.06 | Rep=R2,28,0.06,R2
C144,T=28 | Dose=0.06 | Rep=R3,28,0.06,R3
C145,T=28 | Dose=0.12 | Rep=R1,28,0.12,R1
C146,T=28 | Dose=0.12 | Rep=R2,28,0.12,R2
C147,T=28 | Dose=0.12 | Rep=R3,28,0.12,R3
C148,T=28 | Dose=0.25 | Rep=R1,28,0.25,R1
C149,T=28 | Dose=0.25 | Rep=R2,28,0.25,R2
C150,T=28 | Dose=0.25 | Rep=R3,28,0.25,R3
C151,T=28 | Dose=0.5 | Rep=R1,28,0.5,R1
C152,T=28 | Dose=0.5 | Rep=R2,28,0.5,R2
C153,T=28 | Dose=0.5 | Rep=R3,28,0.5,R3
C154,T=28 | Dose=1 | Rep=R1,28,1,R1
C155,T=28 | Dose=1 | Rep=R2,28,1,R2
C156,T=28 | Dose=1 | Rep=R3,28,1,R3
C157,T=28 | Dose=2 | Rep=R1,28,2,R1
C158,T=28 | Dose=2 | Rep=R2,28,2,R2
C159,T=28 | Dose=2 | Rep=R3,28,2,R3
C160,T=28 | Dose=4 | Rep=R1,28,4,R1
C161,T=28 | Dose=4 | Rep=R2,28,4,R2
C162,T=28 | Dose=4 | Rep=R3,28,4,R3
C163,T=28 | Dose=Control | Rep=R1,28,Control,R1
C164,T=28 | Dose=Control | Rep=R2,28,Control,R2
C165,T=28 | Dose=Control | Rep=R3,28,Control,R3
