curve_id,study,strain,medium_class,medium_detail,defined,temp_C,rate_per_h
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,28.21,1.267164
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,29.71,1.460196
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,31.01,1.509048
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,32.51,1.706004
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,34.11,1.931112
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,35.31,2.079
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,37.31,2.35296
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,38.71,2.4896160000000003
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,41.01,2.544516
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,42.91,2.48652
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,45.21,2.102328
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,46.81,1.018836
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,10.41,0.05544
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,12.11,0.10332
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,13.31,0.1742399999999999
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,14.71,0.24084
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,16.21,0.3308399999999999
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,17.61,0.4129919999999999
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,18.91,0.515052
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,20.31,0.591372
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,21.61,0.745704
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,23.01,0.868068
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,24.31,0.980388
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,25.61,1.140048
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,26.81,1.28178
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,28.61,1.323936
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,29.81,1.58814
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,31.01,1.693944
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,32.21,1.83096
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,33.71,1.905372
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,35.31,2.383776
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,36.91,2.29446
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,38.51,2.4311160000000003
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,40.11,2.61666
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,41.71,2.603052
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,43.51,2.603052
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,45.71,2.039436
E_coli_O126_H21,Ratkowsky 2005,E. coli,rich_broth,,False,47.21,0.99468
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,8.01,0.0340559999999999
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,8.01,0.035064
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,10.01,0.11556
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,10.01,0.1209599999999999
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,12.01,0.14508
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,12.01,0.14508
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,14.01,0.1998
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,14.01,0.19044
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,16.21,0.568872
E_coli_O157_H-,Ratkowsky 2005,E. coli,rich_broth,,False,18.01,0.703332
