Unnamed: 0,ID,Ts,r
65,4,25.737300000000005,0.561024
66,4,26.697100000000034,0.632556
67,4,28.05060000000003,0.682704
68,4,29.0838,0.715644
69,4,29.97240000000005,0.782892
70,4,31.4332,0.828756
71,4,32.0369,0.884556
72,4,34.56800000000004,0.937656
73,4,35.74240000000003,1.00062
74,4,38.0247,1.032264
75,4,40.029,0.926676
76,4,41.84820000000002,0.27648
77,5,6.990780000000029,0.01674
78,5,7.959210000000041,0.015948
79,5,8.527750000000026,0.030528
80,5,9.952300000000037,0.023184
81,5,9.95115000000004,0.0414
82,5,9.950860000000034,0.04716
83,5,11.999600000000044,0.09072
84,5,12.398600000000044,0.08316
85,5,12.454800000000034,0.10476
86,5,14.392200000000004,0.08676
87,5,15.132200000000012,0.09864
88,5,14.960900000000038,0.11124
89,5,14.96040000000005,0.12672
90,5,14.902700000000038,0.15084
91,5,14.95920000000001,0.16884
92,5,15.928800000000024,0.12672
93,5,15.98490000000004,0.15336
94,5,16.66790000000003,0.1746
95,5,16.667700000000025,0.18252
96,5,17.521100000000047,0.2232
97,5,17.52080000000001,0.2358
98,5,18.263400000000047,0.15372
99,5,19.058100000000024,0.26496
100,5,19.96950000000004,0.26496
101,5,20.025400000000047,0.31716
102,5,20.025000000000038,0.33588
103,5,20.02450000000005,0.362484
104,5,20.993100000000027,0.351
105,5,20.992700000000013,0.374328
106,5,21.331200000000024,0.573408
107,5,21.846400000000017,0.414972
108,5,22.415900000000025,0.423396
109,5,22.4153,0.457704
110,5,22.41500000000002,0.475344
111,5,22.414600000000007,0.502452
112,5,22.47040000000004,0.573516
113,5,22.46850000000001,0.713268
114,5,22.466800000000035,0.850284
115,5,23.0419,0.457776
116,5,23.040900000000025,0.516348
117,5,23.098000000000013,0.507132
118,5,23.6669,0.554256
119,5,23.95120000000003,0.588456
120,5,23.722800000000007,0.628776
121,5,24.00360000000001,0.948492
122,5,24.5188,0.735516
123,5,24.973400000000023,0.82692
124,5,24.9153,0.923616
125,5,25.031600000000022,0.724536
126,5,25.03200000000004,0.697284
127,5,25.03370000000001,0.573804
128,5,24.97860000000003,0.457956
129,5,26.963700000000017,1.119636
130,5,27.477599999999995,1.006488
131,5,27.478300000000047,0.94896
132,5,27.592900000000043,0.887076
133,5,27.59360000000004,0.833148
134,5,27.9341,0.936504
135,5,28.502200000000016,1.072512
136,5,29.35480000000001,1.246464
137,5,29.354600000000005,1.268208
138,5,29.982100000000003,1.182492
139,5,29.98160000000001,1.232208
140,5,29.92380000000003,1.312344
141,5,31.232700000000023,1.44144
142,5,31.23040000000003,1.700388
143,5,32.0292,1.552248
144,5,32.76910000000004,1.617444
145,5,32.48430000000002,1.6092
146,5,32.483600000000024,1.692216
147,5,33.793000000000006,1.786176
148,5,34.98860000000002,1.856196
149,5,34.988,1.92726
150,5,34.98740000000004,2.008872
151,5,36.2389,2.225304
152,5,36.52280000000002,2.342556
153,5,36.97890000000001,2.293452
154,5,36.97930000000002,2.235132
155,5,36.97970000000004,2.187072
156,5,37.49200000000002,2.23524
157,5,37.491600000000005,2.283804
158,5,39.99800000000005,2.274588
159,5,39.94010000000003,2.403036
160,5,39.939700000000016,2.463516
161,5,39.99600000000004,2.545344
162,5,40.96600000000001,2.3238
163,5,41.02190000000002,2.47392
164,5,41.991600000000005,2.284776
165,5,43.01660000000004,2.324232
166,5,43.01710000000003,2.255796
167,5,43.01860000000005,2.056572
168,5,44.04390000000001,2.066076
169,5,44.04450000000003,1.983312
170,5,44.95950000000005,1.554552
171,5,45.0172,1.475028
172,5,46.049800000000005,0.788976
173,5,46.050700000000006,0.716148
174,6,8.045820000000049,0.03816
175,6,10.98380000000003,0.1224
176,6,15.027000000000044,0.33336
177,6,25.027000000000044,1.079208
178,6,35.027000000000044,2.221128
179,6,40.040400000000034,2.876832
180,6,45.0,2.690208
181,7,8.01887000000005,0.0081
182,7,10.98380000000003,0.09972
183,7,15.0,0.26352
184,7,25.0539,0.829908
185,7,35.0,1.889172
186,7,40.040400000000034,2.4282
187,7,45.0,1.287648
188,8,8.045820000000049,0.02682
189,8,10.98380000000003,0.07704
190,8,15.0,0.22608
191,8,25.0539,0.934956
192,8,35.0539,2.347956
193,8,40.06740000000002,2.7495
194,8,45.02700000000005,1.0917
195,9,7.991910000000018,0.020124
196,9,11.010800000000016,0.1008
197,9,15.0,0.2718
198,9,25.0539,0.97794
199,9,35.027000000000044,2.167848
200,9,40.040400000000034,2.227068
201,9,44.97300000000001,2.040372
202,10,8.01887000000005,0.033768
203,10,10.98380000000003,0.12348
204,10,15.0,0.2952
205,10,25.027000000000044,1.138068
206,10,35.027000000000044,2.378664
207,10,40.040400000000034,2.986272
208,10,44.97300000000001,2.4282
209,11,7.5,0.022356
210,11,7.800000000000011,0.03924
211,11,8.600000000000023,0.09216
212,11,9.0,0.09828
213,11,10.800000000000011,0.17172
214,11,12.0,0.16596
215,11,12.800000000000011,0.18756
216,11,13.5,0.20736
217,11,14.800000000000011,0.25416
218,11,15.600000000000025,0.35928
219,11,16.200000000000045,0.411336
220,11,17.0,0.479556
221,11,17.600000000000023,0.413352
222,11,17.900000000000034,0.433512
