kegg_id,kegg_name,n_genes,NES,FDR_q
map00450,Selenocompound metabolism,11,-1.394778805117278,0.16511623262501998
map00052,Galactose metabolism,30,-1.3844960089741682,0.1706265558241294
map00620,Pyruvate metabolism,52,-1.3649236037628802,0.18463911966767854
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,23,-1.3567661763627545,0.18697439323737453
map00521,Streptomycin biosynthesis,11,-1.2885299873257703,0.2553381953516348
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,10,-1.2801502070645614,0.2586115992970123
map00630,Glyoxylate and dicarboxylate metabolism,40,-1.2504821627750873,0.2889988416679981
map00250,"Alanine, aspartate and glutamate metabolism",33,-1.2288153328783786,0.31039843166380954
map03450,Non-homologous end-joining,11,-1.2154603797129881,0.3141599174112355
map00051,Fructose and mannose metabolism,37,-1.2195551031101917,0.3158383506697724
map03460,Fanconi anemia pathway,23,-1.2074241003265718,0.31879343745007194
map00330,Arginine and proline metabolism,56,-1.1916758161564602,0.3334198753794536
map00561,Glycerolipid metabolism,41,1.3502481777713846,0.34142591356376406
map00310,Lysine degradation,34,-1.156758951319282,0.3673909570218885
map00730,Thiamine metabolism,21,1.352616177119526,0.36866326819597844
map00040,Pentose and glucuronate interconversions,29,-1.1610663306451354,0.3699073334398466
map00510,N-Glycan biosynthesis,40,-1.1352282334536306,0.3829365713372743
map04139,Mitophagy - yeast,39,1.41894305347177,0.38404645347235467
map00513,Various types of N-glycan biosynthesis,33,-1.1367974362642763,0.38923767955961597
map00980,Metabolism of xenobiotics by cytochrome P450,36,1.2948019441397347,0.3937670862737618
map00940,Phenylpropanoid biosynthesis,16,1.355989683255629,0.3970145379023884
map00965,Betalain biosynthesis,18,1.3068514191757086,0.39762275626761606
map00053,Ascorbate and aldarate metabolism,15,1.4345170159694625,0.40763301686198883
map00830,Retinol metabolism,11,1.367318184645819,0.4108852956204981
map00930,Caprolactam degradation,18,1.3767165486012378,0.43459102877911293
map00910,Nitrogen metabolism,21,1.4449363643960562,0.45981308411214955
map04146,Peroxisome,76,1.5198229019426988,0.4721295060080107
map03060,Protein export,22,-1.0718825730360324,0.4814211014400134
map00500,Starch and sucrose metabolism,64,-1.0512525128627737,0.48679045032296353
map03440,Homologous recombination,21,-1.0331547528572678,0.48880611918836875
map00860,Porphyrin metabolism,23,-1.0375614482141724,0.4906934015018374
map03022,Basal transcription factors,33,-1.054635795169385,0.4912438588432657
map04120,Ubiquitin mediated proteolysis,58,1.2078518338378819,0.4964582406171192
map00520,Amino sugar and nucleotide sugar metabolism,53,-1.0397866157969637,0.4964810672631411
map00790,Folate biosynthesis,27,-1.0573686909016204,0.49685049273726684
map04130,SNARE interactions in vesicular transport,18,1.2315478755354476,0.5030472729070861
map00280,"Valine, leucine and isoleucine degradation",49,1.213172818659945,0.513279279780448
map00340,Histidine metabolism,22,-1.0102190967784093,0.520486348714455
map00220,Arginine biosynthesis,19,-0.98292578255284,0.5575637748309102
map00071,Fatty acid degradation,36,1.4456036861432289,0.5713451268357811
map00950,Isoquinoline alkaloid biosynthesis,24,1.1420721833045038,0.5848099610396708
map00982,Drug metabolism - cytochrome P450,30,1.1522621622298455,0.5932240930293889
map00650,Butanoate metabolism,35,-0.9407520966956049,0.6261659573850019
map00410,beta-Alanine metabolism,29,-0.9327389106412209,0.6293187809554243
map00680,Methane metabolism,30,-0.9161064713001249,0.6458699472759226
map04141,Protein processing in endoplasmic reticulum,88,1.0984224519273655,0.6575220664589824
map00920,Sulfur metabolism,23,-0.8939249464481553,0.6744322658130912
map00565,Ether lipid metabolism,15,-0.8838073948030969,0.680402593147224
map00592,alpha-Linolenic acid metabolism,11,1.5215572316034571,0.7024922118380061
map00643,Styrene degradation,23,0.9716353096370032,0.7054808710464527
map00564,Glycerophospholipid metabolism,49,-0.8629278211172027,0.7067872263939926
map00061,Fatty acid biosynthesis,14,0.9762290682452209,0.7209016784283807
map00362,Benzoate degradation,14,1.0582224739226394,0.7281966784637012
map03050,Proteasome,36,1.0045504255233182,0.7367349058003264
map00740,Riboflavin metabolism,19,1.0136197682347372,0.744338902487267
map00350,Tyrosine metabolism,45,0.976989147492092,0.7458840868757795
map00640,Propanoate metabolism,26,0.9833822833890363,0.7586646868188924
map00760,Nicotinate and nicotinamide metabolism,23,-0.8224628356562951,0.7639471292486361
map00562,Inositol phosphate metabolism,33,1.0176399614363723,0.7658262546519352
map04138,Autophagy - yeast,78,1.0233596479364724,0.7845671332820865
map04122,Sulfur relay system,10,0.9211416530281068,0.7900249715670277
map00720,Other carbon fixation pathways,14,0.8869125552550134,0.8111874860925677
map00100,Steroid biosynthesis,24,0.8958618218383887,0.8178329768245355
map00360,Phenylalanine metabolism,40,0.8520589758169271,0.8328343019450772
map00600,Sphingolipid metabolism,25,0.858233548826152,0.8462068391974934
map00460,Cyanoamino acid metabolism,23,-0.7558308996938232,0.8506975761355261
map00627,Aminobenzoate degradation,28,0.7825949102117569,0.9341365206518745
map00380,Tryptophan metabolism,53,0.7260240702107655,0.9361561028740074
map00625,Chloroalkane and chloroalkene degradation,22,0.7586734326416193,0.9437944007648058
map00780,Biotin metabolism,14,-0.6422558333172514,0.9444999201150344
map00626,Naphthalene degradation,17,0.6839167318840924,0.957261628990601
map00900,Terpenoid backbone biosynthesis,22,0.7278510550664997,0.9589302252853654
map00511,Other glycan degradation,11,0.645976864844854,0.9631327881619939
map00590,Arachidonic acid metabolism,12,0.6018688858194624,0.9639890224002373
