"gene_id","gene_name","description","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction","comparison","stat","KEGG","PFAM","EC"
"Mycgr3G104491","TRR1","Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family",1156.62970853264,1.17518929961578,0.175046904618474,8.52750667910277e-11,2.37969118205629e-08,TRUE,"up","interaction_LRT_any",46.3702780087627,"map00450","Pyr_redox_2","1.6.5.5;1.8.1.9"
"Mycgr3G65466","","CoA-transferase family III",115.504192515985,-1.38698375345295,0.281853760740411,1.19175992647587e-10,3.22791681262243e-08,TRUE,"down","interaction_LRT_any",45.70083957109,"","CoA_transf_3",""
"Mycgr3G110909","MET5","Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg",307.067169868614,1.98457522711432,0.295034612597131,1.29333711029902e-10,3.40295469964106e-08,TRUE,"up","interaction_LRT_any",45.5372502892867,"map00920;map01100;map01120","Flavodoxin_1;NIR_SIR;NIR_SIR_ferr;POR_N","1.8.1.2"
"Mycgr3G54508","ERB1","Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome",203.552713691166,2.3039973702281,0.339709389775245,1.45642768015401e-10,3.72562291848285e-08,TRUE,"up","interaction_LRT_any",45.2997285738571,"","BOP1NT;WD40",""
"Mycgr3G61736","VPS1","Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family",543.842175314201,1.02858133794067,0.178508495943778,1.54170758385302e-10,3.83718517289256e-08,TRUE,"up","interaction_LRT_any",45.1859206142375,"map04139;map04214;map04217;map04621;map04668","Dynamin_M;Dynamin_N;GED","3.6.5.5"
"Mycgr3G105917","","Cobalamin-independent synthase, Catalytic domain",784.731597753917,-1.36647042651071,0.205941688484616,1.66542130977725e-10,3.96971732948569e-08,TRUE,"down","interaction_LRT_any",45.0315455992235,"","Meth_synt_2",""
"Mycgr3G70061","","Middle domain of eukaryotic initiation factor 4G (eIF4G)",1056.91209481686,1.24260949448311,0.192531764118826,1.68117033174006e-10,3.96971732948569e-08,TRUE,"up","interaction_LRT_any",45.0127215060417,"map03013;map05416","MA3;MIF4G;eIF_4G1",""
"Mycgr3G75229","","DJ-1/PfpI family",611.305630750747,-1.79867890445337,0.450449767357889,1.83211339180448e-10,4.21798305628187e-08,TRUE,"down","interaction_LRT_any",44.8407615410283,"","DJ-1_PfpI",""
"Mycgr3G100846",NA,NA,2637.28475662912,-4.68923112049189,0.734241167096696,2.1959642715092e-10,4.81491308960196e-08,TRUE,"down","interaction_LRT_any",44.4784593524602,NA,NA,NA
"Mycgr3G68068","","Belongs to the peptidase S10 family",2748.92886796358,0.27084104405133,0.521036277685729,2.17568976964604e-10,4.81491308960196e-08,FALSE,"ns","interaction_LRT_any",44.4970103604144,"","Peptidase_S10",""
"Mycgr3G109371","","",885.270714662286,1.29040186288587,0.285806198671944,2.4095811244469e-10,5.16042618023988e-08,TRUE,"up","interaction_LRT_any",44.2927960096551,"","",""
"Mycgr3G78728","PMP3","Proteolipid membrane potential modulator",15079.3306826059,-0.140341657795161,0.179301564796033,2.53184073606576e-10,5.29902757691582e-08,FALSE,"ns","interaction_LRT_any",44.1938086561696,"","Pmp3",""
"Mycgr3G100203","LYP1","Amino acid permease",1581.1814898887,-1.09099189622313,0.216261421360802,3.05551926090519e-10,6.11701671166868e-08,TRUE,"down","interaction_LRT_any",43.8178027618478,"","AA_permease",""
"Mycgr3G87443","","Catalyzes the condensation of formaldehyde and glutathione to S-hydroxymethylglutathione",3441.71742846517,-2.68676275618528,0.423770655453549,2.99030639236605e-10,6.11701671166868e-08,TRUE,"down","interaction_LRT_any",43.8609501508491,"map00680;map01120;map01200","GFA","4.4.1.22"
"Mycgr3G99975","kap123","Importin-beta N-terminal domain",1615.7767096533,1.52388563095091,0.236715163220072,4.76771987942226e-10,9.34168773821267e-08,TRUE,"up","interaction_LRT_any",42.9279655040489,"","HEAT;HEAT_EZ;IBN_N",""
"Mycgr3G102217","","",744.487139906898,-0.150265059091843,0.190023471084917,5.13444680130969e-10,9.85065012359603e-08,FALSE,"ns","interaction_LRT_any",42.7797576467287,"","zf-MYND",""
"Mycgr3G74342","","Uncharacterised protein family UPF0047",445.861270326985,-0.289190124150115,0.185624309805788,6.38312919868408e-10,1.19963748552412e-07,FALSE,"ns","interaction_LRT_any",42.3443849656234,"","UPF0047",""
"Mycgr3G108146","TEF3","ABC transporter",3567.94228955256,1.44122534701755,0.22339119712567,1.05208450562743e-09,1.9377292424646e-07,TRUE,"up","interaction_LRT_any",41.3449847946277,"","ABC_tran",""
"Mycgr3G95830","","Phenol hydroxylase, C-terminal dimerisation domain",1220.63315442917,-0.628278615947391,0.288743707333828,1.1813764167352e-09,2.13319518072832e-07,FALSE,"ns","interaction_LRT_any",41.1131712467768,"","FAD_binding_3;Phe_hydrox_dim",""
"Mycgr3G102248","YET3","B-cell receptor-associated protein 31-like",1133.88034021555,-0.808910896787525,0.161793822846572,1.4891193098856e-09,2.63717302398778e-07,FALSE,"ns","interaction_LRT_any",40.650161917858,"map04141;map04150;map05165","Bap31",""
"Mycgr3G48345","POM33","Uncharacterised protein family (UPF0121)",1619.40049309444,-0.19256160360194,0.150773107478974,2.05266401988181e-09,3.56660055831917e-07,FALSE,"ns","interaction_LRT_any",40.0082547311006,"","UPF0121",""
"Mycgr3G27346","","Gamma-glutamyl cyclotransferase, AIG2-like",209.71530021521,-1.28592361253458,0.586390306427747,2.40322853050873e-09,4.00517253782041e-07,TRUE,"down","interaction_LRT_any",39.6929055650928,"","GGACT",""
"Mycgr3G35590","","ATP-dependent protease La (LON) substrate-binding domain",301.843544686309,-0.578301118349807,0.231416162090214,2.39120633199552e-09,4.00517253782041e-07,FALSE,"ns","interaction_LRT_any",39.7029357138427,"","LON_substr_bdg;zf-C3HC4_2;zf-RING_UBOX",""
"Mycgr3G96438",NA,NA,130.424649770906,-4.12517643590233,0.723557800779461,2.43554850817616e-09,4.00517253782041e-07,TRUE,"down","interaction_LRT_any",39.6661876914956,NA,NA,NA
"Mycgr3G56466","PAB1","Binds the poly(A) tail of mRNA",851.512065127605,1.5439607598995,0.244159820193689,2.61767529635701e-09,4.22915294809679e-07,TRUE,"up","interaction_LRT_any",39.5219584090325,"map03013;map03015;map03018","PABP;RRM_1",""
"Mycgr3G99007","","Haloacid dehalogenase-like hydrolase",2279.33160348264,-0.314638454596689,0.229999499097209,2.72113148548199e-09,4.32049997410408e-07,FALSE,"ns","interaction_LRT_any",39.4444361116554,"","Hydrolase_6;Hydrolase_like",""
"Mycgr3G70069","","Belongs to the cytochrome P450 family",320.269608436201,1.64384795390909,0.265827249342562,3.26246683239013e-09,5.09221306092893e-07,TRUE,"up","interaction_LRT_any",39.081564461333,"","p450",""
"Mycgr3G111251","FCR1","GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain",2333.86667124531,0.268313419635498,0.300048409976673,3.48031057054391e-09,5.34169667402314e-07,FALSE,"ns","interaction_LRT_any",38.9522886054658,"","Zn_clus",""
"Mycgr3G106945","","Ig-like domain from next to BRCA1 gene",1547.98876126825,-1.00032797385192,0.317342065470578,3.6156745864574e-09,5.45848315847315e-07,TRUE,"down","interaction_LRT_any",38.8759747822986,"map04137","N_BRCA1_IG;ZZ",""
"Mycgr3G108482","","",870.129783363075,3.6157554718666,0.570252370459737,4.18528664753118e-09,6.11782614874835e-07,TRUE,"up","interaction_LRT_any",38.5833812826337,"","",""
"Mycgr3G69055","","serum paraoxonase arylesterase 2",792.106446294116,-1.64211163447635,0.27445791899939,4.12164395318299e-09,6.11782614874835e-07,TRUE,"down","interaction_LRT_any",38.6140274708171,"map01120","Arylesterase","3.1.1.2;3.1.8.1"
"Mycgr3G109129","","",442.294807683196,-2.60212228082832,0.421184962275522,4.51007428802056e-09,6.40391519079079e-07,TRUE,"down","interaction_LRT_any",38.4339044234451,"","",""
"Mycgr3G46601","","Catechol dioxygenase N terminus",1236.72412023868,-0.153046854345209,0.280782189625532,4.5896232228493e-09,6.40391519079079e-07,FALSE,"ns","interaction_LRT_any",38.3989358055369,"map00361;map00362;map00364;map00623;map01100;map01120;map01220","Dioxygenase_C;Dioxygenase_N","1.13.11.1"
"Mycgr3G74048","PRT1","Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome",1945.96375948526,1.23906419925915,0.200749066594879,4.53813641670608e-09,6.40391519079079e-07,TRUE,"up","interaction_LRT_any",38.4214987801305,"map03013","RRM_1;eIF2A",""
"Mycgr3G89053","","Predicted coiled-coil protein (DUF2205)",886.163948145549,-0.106178545514875,0.207004810754167,4.66692363609069e-09,6.41458205444167e-07,FALSE,"ns","interaction_LRT_any",38.3655314652774,"","DUF2205",""
"Mycgr3G110982","GLT1","GXGXG motif",589.70745272856,2.39993020978192,0.38633882942771,4.90021056019105e-09,6.63618221305873e-07,TRUE,"up","interaction_LRT_any",38.267975322571,"map00250;map00910;map01100;map01110;map01120;map01130;map01230","Fer4_20;GATase_2;GXGXG;Glu_syn_central;Glu_synthase;Pyr_redox_2","1.4.1.13;1.4.1.14"
"Mycgr3G93126","","integral membrane protein",14.4318178866522,4.08106266717285,0.97444241011317,4.98603314368882e-09,6.65454771307686e-07,TRUE,"up","interaction_LRT_any",38.2332504090336,"","",""
"Mycgr3G66122","","FAD binding domain of DNA photolyase",147.201758223649,-2.50988055049637,0.409233596845602,5.11160141556501e-09,6.7246767765626e-07,TRUE,"down","interaction_LRT_any",38.1835061865243,"map04710;map04962;map05016","DNA_photolyase;FAD_binding_7",""
"Mycgr3G101446","CAT2","Belongs to the carnitine choline acetyltransferase family",685.123519713879,0.252990145445001,0.203963056432014,5.94163042300839e-09,7.70654571344848e-07,FALSE,"ns","interaction_LRT_any",37.8825645184944,"map04146","Carn_acyltransf","2.3.1.7"
"Mycgr3G75295","","Probable molybdopterin binding domain",364.98631319497,-1.20535658032166,0.195355782051396,6.11525857220092e-09,7.82158558213865e-07,TRUE,"down","interaction_LRT_any",37.8249575675903,"","MoCF_biosynth",""
"Mycgr3G38161","lcc1","Belongs to the multicopper oxidase family",110.063307659082,-0.708812013463727,0.689865800628358,7.0450127868987e-09,8.88733188418495e-07,FALSE,"ns","interaction_LRT_any",37.5418917531313,"","Cu-oxidase;Cu-oxidase_2;Cu-oxidase_3",""
"Mycgr3G69227","","Paf1",199.34819693178,1.70253840933189,0.281281338680133,7.70096248599496e-09,9.58353561263887e-07,TRUE,"up","interaction_LRT_any",37.3638410354345,"map04011","Paf1",""
"Mycgr3G32466","","Glycoside hydrolase family 13 protein",175.24563173994,-1.44319769085922,0.3024366268614,8.19868349619698e-09,1.00668901755304e-06,TRUE,"down","interaction_LRT_any",37.2385844896198,"map00052;map00500;map01100","Alpha-amylase;Malt_amylase_C","3.2.1.10"
"Mycgr3G105643","","",301.745547811295,-1.17763395501537,0.28329062471362,9.73719761699755e-09,1.16454354357053e-06,TRUE,"down","interaction_LRT_any",36.8946249593702,"","",""
"Mycgr3G28649","","Pathogenesis associated protein Cap20",1030.5960212835,-1.19046858630935,0.250529080587722,9.64892128909722e-09,1.16454354357053e-06,TRUE,"down","interaction_LRT_any",36.912839422714,"","",""
"Mycgr3G87034","BRX1","Brix",306.256385423711,1.50707917177308,0.281986695081564,1.11447036986435e-08,1.31578944052318e-06,TRUE,"up","interaction_LRT_any",36.6246029129933,"","Brix",""
"Mycgr3G57921","","Belongs to the iron ascorbate-dependent oxidoreductase family",860.575461511973,-1.66334416596473,0.418199725635228,1.25357289379966e-08,1.46128516189886e-06,TRUE,"down","interaction_LRT_any",36.3893659096268,"","2OG-FeII_Oxy;DIOX_N",""
"Mycgr3G91327","","copper resistance protein crd2",373.502179015089,6.05545765729361,0.945878387597066,1.50114171798235e-08,1.72800176011243e-06,TRUE,"up","interaction_LRT_any",36.0289095600937,"","",""
"Mycgr3G36820","","Epoxide hydrolase N terminus",402.293700257259,-1.56358458875186,0.273499016767106,1.52421009417481e-08,1.73289515521677e-06,TRUE,"down","interaction_LRT_any",35.9984088782385,"","EHN",""
"Mycgr3G94017","","",229.703986737642,-0.977597256433422,0.81481879306754,1.5523149239769e-08,1.74332538230528e-06,FALSE,"ns","interaction_LRT_any",35.9618668556844,"","",""
"Mycgr3G108627","TIF5","Domain at the C-termini of GCD6, eIF-2B epsilon, eIF-4 gamma and eIF-5",3027.47732258213,1.19488817411679,0.199966324328586,1.71799585914457e-08,1.90614745383883e-06,TRUE,"up","interaction_LRT_any",35.7590446613399,"map03013;map04214","W2;eIF-5_eIF-2B",""
"Mycgr3G35055","","Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle",32.5075822729059,-3.08581210064654,0.608428238335144,1.80199429859111e-08,1.95230182302653e-06,TRUE,"down","interaction_LRT_any",35.6635734974103,"","Cutinase","3.1.1.74"
"Mycgr3G42709","","Belongs to the peptidase S10 family",141.508249641222,3.10218592231591,0.542779233699564,1.79986348911806e-08,1.95230182302653e-06,TRUE,"up","interaction_LRT_any",35.6659398426101,"","Peptidase_S10","3.4.16.6"
"Mycgr3G52203","","beta-cyclopiazonate dehydrogenase activity",204.399676803333,-1.36671029751319,0.514752805184661,1.86565614871493e-08,1.99777063645533e-06,TRUE,"down","interaction_LRT_any",35.5941358607286,"","Cupin_1;Cupin_2",""
"Mycgr3G91471","","",713.45314482505,3.21566578905894,0.527996212735785,1.8874955909064e-08,1.99792493065024e-06,TRUE,"up","interaction_LRT_any",35.5708597555154,"","",""
"Mycgr3G29100","","",126.479226544521,-3.26967934111421,0.666943491494564,2.05528841599269e-08,2.11932191544062e-06,TRUE,"down","interaction_LRT_any",35.4005291148743,"","",""
"Mycgr3G61630","","Protein of unknown function (DUF3759)",1386.59520246516,-1.43960337250242,0.413337019017578,2.07073642041041e-08,2.11932191544062e-06,TRUE,"down","interaction_LRT_any",35.3855528825796,"","DUF3759",""
"Mycgr3G89326","","",240.5504009633,-0.268562254953368,0.53013997307846,2.07122350298247e-08,2.11932191544062e-06,FALSE,"ns","interaction_LRT_any",35.385082494084,"","",""
"Mycgr3G88011","","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily",535.360898060228,-0.845747052759436,0.25332001284425,2.24198647321076e-08,2.2688410364613e-06,FALSE,"ns","interaction_LRT_any",35.2266369053577,"map02010","ABC2_membrane;ABC_tran;ABC_trans_N;PDR_CDR",""
"Mycgr3G102524","","Nuclear transport factor 2 (NTF2) domain",334.013315570872,0.431835597310396,0.226404954184349,2.32192463465582e-08,2.32419608266798e-06,FALSE,"ns","interaction_LRT_any",35.1565686365706,"map04139","NTF2;RRM_1",""
"Mycgr3G18625","","Acetyltransferase (GNAT) domain",338.269699805374,-1.95136503446284,0.331811062483328,2.38051703576599e-08,2.33214695557117e-06,TRUE,"down","interaction_LRT_any",35.1067260758882,"","Acetyltransf_1;Acetyltransf_3",""
"Mycgr3G61029","","This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium",1118.31745117949,0.614091777077711,0.217204037010661,2.36674760778528e-08,2.33214695557117e-06,FALSE,"ns","interaction_LRT_any",35.1183280973707,"map04020;map04022;map04972;map05010","Cation_ATPase;Cation_ATPase_C;Cation_ATPase_N;E1-E2_ATPase;Hydrolase;Hydrolase_3","3.6.3.8"
"Mycgr3G110267","SRP40","SRP40, C-terminal domain",253.946592458539,2.25805819644061,0.38798785285237,2.45055278003612e-08,2.37548847908975e-06,TRUE,"up","interaction_LRT_any",35.0487342406811,"map05130","LisH;SRP40_C",""
"Mycgr3G107923","","",359.527920462995,-1.09934583148645,0.362738758397233,2.68303917107956e-08,2.57376122150747e-06,TRUE,"down","interaction_LRT_any",34.867461145768,"","",""
"Mycgr3G109991",NA,NA,6632.91063254865,-1.92351189582732,0.719291336263883,2.74981164524965e-08,2.58398116745959e-06,TRUE,"down","interaction_LRT_any",34.8182966545122,NA,NA,NA
"Mycgr3G33739","","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family",358.406072099743,1.68367443162825,0.296119103125619,2.73957266649434e-08,2.58398116745959e-06,TRUE,"up","interaction_LRT_any",34.8257575936981,"map03008","Ribosomal_L7Ae",""
"Mycgr3G98380","","Aminotransferase class-V",567.476152910232,1.86481623435894,0.329230623771107,2.80859866065027e-08,2.61256414807357e-06,TRUE,"up","interaction_LRT_any",34.7759901645501,"map00340;map00450;map01100","Aminotran_5;GGACT","4.4.1.16;4.4.1.36"
"Mycgr3G104368","SUB2","helicase superfamily c-terminal domain",1346.39883967581,0.868007656586764,0.211552796624146,3.0115686904213e-08,2.77335360700897e-06,FALSE,"ns","interaction_LRT_any",34.6364392826794,"map03013;map03015;map03040;map05164","DEAD;Helicase_C","3.6.4.13"
"Mycgr3G73109","","Uncharacterized conserved protein (DUF2183)",799.154705916795,0.693033128319131,0.188282013518856,3.08799127701159e-08,2.81557541287126e-06,FALSE,"ns","interaction_LRT_any",34.5863198731915,"","DUF2183",""
"Mycgr3G107460","","RNA polymerase I-specific transcription-initiation factor",2068.55478737102,-1.89468967822847,0.395724711867601,3.28025089889435e-08,2.94918857051843e-06,TRUE,"down","interaction_LRT_any",34.4655216618329,"","Rrn6",""
"Mycgr3G109530","","OsmC-like protein",1314.40290849941,-0.797699965805954,0.212677544186521,3.31911527045068e-08,2.94918857051843e-06,FALSE,"ns","interaction_LRT_any",34.4419649626827,"","OsmC",""
"Mycgr3G75982","","NAD dependent epimerase dehydratase family protein",95.7911324136179,-2.01295756366195,0.476046284851792,3.3306071379511e-08,2.94918857051843e-06,TRUE,"down","interaction_LRT_any",34.4350522657398,"","Epimerase",""
"Mycgr3G74641","","Major Facilitator Superfamily",299.521856900991,-0.228875906602649,0.329542113330347,3.44219594630924e-08,3.01896975900589e-06,FALSE,"ns","interaction_LRT_any",34.3691422394893,"","MFS_1",""
"Mycgr3G104895","APR1","Belongs to the peptidase A1 family",6575.1745442546,-0.865587059784486,0.148187216068686,3.98188819662241e-08,3.45935928327319e-06,FALSE,"ns","interaction_LRT_any",34.0778492317926,"map04138","Asp","3.4.23.25"
"Mycgr3G74711","","Glycosyl hydrolase family 92",293.121594428928,-2.20430218765458,0.40832657020195,4.29894677572226e-08,3.69990662220807e-06,TRUE,"down","interaction_LRT_any",33.9246213742662,"","Glyco_hydro_92",""
"Mycgr3G98465","tsn1","Translin family",423.699519293185,2.88604008565608,0.510296699573584,4.36831853871587e-08,3.72480050213282e-06,TRUE,"up","interaction_LRT_any",33.892605165277,"map00563;map01100","Translin",""
"Mycgr3G70038","","Belongs to the thiolase family",503.613719374647,-0.925447603739651,0.240005662132092,4.76675880056481e-08,4.02725521049553e-06,FALSE,"ns","interaction_LRT_any",33.7180283335032,"map00071;map00280;map00592;map01040;map01100;map01110;map01130;map01212;map03320;map04146","Thiolase_C;Thiolase_N","2.3.1.16"
"Mycgr3G106886","","Forkhead associated domain",314.273111082454,-1.53036172930061,0.39767629885263,4.91306222175997e-08,4.11312636365342e-06,TRUE,"down","interaction_LRT_any",33.6575666522559,"","FHA",""
"Mycgr3G107882","NAN1","WD40 repeats",130.655588704549,1.9042617100418,0.327840243554658,5.16594214369919e-08,4.28587037849782e-06,TRUE,"up","interaction_LRT_any",33.5571864975605,"map03008","WD40",""
"Mycgr3G111159",NA,NA,462.861551835363,2.39433790325848,0.562206927308114,5.22229108543559e-08,4.29393558980146e-06,TRUE,"up","interaction_LRT_any",33.5354890661854,NA,NA,NA
"Mycgr3G99331","","Cutinase",18.2224821579912,-0.68192972906517,0.861838540016023,5.36346053602462e-08,4.37098301559741e-06,FALSE,"ns","interaction_LRT_any",33.482142709603,"","Cutinase",""
"Mycgr3G71033","","Pleckstrin homology domain.",1472.48228454962,0.118072309050001,0.197995329755299,5.95431698773844e-08,4.80993904737573e-06,FALSE,"ns","interaction_LRT_any",33.273128486634,"","",""
