kegg_id,kegg_name,n_genes,meanLFC_15,NES_15,FDR_15,meanLFC_21,NES_21,FDR_21,meanLFC_27,NES_27,FDR_27
map00970,Aminoacyl-tRNA biosynthesis,38,-0.37401669923935543,-1.9148510612990364,0.002155947749972177,-0.1943995850891231,-1.6572131374569643,0.034803560671976444,-0.1086946640418612,-1.5298890693785427,0.08987840118924402
map00300,Lysine biosynthesis,12,-0.3575301155876822,-1.1956623754236104,0.4057037111806467,-0.3248082793141592,-1.110683121856187,0.4792743932586453,-0.18690598393752375,-1.6971410861116807,0.02998681898066784
map03420,Nucleotide excision repair,40,-0.34306048252719473,-1.7179548262595767,0.015992059486558324,-0.009884097259032287,-0.703944645269704,0.9877874248640397,-0.06742867097914476,-1.4092319521941674,0.15688305391959717
map03060,Protein export,22,-0.21621653583684328,-1.2801857077089758,0.2748806960286217,-0.5109756364293768,-2.1097951744703693,0.00037926957142538434,-0.06258230675072403,-1.0718825730360324,0.4814211014400134
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",21,-0.18218929194851033,-1.0818085825505996,0.5723429039492569,-0.08016295765810114,-1.0390302205156101,0.5359694075978126,-0.16724937189565123,-1.6341382173578476,0.044216328486978755
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,23,-0.1803916904657865,-0.9477383268928568,0.802575568952878,-0.42774116811622415,-1.8252936161044968,0.008858653561150046,-0.08737529726419149,-1.3567661763627545,0.18697439323737453
map00983,Drug metabolism - other enzymes,34,-0.13593495607429054,-1.3665876140973687,0.21319853585715576,0.3208486515147084,0.9424360490170822,0.7409666483872576,-0.1296110936539121,-1.7349734752536075,0.022961934813868032
map00030,Pentose phosphate pathway,28,-0.09761569592843641,-1.3339044203775812,0.24622825611520474,-0.18686345955901534,-1.8283508227418133,0.009277517208713247,-0.10404959446556868,-1.8645426501324895,0.009184773925547212
map00270,Cysteine and methionine metabolism,45,-0.08875239730117482,-1.3239798843659083,0.24863452328880814,0.0552268245726922,-1.3844299647568057,0.160004350445084,-0.06929530575470993,-1.8549797770457381,0.009607982686749264
map00565,Ether lipid metabolism,15,-0.0405295813431464,-0.7351562530826969,0.8915847941410675,-0.4442634331408159,-1.6822792817080439,0.029938591794391275,0.08946084972847593,-0.8838073948030969,0.680402593147224
map04141,Protein processing in endoplasmic reticulum,88,-0.026033112082659987,0.8088588142148234,0.8587544943786373,-0.15358492169683255,-1.822738512163258,0.008419784485643532,0.036759777652286316,1.0984224519273655,0.6575220664589824
map00010,Glycolysis / Gluconeogenesis,53,0.14814524165461915,-0.9955814354340956,0.7086687443221964,0.17583343531197942,-1.187543289636248,0.37795567326723206,-0.048121185716685805,-1.8076859789089075,0.014888560472918998
map00710,Carbon fixation by Calvin cycle,19,0.16450316848905086,-0.8653508936732338,0.7911437479672062,0.24118004922162317,0.9093543224707697,0.777235726036763,-0.04427378789316299,-1.6595176371320925,0.03705364275443362
map04146,Peroxisome,76,0.3397333043886186,1.9444342290259349,0.004916809341937749,0.39196321475367246,1.5006752738094178,0.12909061126818744,0.10558813976192709,1.5198229019426988,0.4721295060080107
map00910,Nitrogen metabolism,21,0.36552341947928807,1.2892996441038702,0.2688170953678658,0.890897255594036,1.768619396312441,0.04726058128520864,0.20489356214396182,1.4449363643960562,0.45981308411214955
map00982,Drug metabolism - cytochrome P450,30,0.6098243484023735,1.990583171738052,0.002048670559140729,0.9426462900178788,1.9315466585241126,0.009422204496734633,0.07821507968347863,1.1522621622298455,0.5932240930293889
