Checklist	ERC000011:1.5	ENA default sample checklist
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1047171	Zymoseptoria tritici	12129_15_2_R6_S22	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R7_S23	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R8_S24	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R1_S25	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R2_S26	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 2	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R3_S27	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 3	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R4_S28	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R5_S29	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 5	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R6_S30	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R7_S31	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_0_R8_S32	Zymoseptoria tritici IPO323, 21 C, prothioconazole 0 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R1_S33	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R3_S34	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 3	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R4_S35	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R5_S36	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 5	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R6_S37	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R7_S38	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_21_2_R8_S39	Zymoseptoria tritici IPO323, 21 C, prothioconazole 2 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 21 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R1_S40	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R2_S41	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 2	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R4_S42	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R5_S43	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 5	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R6_S44	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R7_S45	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_0_R8_S46	Zymoseptoria tritici IPO323, 27 C, prothioconazole 0 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R1_S47	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R2_S48	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 2	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R3_S49	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 3	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R4_S50	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R6_S51	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R7_S52	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_27_2_R8_S53	Zymoseptoria tritici IPO323, 27 C, prothioconazole 2 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 27 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_BLANK_S54	Zymoseptoria tritici IPO323 control sample 12129_BLANK_S54	Zymoseptoria tritici isolate IPO323; control; control	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_Nc_S55	Zymoseptoria tritici IPO323 control sample 12129_Nc_S55	Zymoseptoria tritici isolate IPO323; control; control	2026-06	United Kingdom
