sub,bigg,mnx,sm2
"CDP-diacylglycerol (1-16:0, 2-18:1)",s,MNXM32787,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
"CDP-diacylglycerol (1-16:1, 2-18:1)",s,,
"CDP-diacylglycerol (1-18:0, 2-18:1)",s,,
"CDP-diacylglycerol (1-18:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)",s,MNXM75665,
"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)",s,MNXM75671,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
"phosphatidyl-L-serine (1-16:0, 2-16:1)",s,MNXM78605,
"phosphatidyl-L-serine (1-16:1, 2-16:1)",s,MNXM78637,
"phosphatidyl-L-serine (1-18:0, 2-16:1)",s,MNXM78765,
"phosphatidyl-L-serine (1-18:1, 2-16:1)",s,MNXM78797,
"phosphatidyl-L-serine (1-16:0, 2-18:1)",s,MNXM32501,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-]
"phosphatidyl-L-serine (1-16:1, 2-18:1)",s,MNXM78642,
"phosphatidyl-L-serine (1-18:0, 2-18:1)",s,MNXM32529,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-]
"phosphatidyl-L-serine (1-18:1, 2-18:1)",s,MNXM32173,
"phosphatidylethanolamine (1-16:0, 2-16:1)",s,,
"phosphatidylethanolamine (1-16:1, 2-16:1)",pe161,,
"phosphatidylethanolamine (1-18:0, 2-16:1)",s,,
"phosphatidylethanolamine (1-18:1, 2-16:1)",s,MNXM71684,
"phosphatidylethanolamine (1-16:0, 2-18:1)",s,,
"phosphatidylethanolamine (1-16:1, 2-18:1)",s,,
"phosphatidylethanolamine (1-18:0, 2-18:1)",s,,
"phosphatidylethanolamine (1-18:1, 2-18:1)",s,,
"phosphatidyl-N-methylethanolamine (1-16:0, 2-16:1)",s,,
"phosphatidyl-N-methylethanolamine (1-16:1, 2-16:1)",s,,
"phosphatidyl-N-methylethanolamine (1-18:0, 2-16:1)",s,,
"phosphatidyl-N-methylethanolamine (1-18:1, 2-16:1)",s,,
"phosphatidyl-N-methylethanolamine (1-16:0, 2-18:1)",s,,
"phosphatidyl-N-methylethanolamine (1-16:1, 2-18:1)",s,,
"phosphatidyl-N-methylethanolamine (1-18:0, 2-18:1)",s,,
"phosphatidyl-N-methylethanolamine (1-18:1, 2-18:1)",s,MNXM72986,
"phosphatidyl-N,N-dimethylethanolamine (1-16:0, 2-16:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-16:1, 2-16:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-18:0, 2-16:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-18:1, 2-16:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-16:0, 2-18:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-16:1, 2-18:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-18:0, 2-18:1)",s,,
"phosphatidyl-N,N-dimethylethanolamine (1-18:1, 2-18:1)",s,MNXM72998,
"diglyceride (1-16:0, 2-16:1)",s,MNXM49375,
"diglyceride (1-16:1, 2-16:1)",12dgr161,MNXM176611,
"diglyceride (1-18:0, 2-16:1)",s,MNXM49511,
"diglyceride (1-18:1, 2-16:1)",s,MNXM49575,
"diglyceride (1-16:0, 2-18:1)",s,MNXM49380,
"diglyceride (1-16:1, 2-18:1)",s,MNXM49417,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-16:1)",s,,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:1, 2-16:1)",s,,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-18:0, 2-16:1)",s,,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-18:1, 2-16:1)",s,,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:0, 2-18:1)",s,MNXM725269,
"3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate (1-16:1, 2-18:1)",s,,
"cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-16:1)",s,MNXM120766,
"cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)",s,MNXM120775,
"cardiolipin (1-16:0, 2-16:1, 3-18:0, 4-16:1)",s,MNXM120785,
"cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1)",s,MNXM120792,
"cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-18:1)",s,MNXM120768,
"cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1)",s,MNXM120778,
"cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-18:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)",s,,
"cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)",s,MNXM120922,
"cardiolipin (1-16:0, 2-18:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)",s,MNXM120940,
"cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-18:1)",s,,
"cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)",s,MNXM120924,
"cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1)",s,,
"cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1)",s,,
"monolysocardiolipin (2-16:1, 3-16:0, 4-16:1)",s,,
"monolysocardiolipin (2-16:1, 3-16:1, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1)",clpn161,MNXM4501,CCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(O)COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/CCCCCC
"cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1)",s,,
"monolysocardiolipin (2-16:1, 3-18:0, 4-16:1)",s,,
"monolysocardiolipin (2-16:1, 3-18:1, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-16:1)",s,MNXM121254,
"cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-16:1)",s,,
"monolysocardiolipin (2-16:1, 3-16:0, 4-18:1)",s,,
"monolysocardiolipin (2-16:1, 3-16:1, 4-18:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-18:1)",s,MNXM121237,
"cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-18:1)",s,,
"monolysocardiolipin (2-18:1, 3-16:0, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-16:1)",s,,
"monolysocardiolipin (2-18:1, 3-16:1, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-16:1)",s,,
"monolysocardiolipin (2-18:1, 3-18:0, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-18:0, 4-16:1)",s,,
"monolysocardiolipin (2-18:1, 3-18:1, 4-16:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-16:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-18:1, 4-16:1)",s,,
"monolysocardiolipin (2-18:1, 3-16:0, 4-18:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-16:0, 4-18:1)",s,,
"monolysocardiolipin (2-18:1, 3-16:1, 4-18:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-16:1, 4-18:1)",s,,
"cardiolipin (1-18:1, 2-18:1, 3-16:1, 4-18:1)",s,,
"monolysocardiolipin (1-16:0, 2-16:1, 4-16:1)",s,,
"monolysocardiolipin (1-16:0, 2-16:1, 4-18:1)",s,,
"cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-18:1)",s,,
"monolysocardiolipin (1-16:1, 2-16:1, 4-16:1)",s,,
"monolysocardiolipin (1-16:1, 2-16:1, 4-18:1)",s,,
"cardiolipin (1-16:1, 2-16:1, 3-18:1, 4-18:1)",s,,
"monolysocardiolipin (1-18:0, 2-16:1, 4-16:1)",s,,
"monolysocardiolipin (1-18:0, 2-16:1, 4-18:1)",s,,
"cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-18:1)",s,,
"monolysocardiolipin (1-18:1, 2-16:1, 4-16:1)",s,,
"monolysocardiolipin (1-18:1, 2-16:1, 4-18:1)",s,,
"cardiolipin (1-18:1, 2-16:1, 3-18:1, 4-18:1)",s,,
"monolysocardiolipin (1-16:0, 2-18:1, 4-16:1)",s,,
"monolysocardiolipin (1-16:0, 2-18:1, 4-18:1)",s,,
"cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-18:1)",s,,
"monolysocardiolipin (1-16:1, 2-18:1, 4-16:1)",s,,
"monolysocardiolipin (1-16:1, 2-18:1, 4-18:1)",s,,
"cardiolipin (1-16:1, 2-18:1, 3-18:1, 4-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)",s,MNXM75492,
"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)",pail161,,
"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)",s,MNXM75499,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1)",pail4p161,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)",pail3p161,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)",s,,
"triglyceride (1-16:0, 2-16:1, 3-16:1)",s,MNXM84138,
"triglyceride (1-16:0, 2-16:1, 3-18:1)",s,,
"triglyceride (1-16:1, 2-16:1, 3-16:1)",tag1619Z1619Z1619Z,MNXM84424,
"triglyceride (1-16:1, 2-16:1, 3-18:1)",tag1619Z1619Z1819Z,MNXM84429,
"triglyceride (1-18:0, 2-16:1, 3-16:1)",s,MNXM84428,
"triglyceride (1-18:0, 2-16:1, 3-18:1)",s,,
"triglyceride (1-18:1, 2-16:1, 3-16:1)",tag1819Z1619Z1619Z,,
"triglyceride (1-18:1, 2-16:1, 3-18:1)",tag1819Z1619Z1819Z,MNXM85603,
"triglyceride (1-16:0, 2-18:1, 3-16:1)",s,,
"triglyceride (1-16:0, 2-18:1, 3-18:1)",s,,
"triglyceride (1-16:1, 2-18:1, 3-16:1)",s,,
"triglyceride (1-16:1, 2-18:1, 3-18:1)",s,MNXM84530,
"triglyceride (1-18:0, 2-18:1, 3-16:1)",s,,
"triglyceride (1-18:0, 2-18:1, 3-18:1)",s,,
"triglyceride (1-18:1, 2-18:1, 3-16:1)",s,,
"triglyceride (1-18:1, 2-18:1, 3-18:1)",s,MNXM85618,
"phosphatidylcholine (1-16:0, 2-16:1)",s,,
"phosphatidylcholine (1-16:1, 2-16:1)",pc161,MNXM69377,
"phosphatidylcholine (1-18:0, 2-16:1)",s,MNXM69528,
"phosphatidylcholine (1-18:1, 2-16:1)",s,MNXM69658,
"phosphatidylcholine (1-16:0, 2-18:1)",s,,
"phosphatidylcholine (1-16:1, 2-18:1)",s,MNXM69383,
"phosphatidylcholine (1-18:0, 2-18:1)",s,MNXM32526,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
"phosphatidylcholine (1-18:1, 2-18:1)",s,MNXM8549,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
1-acylglycerophosphocholine (16:0),1agpc160,MNXM32510,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
1-acylglycerophosphocholine (16:1),1agpc161,MNXM32519,CCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
1-acylglycerophosphocholine (18:0),1agpc180,MNXM32545,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
1-acylglycerophosphocholine (18:1),1agpc181,MNXM13872,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C
1-acylglycerophosphoethanolamine (16:0),1agpe160,,
1-acylglycerophosphoethanolamine (16:1),1agpe161,,
1-acylglycerophosphoethanolamine (18:0),1agpe180,,*C(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]
1-acylglycerophosphoethanolamine (18:1),1agpe181,,
1-acylglycerophosphoserine (16:0),s,MNXM78597,
1-acylglycerophosphoserine (16:1),s,MNXM78629,
1-acylglycerophosphoserine (18:0),s,MNXM78757,
1-acylglycerophosphoserine (18:1),s,MNXM32944,
1-acylglycerophosphoinositol (16:0),pailpalm_hs,,
1-acylglycerophosphoinositol (16:1),s,,
1-acylglycerophosphoinositol (18:0),pailste_hs,,
1-acylglycerophosphoinositol (18:1),s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1)",s,,
"phosphatidylglycerol (1-16:0, 2-16:1)",s,,
"phosphatidylglycerol (1-16:1, 2-16:1)",s,,
"phosphatidylglycerol (1-18:0, 2-16:1)",s,,
"phosphatidylglycerol (1-18:1, 2-16:1)",s,,
"phosphatidylglycerol (1-16:0, 2-18:1)",s,,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O
"phosphatidylglycerol (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-16:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-18:1)",s,,
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-18:1)",s,,
ergosteryl oleate,s,MNXM52466,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC=C3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C)C1
lanosteryl oleate,s,MNXM59726,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@]1(C)CC[C@H]([C@H](C)CCC=C(C)C)[C@@]1(C)CC3
"triglyceride (1-16:0, 2-16:1, 3-16:0)",s,MNXM84113,
"triglyceride (1-16:0, 2-16:1, 3-18:0)",s,MNXM84142,
"triglyceride (1-16:1, 2-16:1, 3-16:0)",tag1619Z1619Z160,,
"triglyceride (1-16:1, 2-16:1, 3-18:0)",s,,
"triglyceride (1-18:0, 2-16:1, 3-16:0)",s,,
"triglyceride (1-18:0, 2-16:1, 3-18:0)",s,MNXM84510,
"triglyceride (1-18:1, 2-16:1, 3-16:0)",s,,
"triglyceride (1-18:1, 2-16:1, 3-18:0)",s,,
"triglyceride (1-16:0, 2-18:1, 3-16:0)",s,MNXM84120,
"triglyceride (1-16:0, 2-18:1, 3-18:0)",s,MNXM85401,
"triglyceride (1-16:1, 2-18:1, 3-16:0)",s,,
"triglyceride (1-16:1, 2-18:1, 3-18:0)",s,,
"triglyceride (1-18:0, 2-18:1, 3-16:0)",s,MNXM84227,
"triglyceride (1-18:0, 2-18:1, 3-18:0)",s,,
"triglyceride (1-18:1, 2-18:1, 3-16:0)",s,MNXM85598,
"triglyceride (1-18:1, 2-18:1, 3-18:0)",s,,
1-monoglyceride (16:0),mag160,,
1-monoglyceride (16:1),s,,
1-monoglyceride (18:0),mag180,,
1-monoglyceride (18:1),magole_hs,,
ceramide-2' (C24),s,MNXM63175,CCCCCCCCCCCCCCCCCCCCCC[C@H](O)C(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
ceramide-2' (C26),s,MNXM63156,CCCCCCCCCCCCCCCCCCCCCCCC[C@H](O)C(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
ceramide-4 (C24),s,MNXM31230,CCCCCCCCCCCCCCCCCCCCC[C@@H](O)[C@H](O)C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
ceramide-4 (C26),s,MNXM63127,CCCCCCCCCCCCCCCCCCCCCCC[C@@H](O)[C@H](O)C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
Cytochrome c,cytc,,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
diacetyl,diact,MNXM1467,CC(=O)C(=O)C
L-glutamyl-tRNA(Gln),glutrna_gln,MNXM91213,
Met-Ala,met_L_ala__L,MNXM61647,CSCC[C@H]([NH3+])C(=O)N[C@@H](C)C(=O)[O-]
ADP-D-ribose 1''-phosphate,s,MNXM5039,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
ADP-ribose,adprib,MNXM48596,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
quinone,s,MNXM769,O=C1C=CC(=O)C=C1
"1,4-benzosemiquinone",s,MNXM7107,[O]c1ccc(O)cc1
N-Acetyl-D-glucosaminyldiphosphodolichol,naglc2p,MNXM818,
"N,N'-Chitobiosyldiphosphodolichol",s,,
D-ribofuranose 5-phosphate,s,MNXM722712,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O
Oxalate,oxa,MNXM291,C(=O)(C(=O)[O-])[O-]
Oxalyl-CoA,oxalcoa,MNXM618,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O
G00171,s,,
G00010,s,,
G00011,s,MNXM6479,
cholesterol,chsterol,MNXM103,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
3-chlorobenzyl alcohol,s,,OCc1cccc(Cl)c1
3-chlorobenzaldehyde,s,,C1=CC(=CC(=C1)Cl)C=O
3-hydroxybenzyl alcohol,s,MNXM2785,C1=CC(=CC(=C1)O)CO
3-hydroxybenzaldehyde,s,MNXM2483,C1=CC(=CC(=C1)O)C=O
3-methylbenzyl alcohol,3mbzalc,MNXM3486,Cc1cccc(CO)c1
3-methylbenzaldehyde,3mbzald,MNXM4040,CC1=CC(=CC=C1)C=O
4-isopropylbenzyl alcohol,s,MNXM5878,CC(C)c1ccc(CO)cc1
p-cumic aldehyde,s,MNXM5879,CC(C)c1ccc(C=O)cc1
4-methylbenzyl alcohol,4mbzalc,MNXM3500,Cc1ccc(CO)cc1
4-methylbenzaldehyde,4mbzald,MNXM4077,CC1=CC=C(C=C1)C=O
benzyl alcohol,bzalc,MNXM562,C1=CC=C(C=C1)CO
benzaldehyde,bzal,MNXM371,C1=CC=C(C=C1)C=O
4-hydroxy-4-methyl-2-oxoglutarate,s,MNXM2196,CC(CC(=O)C(=O)[O-])(C(=O)[O-])O
superoxide,o2s,MNXM330,[O][O-]
ferricytochrome b5,ficytb5,MNXM1083,
ferrocytochrome b5,ficytb5,MNXM1083,
ferrocytochrome b5,focytb5,,
(S)-benzoin,s,MNXM5393,O=C(c1ccccc1)[C@@H](O)c1ccccc1
benzil,s,MNXM2349,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2
Ala-Gly,L_alagly,MNXM15783,C[C@H]([NH3+])C(=O)NCC(=O)[O-]
Ala-Leu,ala_L_ile__L,MNXM15786,CC(C)C[C@H](NC(=O)[C@H](C)[NH3+])C(=O)[O-]
5-oxo-L-proline,5oxpro,MNXM722719,O=C1CC[C@@H](C(=O)[O-])N1
Threo-3-hydroxy-L-aspartate,s,MNXM4918,[NH3+][C@H](C(=O)[O-])[C@H](O)C(=O)[O-]
pyridoxal 5'-phosphate,pydx5p,MNXM161,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
L-cysteinylglycine,cgly,MNXM683,C(C(C(=O)NCC(=O)O)N)S
Glycyl-tRNA(Ala),s,,
D-tyrosyl-tRNA(Tyr),s,,
D-tyrosine,s,MNXM5704,C1=CC(=CC=C1CC(C(=O)O)N)O
4-nitrophenyl phosphate,HC01104,MNXM3867,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O
4-nitrophenol,4nph,MNXM526,C1=CC(=CC=C1[N+](=O)[O-])O
L-iditol,C01507,MNXM3633,OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
alpha-D-Galactose,a_gal__D,MNXM390,C(C1C(C(C(C(O1)O)O)O)O)O
3-hydroxy-2-methylpropanoyl-CoA,s,MNXM1034,CC(CO)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
2-Phenylacetamide,pad,MNXM2073,C1=CC=C(C=C1)CC(=O)N
phenylacetic acid,pac,MNXM497,CC(=O)Oc1ccccc1
(Indol-3-yl)acetamide,iad,MNXM2239,NC(=O)Cc1c[nH]c2ccccc12
Acrylic acid,acryl,MNXM1368,C=CC(=O)[O-]
Acrylamide,aa,MNXM3208,C=CC(=O)N
Benzamide,s,MNXM5065,C1=CC=C(C=C1)C(=O)N
Benzoate,bz,MNXM217,C1=CC=C(C=C1)C(=O)[O-]
G00009,s,,
G10694,s,,
G01813,s,,
G00003,s,,
G00004,s,,
G00005,s,,
2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate,man6pglyc,MNXM3470,O=C([O-])[C@@H](CO)O[C@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1O
O-acetyl-L-serine,acser,MNXM418,CC(=O)OCC(C(=O)O)N
G10599,s,MNXM9258,
G00008,s,MNXM9308,
N-(4-oxoglutarate)-L-cysteinylglycine,s,,
2'-deoxyribonucleoside 5'-triphosphate,s,MNXM96330,*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1
2'-deoxyribonucleoside 5'-phosphate,s,MNXM6057,*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])[O-])O1
G00012,s,MNXM9328,
8-oxo-dGTP,s,MNXM4425,C1C(C(OC1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
beta-D-Fructose 6-phosphate,f6p_B,MNXM89621,C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
alpha-D-Glucose 6-phosphate,g6p_A,MNXM215,O=P([O-])([O-])OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
beta-D-Glucose 6-phosphate,g6p_B,MNXM508,O=P([O-])([O-])OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
D-Glycerate,glyc__R,MNXM189,C(C(C(=O)[O-])O)O
