gene,enzyme_name,enzyme_id,rxn_id,EC,parameter,ident,identifiable_from_growth,refined,top_descriptor
pflA;pflB,Pyruvate formate lyase,P09373,PFLNo1,,Topt_i,0.0,False,False,CT_max_C
pflA;tdcE,Pyruvate formate lyase,P0A9N4,PFLNo2,,Topt_i,0.0,False,False,CT_max_C
,Pyruvate formate lyase,P32674,PFLNo3,,Topt_i,0.0,False,False,CT_max_C
grcA;pflA;pflB,Pyruvate formate lyase,P09373,PFLNo4,,Topt_i,0.0,False,False,CT_max_C
trpE;trpGD,Anthranilate synthase,P00895,ANSNo1,,Topt_i,0.0,False,False,CT_max_C
frdA;frdB;frdC,Fumarate reductase,P00363,FRD2No1,,Topt_i,0.0,False,False,CT_max_C
frdA;frdB;frdC,Fumarate reductase,P00363,FRD3No1,,Topt_i,0.0,False,False,CT_max_C
trpGD,Anthranilate phosphoribosyltransferase,P00904,ANPRTNo1,,Topt_i,0.0,False,False,CT_max_C
poxB,Pyruvate oxidase,P07003,POXNo1,,Topt_i,0.0,False,False,CT_max_C
pheA,Chorismate mutase,P0A9J8,CHORMNo1,,Topt_i,0.0,False,False,CT_max_C
tyrA,Chorismate mutase,P07023,CHORMNo2,,Topt_i,0.0,False,False,CT_max_C
pta,Phosphotransacetylase,P0A9M8,PTArNo1,,Topt_i,0.0,False,False,CT_max_C
,Phosphotransacetylase,P77218,PTArNo2,,Topt_i,0.0,False,False,CT_max_C
aroC,Chorismate synthase,P12008,CHORSNo1,,Topt_i,8.056959987834789e-06,False,False,CT_max_C
trpC,Indole-3-glycerol-phosphate synthase,P00909,IGPSNo1,,Topt_i,0.0,False,False,CT_max_C
ackA,Acetate kinase,P0A6A3,ACKrNo1,,Topt_i,0.0,False,False,CT_max_C
purT,Acetate kinase,P33221,ACKrNo2,,Topt_i,0.0,False,False,CT_max_C
,Acetate kinase,P11868,ACKrNo3,,Topt_i,0.000241277838727,False,False,CT_max_C
ilvE,Leucine transaminase (irreversible),P0AB80,LEUTAiNo1,,Topt_i,0.0,False,False,CT_max_C
tyrB,Leucine transaminase (irreversible),P04693,LEUTAiNo2,,Topt_i,0.0,False,False,CT_max_C
ispA,Dimethylallyltranstransferase,P22939,DMATTNo1,,Topt_i,0.0004976121888699,False,False,CT_max_C
ispA,Geranyltranstransferase,P22939,GRTTNo1,,Topt_i,0.0004976121888699,False,False,CT_max_C
hemD,Uroporphyrinogen-III synthase,P09126,UPP3SNo1,,Topt_i,1.975484938217521e-07,False,False,CT_max_C
hemE,Uroporphyrinogen decarboxylase (uroporphyrinogen III),P29680,UPPDC1No1,,Topt_i,0.0002040536247595,False,False,CT_max_C
deoA,Thymidine phosphorylase,P07650,TMDPPNo1,,Topt_i,0.0,False,False,CT_max_C
waaA,3-deoxy-D-manno-octulosonic acid transferase,P0AC75,MOATNo1,,Topt_i,0.0001472927882715,False,True,CT_max_C
ispU,Undecaprenyl diphosphate synthase,P60472,UDCPDPSNo1,,Topt_i,5.163569194511841e-06,False,False,CT_max_C
fadJ,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),P77399,ECOAH6No1,,Topt_i,3.9619595263063255e-05,False,False,CT_max_C
fadB,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),P21177,ECOAH6No2,,Topt_i,0.0,False,False,CT_max_C
,UDP-sugar hydrolase,P43341,USHDNo1,,Topt_i,0.0003600473675143,False,False,CT_max_C
eno,Enolase,P0A6P9,ENONo1,,Topt_i,0.0001290254610038,False,False,CT_max_C
fbaA,Fructose-bisphosphate aldolase,P0AB71,FBANo1,,Topt_i,0.0,False,False,CT_max_C
fbaB,Fructose-bisphosphate aldolase,P0A991,FBANo2,,Topt_i,0.0,False,False,CT_max_C
can,HCO3 equilibration reaction,P61517,HCO3ENo1,,Topt_i,0.0,False,False,CT_max_C
,HCO3 equilibration reaction,P0ABE9,HCO3ENo2,,Topt_i,6.395366020613243e-09,False,False,CT_max_C
,Methylglyoxal synthase,P0A731,MGSANo1,,Topt_i,0.0,False,False,CT_max_C
purH,IMP cyclohydrolase,P15639,IMPCNo1,,Topt_i,0.0,False,False,CT_max_C
guaB,IMP dehydrogenase,P0ADG7,IMPDNo1,,Topt_i,0.0,False,False,CT_max_C
ppsA,Phosphoenolpyruvate synthase,P23538,PPSNo1,,Topt_i,0.0,False,False,CT_max_C
fadJ,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),P77399,ECOAH4No1,,Topt_i,5.070856792235718e-05,False,False,CT_max_C
fadB,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),P21177,ECOAH4No2,,Topt_i,0.0,False,False,CT_max_C
lpxB,Lipid A disaccaride synthase,P10441,LPADSSNo1,,Topt_i,1.2614218830216985e-05,False,False,CT_max_C
gltX,Glutamyl-tRNA synthetase,P04805,GLUTRSNo1,,Topt_i,0.00023213985219,False,True,CT_max_C
lpxK,Tetraacyldisaccharide 4'kinase,P27300,TDSKNo1,,Topt_i,0.0008819804838491,False,True,CT_max_C
pgi,Glucose-6-phosphate isomerase,P0A6T1,PGINo1,,Topt_i,0.0,False,False,CT_max_C
thiE,Thiamine-phosphate diphosphorylase,P30137,TMPPPNo1,,Topt_i,0.0,False,False,CT_max_C
pgk,Phosphoglycerate kinase,P0A799,PGKNo1,,Topt_i,0.0,False,False,CT_max_C
eda,2-dehydro-3-deoxy-phosphogluconate aldolase,P0A955,EDANo1,,Topt_i,0.0,False,False,CT_max_C
,Nucleoside triphosphate pyrophosphorylase (dgtp),P08337,NTPP1No1,,Topt_i,0.0,False,False,CT_max_C
,Nucleoside triphosphate pyrophosphorylase (dgtp),P0AEY3,NTPP1No2,,Topt_i,0.0,False,False,CT_max_C
udk,Uridine kinase  ATPUridine,P0A8F4,URIK1No1,,Topt_i,0.0003368947903664,False,False,CT_max_C
udk,Uridine kinase (GTP:Uridine),P0A8F4,URIK2No1,,Topt_i,0.0,False,False,CT_max_C
,Nucleoside triphosphate pyrophosphorylase (gtp),P08337,NTPP2No1,,Topt_i,0.0,False,False,CT_max_C
,Nucleoside triphosphate pyrophosphorylase (gtp),P0AEY3,NTPP2No2,,Topt_i,0.0,False,False,CT_max_C
pgl,6-phosphogluconolactonase,P52697,PGLNo1,,Topt_i,0.0,False,False,CT_max_C
dgt,Nucleoside triphosphate tripolyhydrolase,P15723,NTPTP1No1,,Topt_i,0.0,False,False,CT_max_C
dgt,Nucleoside triphosphate tripolyhydrolase,P15723,NTPTP2No1,,Topt_i,0.0,False,False,CT_max_C
udk,ATP:cytidine 5'-phosphotransferase,P0A8F4,CYTDK1No1,,Topt_i,0.0,False,False,CT_max_C
rpe,Ribulose 5-phosphate 3-epimerase,P0AG07,RPENo1,,Topt_i,0.0,False,False,CT_max_C
aroD,"3-dehydroquinate dehydratase, irreversible",P05194,DHQTiNo1,,Topt_i,7.66048319214741e-07,False,False,CT_max_C
leuB,3-isopropylmalate dehydrogenase,P30125,IPMDNo1,,Topt_i,0.0,False,False,CT_max_C
,3-isopropylmalate dehydrogenase,P76251,IPMDNo2,,Topt_i,0.0,False,False,CT_max_C
purE,Phosphoribosylaminoimidazole carboxylase (mutase rxn),P0AG18,AIRC3No1,,Topt_i,0.0,False,False,CT_max_C
talB,Transaldolase,P0A870,TALANo1,,Topt_i,0.0,False,False,CT_max_C
talA,Transaldolase,P0A867,TALANo2,,Topt_i,0.0,False,False,CT_max_C
deoD,Purine-nucleoside phosphorylase (Adenosine),P0ABP8,PUNP1No1,,Topt_i,0.0,False,False,CT_max_C
deoD,Purine-nucleoside phosphorylase (Deoxyadenosine),P0ABP8,PUNP2No1,,Topt_i,0.0,False,False,CT_max_C
,Purine-nucleoside phosphorylase (Guanosine),P45563,PUNP3No1,,Topt_i,0.0,False,False,CT_max_C
deoD,Purine-nucleoside phosphorylase (Guanosine),P0ABP8,PUNP3No2,,Topt_i,0.0,False,False,CT_max_C
purB,Adenylosuccinate lyase,P0AB89,ADSL2rNo1,,Topt_i,0.0,False,False,CT_max_C
tktA,Transketolase,P27302,TKT1No1,,Topt_i,0.0,False,False,CT_max_C
tktB,Transketolase,P33570,TKT1No2,,Topt_i,0.0,False,False,CT_max_C
,Purine-nucleoside phosphorylase (Inosine),P45563,PUNP5No1,,Topt_i,0.0,False,False,CT_max_C
deoD,Purine-nucleoside phosphorylase (Inosine),P0ABP8,PUNP5No2,,Topt_i,0.0,False,False,CT_max_C
deoD,Purine-nucleoside phosphorylase (Deoxyinosine),P0ABP8,PUNP6No1,,Topt_i,0.0,False,False,CT_max_C
,Purine-nucleoside phosphorylase (Deoxyinosine),P45563,PUNP6No2,,Topt_i,0.0,False,False,CT_max_C
,Purine-nucleoside phosphorylase (Xanthosine),P45563,PUNP7No1,,Topt_i,0.0,False,False,CT_max_C
nagB,Glucosamine-6-phosphate deaminase,P0A759,G6PDANo1,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxC,Ribonucleoside-diphosphate reductase (ADP),P00452,RNDR1No1,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxA,Ribonucleoside-diphosphate reductase (ADP),P00452,RNDR1No2,,Topt_i,0.0,False,False,CT_max_C
adhE,Alcohol dehydrogenase (ethanol),P0A9Q7,ALCD2xNo1,,Topt_i,0.0,False,False,CT_max_C
adhP,Alcohol dehydrogenase (ethanol),P39451,ALCD2xNo2,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxA,Ribonucleoside-diphosphate reductase (CDP),P00452,RNDR3No1,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxC,Ribonucleoside-diphosphate reductase (CDP),P00452,RNDR3No2,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxA,Ribonucleoside-diphosphate reductase (UDP),P00452,RNDR4No1,,Topt_i,0.0,False,False,CT_max_C
nrdA;nrdB;trxC,Ribonucleoside-diphosphate reductase (UDP),P00452,RNDR4No2,,Topt_i,0.0,False,False,CT_max_C
aldB,"Aldehyde dehydrogenase (acetaldehyde, NADP)",P37685,ALDD2yNo1,,Topt_i,0.0,False,False,CT_max_C
yqhD,"Aldehyde dehydrogenase (acetaldehyde, NADP)",Q46856,ALDD2yNo2,,Topt_i,0.0,False,False,CT_max_C
yghA,"Aldehyde dehydrogenase (acetaldehyde, NADP)",P0AG84,ALDD2yNo3,,Topt_i,0.0,False,False,CT_max_C
ybbO,"Aldehyde dehydrogenase (acetaldehyde, NADP)",P0AFP4,ALDD2yNo4,,Topt_i,0.0,False,False,CT_max_C
ahr,"Aldehyde dehydrogenase (acetaldehyde, NADP)",P27250,ALDD2yNo5,,Topt_i,0.0,False,False,CT_max_C
thyA,Thymidylate synthase,P0A884,TMDSNo1,,Topt_i,0.0001334418263751,False,False,CT_max_C
,L-rhamnose isomerase,P32170,RMINo1,,Topt_i,0.0,False,False,CT_max_C
tdk,Thymidine kinase (ATP:thymidine),P23331,TMDK1No1,,Topt_i,0.0,False,False,CT_max_C
epmB,"Lysine 2,3-aminomutase",P39280,LYSAMNo1,,Topt_i,0.0,False,False,CT_max_C
coaBC,Phosphopantothenoylcysteine decarboxylase,P0ABQ0,PPCDCNo1,,Topt_i,0.0954941596425581,True,True,CT_max_C
purU,Formyltetrahydrofolate deformylase,P37051,FTHFDNo1,,Topt_i,0.0,False,False,CT_max_C
ilvD,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",P05791,DHAD1No1,,Topt_i,0.0,False,False,CT_max_C
leuC;leuD,3-isopropylmalate dehydratase,P0A6A6,IPPMIaNo1,,Topt_i,0.0,False,False,CT_max_C
glpA;glpB;glpC,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),P0A996,G3PD7No1,,Topt_i,0.0,False,False,CT_max_C
edd,6-phosphogluconate dehydratase,P0ADF6,EDDNo1,,Topt_i,0.0,False,False,CT_max_C
ndh,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),P00393,NADH9No1,,Topt_i,0.0,False,False,CT_max_C
wrbA,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),P0A8G6,NADH9No2,,Topt_i,0.0,False,False,CT_max_C
,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),P0A754,NADH9No3,,Topt_i,0.0,False,False,CT_max_C
chrR,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),P0AGE6,NADH9No4,,Topt_i,0.0,False,False,CT_max_C
ndh,NADH dehydrogenase (menaquinone-8 & 0 protons),P00393,NADH10No1,,Topt_i,0.0,False,False,CT_max_C
chrR,NADH dehydrogenase (menaquinone-8 & 0 protons),P0AGE6,NADH10No2,,Topt_i,0.0,False,False,CT_max_C
,NADH dehydrogenase (menaquinone-8 & 0 protons),P0A754,NADH10No3,,Topt_i,0.0,False,False,CT_max_C
wrbA,NADH dehydrogenase (menaquinone-8 & 0 protons),P0A8G6,NADH10No4,,Topt_i,0.0,False,False,CT_max_C
adk,Adentylate kinase (ITP),P69441,ADK4No1,,Topt_i,0.0,False,False,CT_max_C
gsk,Insosine kinase,P0AEW6,INSKNo1,,Topt_i,0.0,False,False,CT_max_C
mdh,Malate dehydrogenase,P61889,MDHNo1,,Topt_i,0.0,False,False,CT_max_C
gabT,4-aminobutyrate transaminase,P22256,ABTANo1,,Topt_i,0.0,False,False,CT_max_C
puuE,4-aminobutyrate transaminase,P50457,ABTANo2,,Topt_i,0.0,False,False,CT_max_C
fumA,Fumarase,P0AC33,FUMNo1,,Topt_i,0.0,False,False,CT_max_C
fumB,Fumarase,P14407,FUMNo2,,Topt_i,0.0,False,True,Topt_C
fumC,Fumarase,P05042,FUMNo3,,Topt_i,0.0,False,False,CT_max_C
ribF,FMN adenylyltransferase,P0AG40,FMNATNo1,,Topt_i,2.4405715375336213e-05,False,False,CT_max_C
pdxK,Pyridoxine kinase,P40191,PYDXNKNo1,,Topt_i,0.0,False,False,CT_max_C
pdxH,Pyridoxamine 5'-phosphate oxidase,P0AFI7,PYAM5PONo1,,Topt_i,0.0,False,False,CT_max_C
sad,Succinate-semialdehyde dehydrogenase (NAD),P76149,SSALxNo1,,Topt_i,0.0,False,False,CT_max_C
aspA,L-aspartase,P0AC38,ASPTNo1,,Topt_i,0.0,False,False,CT_max_C
serC,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,P23721,OHPBATNo1,,Topt_i,0.0,False,False,CT_max_C
,L-serine deaminase,P42630,SERD_LNo1,,Topt_i,0.0,False,False,CT_max_C
sdaA,L-serine deaminase,P16095,SERD_LNo2,,Topt_i,0.0,False,False,CT_max_C
sdaB,L-serine deaminase,P30744,SERD_LNo3,,Topt_i,0.0,False,False,CT_max_C
tnaA,L-serine deaminase,P0A853,SERD_LNo4,,Topt_i,0.0,False,False,CT_max_C
,L-serine deaminase,P0AGF6,SERD_LNo5,,Topt_i,0.0001880861374711,False,True,niche_width_C
nudC,NAD diphosphatase,P32664,NADDPNo1,,Topt_i,0.0,False,False,CT_max_C
ligA,NAD diphosphatase,P15042,NADDPNo2,,Topt_i,0.0,False,False,CT_max_C
tdh,L-threonine dehydrogenase,P07913,THRDNo1,,Topt_i,0.0,False,False,CT_max_C
,L-threonine dehydrogenase,P37686,THRDNo2,,Topt_i,0.0,False,False,CT_max_C
nadR,Nicotinamide-nucleotide adenylyltransferase,P27278,NMNATNo1,,Topt_i,0.0,False,False,CT_max_C
,Nicotinamide-nucleotide adenylyltransferase,P0A752,NMNATNo2,,Topt_i,0.0,False,False,CT_max_C
ilvC,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",P05793,KARA1No1,,Topt_i,0.0,False,False,CT_max_C
thiD,Hydroxymethylpyrimidine kinase (ATP),P76422,HMPK1No1,,Topt_i,0.0,False,False,CT_max_C
pdxK,Hydroxymethylpyrimidine kinase (ATP),P40191,HMPK1No2,,Topt_i,0.0,False,False,CT_max_C
ilvC,Ketol-acid reductoisomerase (2-Acetolactate),P05793,KARA2No1,,Topt_i,0.0,False,False,CT_max_C
accA;accB;accC;accD,Acetyl-CoA carboxylase,P0A9Q5,ACCOACNo1,,Topt_i,0.0002399166250809,False,True,CT_max_C
,NAD kinase,P0A7B3,NADKNo1,,Topt_i,1.532175223560646e-06,False,False,CT_max_C
,Glyoxalate carboligase,P0AEP7,GLXCLNo1,,Topt_i,0.0,False,False,CT_max_C
menF,Isochorismate synthase,P38051,ICHORS_copy2No1,,Topt_i,0.0,False,False,CT_max_C
menC,O-succinylbenzoate-CoA synthase,P29208,SUCBZSNo1,,Topt_i,0.0,False,False,CT_max_C
entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",P15047,DHBDNo1,,Topt_i,0.0,False,False,CT_max_C
entB,Isochorismatase,P0ADI4,ICHORTNo1,,Topt_i,0.0,False,False,CT_max_C
hemA,Glutamyl-tRNA reductase,P0A6X1,GLUTRRNo1,,Topt_i,0.0015694383547207,False,True,niche_width_C
glgA,Glycogen synthase (ADPGlc),P0A6U8,GLCS1No1,,Topt_i,0.0,False,False,CT_max_C
glgP,Glycogen phosphorylase,P0AC86,GLCPNo1,,Topt_i,0.0,False,False,CT_max_C
malP,Glycogen phosphorylase,P00490,GLCPNo2,,Topt_i,0.0,False,False,CT_max_C
,L-ribulokinase (L-ribulose),P08204,RBK_L1No1,,Topt_i,0.0,False,False,CT_max_C
