gene_id,ensembl_description
Mycgr3G65177,Putative uncharacterized protein
Mycgr3G65191,Putative uncharacterized protein
Mycgr3G65192,Putative uncharacterized protein
Mycgr3G65205,Putative uncharacterized protein
Mycgr3G65218,"Actin-related protein, ARP1 class"
Mycgr3G65227,Putative P450 monooxygenase
Mycgr3G65233,Putative uncharacterized protein
Mycgr3G65235,Putative uncharacterized protein
Mycgr3G65252,Putative uncharacterized protein
Mycgr3G65256,Putative uncharacterized protein
Mycgr3G65258,Putative uncharacterized protein
Mycgr3G65261,Peptidase M28
Mycgr3G65274,Putative uncharacterized protein
Mycgr3G65279,Putative uncharacterized protein
Mycgr3G65284,Putative uncharacterized protein
Mycgr3G65302,Putative uncharacterized protein
Mycgr3G65305,ABC transporter
Mycgr3G65312,MFS transporter
Mycgr3G65316,Putative uncharacterized protein
Mycgr3G65322,Putative uncharacterized protein
Mycgr3G65330,Putative uncharacterized protein
Mycgr3G65342,Putative uncharacterized protein
Mycgr3G65348,Putative uncharacterized protein
Mycgr3G65354,Putative uncharacterized protein
Mycgr3G65359,SNF2 family DNA-dependent ATPase
Mycgr3G65361,Putative uncharacterized protein
Mycgr3G65364,Putative uncharacterized protein
Mycgr3G65370,Putative uncharacterized protein
Mycgr3G65376,Putative neutral trehalase
Mycgr3G65387,Putative uncharacterized protein
Mycgr3G65395,Putative uncharacterized protein
Mycgr3G65399,Putative uncharacterized protein
Mycgr3G65403,Putative uncharacterized protein
Mycgr3G65422,Putative uncharacterized protein
Mycgr3G65433,Putative uncharacterized protein
Mycgr3G65440,Putative alpha-amylase
Mycgr3G65448,Putative uncharacterized protein
Mycgr3G65466,Putative uncharacterized protein
Mycgr3G65473,Spc98 like protein
Mycgr3G65477,Putative uncharacterized protein
Mycgr3G65481,Putative uncharacterized protein
Mycgr3G65482,Putative uncharacterized protein
Mycgr3G65493,Putative uncharacterized protein
Mycgr3G65495,Putative uncharacterized protein
Mycgr3G65516,"AROM pentafunctional protein, ARO1"
Mycgr3G65527,Putative uncharacterized protein
Mycgr3G65536,Putative uncharacterized protein
Mycgr3G65543,Putative uncharacterized protein
Mycgr3G65551,Putative uncharacterized protein
Mycgr3G65552,Putative uncharacterized protein
Mycgr3G65563,Putative uncharacterized protein
Mycgr3G65568,Putative uncharacterized protein
Mycgr3G65574,Putative uncharacterized protein
Mycgr3G65576,Putative uncharacterized protein
Mycgr3G65583,SWI/SNF complex protein
Mycgr3G65589,Putative uncharacterized protein
Mycgr3G65593,Putative uncharacterized protein
Mycgr3G65596,Putative uncharacterized protein
Mycgr3G65606,Putative uncharacterized protein
Mycgr3G65607,Putative uncharacterized protein
Mycgr3G65614,Putative uncharacterized protein
Mycgr3G65617,Putative uncharacterized protein
Mycgr3G65626,Putative uncharacterized protein
Mycgr3G65636,Putative uncharacterized protein
Mycgr3G65640,Putative uncharacterized protein
Mycgr3G65650,Putative uncharacterized protein
Mycgr3G65652,Putative uncharacterized protein
Mycgr3G65661,Putative uncharacterized protein
Mycgr3G65665,Phospholipase D
Mycgr3G65666,Putative uncharacterized protein
Mycgr3G65675,Putative uncharacterized protein
Mycgr3G65706,Putative uncharacterized protein
Mycgr3G65710,Putative uncharacterized protein
Mycgr3G65725,Putative uncharacterized protein
Mycgr3G65747,Putative uncharacterized protein
Mycgr3G65750,Putative uncharacterized protein
Mycgr3G65760,Putative uncharacterized protein
Mycgr3G65763,Putative uncharacterized protein
Mycgr3G65778,Putative uncharacterized protein
Mycgr3G65793,Putative uncharacterized protein
Mycgr3G65799,Putative uncharacterized protein
Mycgr3G65806,Putative FRE ferric reductase-like transmembrane component
Mycgr3G65810,Putative uncharacterized protein
Mycgr3G65814,Putative uncharacterized protein
Mycgr3G65824,"Pp1, catalytic subunit of type 1 serine/threonine protein phosphatase"
Mycgr3G65829,Putative uncharacterized protein
Mycgr3G65833,Putative uncharacterized protein
Mycgr3G65843,Putative uncharacterized protein
Mycgr3G65848,Putative uncharacterized protein
Mycgr3G65850,"ERG9, squalene synthase"
Mycgr3G65854,Putative uncharacterized protein
Mycgr3G65859,Putative ABC transporter
Mycgr3G65863,Putative uncharacterized protein
Mycgr3G65866,Putative uncharacterized protein
Mycgr3G65875,Putative uncharacterized protein
Mycgr3G65878,Putative uncharacterized protein
Mycgr3G65881,Putative P450 monooxygenase
Mycgr3G65882,Diterpene cyclase-like protein
Mycgr3G65888,Putative uncharacterized protein
Mycgr3G65891,Putative uncharacterized protein
Mycgr3G65910,Putative uncharacterized protein
Mycgr3G65914,"Serine/threonine protein kinase, CMGC family, CDC2/CDK subfamily"
Mycgr3G65916,Putative uncharacterized protein
Mycgr3G65923,Putative uncharacterized protein
Mycgr3G65937,Putative uncharacterized protein
Mycgr3G65942,Putative uncharacterized protein
Mycgr3G65946,Putative uncharacterized protein
Mycgr3G65949,Apses transcription factor
Mycgr3G65952,Putative uncharacterized protein
Mycgr3G65960,Putative uncharacterized protein
Mycgr3G65963,Putative uncharacterized protein
Mycgr3G65966,Putative uncharacterized protein
Mycgr3G65974,Putative uncharacterized protein
Mycgr3G65978,Putative uncharacterized protein
Mycgr3G65995,Putative uncharacterized protein
Mycgr3G65997,Putative uncharacterized protein
Mycgr3G66000,Putative uncharacterized protein
Mycgr3G66002,Putative uncharacterized protein
Mycgr3G66006,Putative uncharacterized protein
Mycgr3G66016,Putative uncharacterized protein
Mycgr3G66023,Putative uncharacterized protein
Mycgr3G66025,Putative uncharacterized protein
Mycgr3G66030,Putative uncharacterized protein
Mycgr3G66031,Putative uncharacterized protein
Mycgr3G66037,Putative uncharacterized protein
Mycgr3G66052,Putative uncharacterized protein
Mycgr3G66057,Fungal transcriptional regulatory protein
Mycgr3G66060,Peptidase M28
Mycgr3G66064,Putative uncharacterized protein
Mycgr3G66079,Putative uncharacterized protein
Mycgr3G66101,Putative uncharacterized protein
Mycgr3G66104,Putative uncharacterized protein
Mycgr3G66113,Putative uncharacterized protein
Mycgr3G66114,Putative uncharacterized protein
Mycgr3G66122,Putative uncharacterized protein
Mycgr3G66126,Putative uncharacterized protein
Mycgr3G66129,Putative uncharacterized protein
Mycgr3G66140,Putative uncharacterized protein
Mycgr3G66153,Putative uncharacterized protein
Mycgr3G66157,Putative uncharacterized protein
Mycgr3G66160,Putative uncharacterized protein
Mycgr3G66163,Putative uncharacterized protein
Mycgr3G66166,Putative uncharacterized protein
Mycgr3G66175,Putative uncharacterized protein
Mycgr3G66188,Putative uncharacterized protein
Mycgr3G66192,Putative uncharacterized protein
Mycgr3G66199,Glycosyl hydrolase
Mycgr3G66201,GTPase-activating protein-like protein of the rho/rac family
Mycgr3G66216,Putative uncharacterized protein
Mycgr3G66222,Putative uncharacterized protein
Mycgr3G66225,Putative uncharacterized protein
Mycgr3G66245,Putative uncharacterized protein
Mycgr3G66246,Putative uncharacterized protein
Mycgr3G66250,Serine carboxypeptidase
Mycgr3G66253,Putative uncharacterized protein
Mycgr3G66265,Putative uncharacterized protein
Mycgr3G66273,Phosphoinositide phospholipase C
Mycgr3G66280,Putative uncharacterized protein
Mycgr3G66283,Putative P450 monooxygenase
Mycgr3G66294,Putative uncharacterized protein
Mycgr3G66305,Putative uncharacterized protein
Mycgr3G66328,Putative uncharacterized protein
Mycgr3G66333,Putative uncharacterized protein
Mycgr3G66346,Putative uncharacterized protein
Mycgr3G66364,Putative uncharacterized protein
Mycgr3G66368,Putative uncharacterized protein
Mycgr3G66375,Putative uncharacterized protein
Mycgr3G66377,Putative uncharacterized protein
Mycgr3G66382,Putative uncharacterized protein
Mycgr3G66386,Putative uncharacterized protein
Mycgr3G66394,Putative uncharacterized protein
Mycgr3G66397,Putative uncharacterized protein
Mycgr3G66422,Putative uncharacterized protein
Mycgr3G66426,Putative uncharacterized protein
Mycgr3G66454,Putative uncharacterized protein
Mycgr3G66460,Putative uncharacterized protein
Mycgr3G66463,Putative uncharacterized protein
Mycgr3G66469,Putative uncharacterized protein
Mycgr3G66489,Putative uncharacterized protein
Mycgr3G66501,Putative uncharacterized protein
Mycgr3G66507,Putative uncharacterized protein
Mycgr3G66524,Putative uncharacterized protein
Mycgr3G66529,Putative uncharacterized protein
Mycgr3G66536,Putative uncharacterized protein
Mycgr3G66540,Putative uncharacterized protein
Mycgr3G66546,Putative uncharacterized protein
Mycgr3G66559,Putative uncharacterized protein
Mycgr3G66563,Putative uncharacterized protein
Mycgr3G66569,Putative uncharacterized protein
Mycgr3G66573,Putative uncharacterized protein
Mycgr3G66582,Putative major facilitator superfamily transporter
Mycgr3G66594,Putative uncharacterized protein
Mycgr3G66596,Putative uncharacterized protein
Mycgr3G66624,Putative uncharacterized protein
Mycgr3G66635,Putative uncharacterized protein
Mycgr3G66652,Putative uncharacterized protein
Mycgr3G66656,Putative uncharacterized protein
Mycgr3G66658,Putative uncharacterized protein
Mycgr3G66663,Putative uncharacterized protein
Mycgr3G66670,Putative uncharacterized protein
Mycgr3G66671,Putative uncharacterized protein
Mycgr3G66675,SNF2 family DNA-dependent ATPase domain-containing protein
Mycgr3G66678,Putative uncharacterized protein
Mycgr3G66684,Putative uncharacterized protein
Mycgr3G66686,Putative uncharacterized protein
Mycgr3G66700,Putative uncharacterized protein
Mycgr3G66711,Putative uncharacterized protein
Mycgr3G66728,Putative uncharacterized protein
Mycgr3G66729,Putative uncharacterized protein
Mycgr3G66739,Putative uncharacterized protein
Mycgr3G66746,Putative uncharacterized protein
Mycgr3G66749,Putative uncharacterized protein
Mycgr3G66750,Putative uncharacterized protein
Mycgr3G66753,Putative uncharacterized protein
Mycgr3G66756,Putative uncharacterized protein
Mycgr3G66768,Putative uncharacterized protein
Mycgr3G66773,Putative uncharacterized protein
Mycgr3G66784,Putative ferulic acid Esterase/Feruloyl esterase
Mycgr3G66788,Putative uncharacterized protein
Mycgr3G66791,Putative uncharacterized protein
Mycgr3G66795,Putative uncharacterized protein
Mycgr3G66798,Putative uncharacterized protein
Mycgr3G66801,Putative uncharacterized protein
Mycgr3G66803,Putative uncharacterized protein
Mycgr3G66809,Putative uncharacterized protein
Mycgr3G66823,Putative uncharacterized protein
Mycgr3G66828,Putative uncharacterized protein
Mycgr3G66829,Putative uncharacterized protein
Mycgr3G66834,Putative uncharacterized protein
Mycgr3G66842,Putative uncharacterized protein
Mycgr3G66866,Putative pectin methylesterase/Pectinesterase
Mycgr3G66868,Putative uncharacterized protein
Mycgr3G66874,Putative uncharacterized protein
Mycgr3G66881,Putative uncharacterized protein
Mycgr3G66885,Putative uncharacterized protein
Mycgr3G66888,Putative uncharacterized protein
Mycgr3G66894,Putative uncharacterized protein
Mycgr3G66896,Putative uncharacterized protein
Mycgr3G66898,Putative uncharacterized protein
Mycgr3G66908,Putative uncharacterized protein
Mycgr3G66912,Putative uncharacterized protein
Mycgr3G66917,Putative uncharacterized protein
Mycgr3G66919,Putative uncharacterized protein
Mycgr3G66934,Putative uncharacterized protein
Mycgr3G66947,Putative uncharacterized protein
Mycgr3G66956,Putative uncharacterized protein
Mycgr3G66970,Putative uncharacterized protein
Mycgr3G66977,RIBULOSE-phosphate 3-epimerase
Mycgr3G66981,Putative uncharacterized protein
Mycgr3G66984,Putative uncharacterized protein
Mycgr3G66999,Putative uncharacterized protein
Mycgr3G67005,Putative uncharacterized protein
Mycgr3G67008,ABC transporter domain-containing protein
Mycgr3G67015,Putative uncharacterized protein
Mycgr3G67035,Putative uncharacterized protein
Mycgr3G67037,Putative uncharacterized protein
Mycgr3G67041,Putative uncharacterized protein
Mycgr3G67048,Putative uncharacterized protein
Mycgr3G67054,Putative uncharacterized protein
Mycgr3G67060,Putative uncharacterized protein
Mycgr3G67069,Putative uncharacterized protein
Mycgr3G67073,"Histone transcription regulator HIRA, WD repeat superfamily"
Mycgr3G67076,Putative uncharacterized protein
Mycgr3G67079,Putative uncharacterized protein
Mycgr3G67089,Putative uncharacterized protein
Mycgr3G67094,Putative uncharacterized protein
Mycgr3G67096,Putative Ferriportin iron efflux transporter
Mycgr3G67099,Putative uncharacterized protein
Mycgr3G67102,Putative uncharacterized protein
Mycgr3G67108,Putative uncharacterized protein
Mycgr3G67112,Putative uncharacterized protein
Mycgr3G67117,Putative uncharacterized protein
Mycgr3G67122,Putative uncharacterized protein
Mycgr3G67131,Putative uncharacterized protein
Mycgr3G67138,Putative uncharacterized protein
Mycgr3G67144,Putative uncharacterized protein
Mycgr3G67149,Putative uncharacterized protein
Mycgr3G67183,Putative uncharacterized protein
Mycgr3G67202,Putative uncharacterized protein
Mycgr3G67205,Putative uncharacterized protein
Mycgr3G67212,Putative uncharacterized protein
Mycgr3G67218,Putative uncharacterized protein
Mycgr3G67228,Putative uncharacterized protein
Mycgr3G67233,Putative uncharacterized protein
Mycgr3G67239,Putative uncharacterized protein
Mycgr3G67250,Putative uncharacterized protein
Mycgr3G67267,Putative uncharacterized protein
Mycgr3G67286,Putative uncharacterized protein
Mycgr3G67314,Putative uncharacterized protein
Mycgr3G67317,Putative uncharacterized protein
Mycgr3G67324,Putative P450 monooxygenase
Mycgr3G67327,Putative uncharacterized protein
Mycgr3G67329,Putative uncharacterized protein
Mycgr3G67335,Putative uncharacterized protein
Mycgr3G67338,Putative uncharacterized protein
Mycgr3G67342,Putative uncharacterized protein
Mycgr3G67344,SSK2 MAP kinase
Mycgr3G67350,Putative uncharacterized protein
Mycgr3G67374,Putative uncharacterized protein
Mycgr3G67376,Putative uncharacterized protein
Mycgr3G67377,Putative uncharacterized protein
Mycgr3G67381,Putative uncharacterized protein
Mycgr3G67389,"MgPP2Aregb1, protein phosphatase regulatory beta sub-unit 1"
Mycgr3G67398,Calcium channel
Mycgr3G67403,Putative uncharacterized protein
Mycgr3G67412,DNA polymerase beta-like protein
Mycgr3G67423,Putative uncharacterized protein
Mycgr3G67427,Putative uncharacterized protein
Mycgr3G67431,Putative uncharacterized protein
Mycgr3G67442,Putative uncharacterized protein
Mycgr3G67443,Putative uncharacterized protein
Mycgr3G67446,Putative uncharacterized protein
Mycgr3G67455,Putative uncharacterized protein
Mycgr3G67458,Putative uncharacterized protein
Mycgr3G67467,Putative uncharacterized protein
Mycgr3G67469,Putative uncharacterized protein
Mycgr3G67477,Polyketide synthase
Mycgr3G67482,Putative uncharacterized protein
Mycgr3G67486,Putative uncharacterized protein
Mycgr3G67501,Putative uncharacterized protein
Mycgr3G67504,Putative uncharacterized protein
Mycgr3G67509,Putative uncharacterized protein
Mycgr3G67515,Putative major facilitator superfamily transporter
Mycgr3G67531,Putative uncharacterized protein
Mycgr3G67546,Putative uncharacterized protein
Mycgr3G67551,Putative uncharacterized protein
Mycgr3G67552,Putative uncharacterized protein
Mycgr3G67558,Putative uncharacterized protein
Mycgr3G67567,Putative uncharacterized protein
Mycgr3G67576,SNF2 family DNA-dependent chromodomain-containing ATPase
Mycgr3G67581,Putative uncharacterized protein
Mycgr3G67588,Putative uncharacterized protein
Mycgr3G67605,Putative uncharacterized protein
Mycgr3G67618,Putative uncharacterized protein
Mycgr3G67622,Putative uncharacterized protein
Mycgr3G67635,Putative uncharacterized protein
Mycgr3G67639,Putative uncharacterized protein
Mycgr3G67645,Putative uncharacterized protein
Mycgr3G67654,Putative uncharacterized protein
Mycgr3G67658,Putative uncharacterized protein
Mycgr3G67666,Putative uncharacterized protein
Mycgr3G67669,Putative uncharacterized protein
Mycgr3G67679,Putative uncharacterized protein
Mycgr3G67680,Putative uncharacterized protein
Mycgr3G67686,Protease
Mycgr3G67691,Putative uncharacterized protein
Mycgr3G67700,Putative uncharacterized protein
Mycgr3G67705,Putative FRE ferric reductase-like transmembrane component
Mycgr3G67708,Putative ABC transporter
Mycgr3G67718,Putative uncharacterized protein
Mycgr3G67720,Putative uncharacterized protein
Mycgr3G67750,Transcription factor TFIID complex
Mycgr3G67759,"Actin-related protein, ARP5 class"
Mycgr3G67763,Putative uncharacterized protein
Mycgr3G67764,Putative uncharacterized protein
Mycgr3G67775,Putative uncharacterized protein
Mycgr3G67785,Putative ABC transporter
Mycgr3G67791,Putative uncharacterized protein
Mycgr3G67795,TOR1 phosphatidylinositol 3-kinase
Mycgr3G67799,Putative uncharacterized protein
Mycgr3G67800,Putative uncharacterized protein
Mycgr3G67803,Putative uncharacterized protein
Mycgr3G67804,Putative uncharacterized protein
Mycgr3G67807,Putative uncharacterized protein
Mycgr3G67812,Putative uncharacterized protein
Mycgr3G67821,Putative uncharacterized protein
Mycgr3G67825,Putative uncharacterized protein
Mycgr3G67842,Quinate permease
Mycgr3G67844,Oxidoreductase
Mycgr3G67847,3-dehydroshikimate dehydratase
Mycgr3G67851,Phosphotyrosine-specific Ptp2-like protein
Mycgr3G67859,Putative uncharacterized protein
Mycgr3G67865,Transcription factor
Mycgr3G67867,Putative uncharacterized protein
Mycgr3G67873,Putative uncharacterized protein
Mycgr3G67878,Putative uncharacterized protein
Mycgr3G67881,Putative uncharacterized protein
Mycgr3G67888,Putative uncharacterized protein
Mycgr3G67892,Putative uncharacterized protein mdlb1
Mycgr3G67898,Putative uncharacterized protein
Mycgr3G67907,Putative uncharacterized protein
Mycgr3G67909,Putative uncharacterized protein GliN
Mycgr3G67912,"Actin-related protein, ARP9 class"
Mycgr3G67916,Putative uncharacterized protein
Mycgr3G67921,Putative uncharacterized protein
Mycgr3G67922,Putative uncharacterized protein
Mycgr3G67924,Serine/threonine protein kinase
Mycgr3G67933,Putative uncharacterized protein
Mycgr3G67942,Putative uncharacterized protein
Mycgr3G67943,Putative uncharacterized protein
Mycgr3G67944,Putative uncharacterized protein
Mycgr3G67951,"Actin-related protein, ARP8 class"
Mycgr3G67965,Mannose phospho-dolichol synthase
Mycgr3G67969,Putative uncharacterized protein
Mycgr3G67977,Putative uncharacterized protein
Mycgr3G67987,Putative uncharacterized protein
Mycgr3G67998,Putative uncharacterized protein
Mycgr3G68009,"Nuclear protein SNF4, regulatory protein CAT3"
Mycgr3G68012,"MgPP2CL-1, protein phosphatase 2C-like protein 1"
Mycgr3G68017,Putative uncharacterized protein
Mycgr3G68020,Putative uncharacterized protein
Mycgr3G68026,Putative uncharacterized protein
Mycgr3G68030,Putative uncharacterized protein
Mycgr3G68036,Putative uncharacterized protein
Mycgr3G68053,Putative uncharacterized protein
Mycgr3G68054,Putative beta-mannosidase
Mycgr3G68059,Putative uncharacterized protein
Mycgr3G68064,Putative uncharacterized protein
Mycgr3G68068,Putative uncharacterized protein
Mycgr3G68073,Putative uncharacterized protein
Mycgr3G68078,Putative uncharacterized protein
Mycgr3G68089,Putative uncharacterized protein
Mycgr3G68091,Putative uncharacterized protein
Mycgr3G68104,Putative uncharacterized protein
Mycgr3G68107,Putative uncharacterized protein
Mycgr3G68113,Putative uncharacterized protein
Mycgr3G68116,Putative uncharacterized protein
Mycgr3G68128,Putative P450 monooxygenase
Mycgr3G68129,Putative uncharacterized protein
Mycgr3G68137,Putative uncharacterized protein
Mycgr3G68144,Putative uncharacterized protein
Mycgr3G68153,Putative uncharacterized protein
Mycgr3G68159,Putative uncharacterized protein
Mycgr3G68164,Putative uncharacterized protein
Mycgr3G68166,Putative uncharacterized protein
Mycgr3G68169,Putative uncharacterized protein
Mycgr3G68176,Putative uncharacterized protein
Mycgr3G68179,Putative uncharacterized protein
Mycgr3G68180,"Fructose-BISphosphate ALDOLASE, class II"
Mycgr3G68201,Putative uncharacterized protein
Mycgr3G68213,Putative uncharacterized protein
Mycgr3G68217,Putative uncharacterized protein
Mycgr3G68224,Putative uncharacterized protein
Mycgr3G68232,Putative uncharacterized protein
Mycgr3G68234,Putative uncharacterized protein
Mycgr3G68239,Putative uncharacterized protein
Mycgr3G68240,Putative uncharacterized protein
Mycgr3G68243,Putative uncharacterized protein
Mycgr3G68247,Putative uncharacterized protein
Mycgr3G68253,Putative uncharacterized protein
Mycgr3G68263,Serine/threonine protein kinase
Mycgr3G68275,Putative uncharacterized protein
Mycgr3G68282,Putative uncharacterized protein
Mycgr3G68285,Putative uncharacterized protein
Mycgr3G68287,Putative uncharacterized protein
Mycgr3G68294,Putative uncharacterized protein
Mycgr3G68298,Putative uncharacterized protein
Mycgr3G68302,Putative uncharacterized protein
Mycgr3G68312,Putative uncharacterized protein
Mycgr3G68318,Putative uncharacterized protein
Mycgr3G68319,Putative FTR1 iron permease
Mycgr3G68326,Putative uncharacterized protein
Mycgr3G68338,Putative uncharacterized protein
Mycgr3G68344,Putative uncharacterized protein
Mycgr3G68348,Putative uncharacterized protein
Mycgr3G68349,Putative uncharacterized protein
Mycgr3G68352,TOR2 phosphatidylinositol 3 and 4-kinase
Mycgr3G68358,Putative uncharacterized protein
Mycgr3G68361,Putative uncharacterized protein
Mycgr3G68371,Putative uncharacterized protein
Mycgr3G68377,Putative uncharacterized protein
Mycgr3G68390,Putative uncharacterized protein
Mycgr3G68403,Putative uncharacterized protein
Mycgr3G68415,Putative uncharacterized protein
Mycgr3G68418,Putative uncharacterized protein
Mycgr3G68421,Putative uncharacterized protein
Mycgr3G68429,Putative uncharacterized protein
Mycgr3G68433,Putative uncharacterized protein
Mycgr3G68456,Putative uncharacterized protein
Mycgr3G68458,Putative uncharacterized protein
Mycgr3G68477,Putative uncharacterized protein
Mycgr3G68480,Putative uncharacterized protein
Mycgr3G68483,Cutinase
Mycgr3G68497,Putative uncharacterized protein
Mycgr3G68502,Putative uncharacterized protein
Mycgr3G68510,Putative uncharacterized protein
Mycgr3G68512,Protein arginine N-methyltransferase
Mycgr3G68519,Putative uncharacterized protein
Mycgr3G68526,Putative uncharacterized protein
Mycgr3G68530,Putative uncharacterized protein
Mycgr3G68535,Putative uncharacterized protein
Mycgr3G68553,DNA helicase
Mycgr3G68555,Putative uncharacterized protein
Mycgr3G68560,Putative uncharacterized protein
Mycgr3G68561,Putative uncharacterized protein
Mycgr3G68568,Putative uncharacterized protein
Mycgr3G68570,Putative uncharacterized protein
Mycgr3G68581,Putative P450 monooxygenase
Mycgr3G68586,Putative beta-galactosidase
Mycgr3G68633,Putative uncharacterized protein
Mycgr3G68638,Putative uncharacterized protein
Mycgr3G68643,Putative uncharacterized protein
Mycgr3G68653,Putative uncharacterized protein
Mycgr3G68660,Putative uncharacterized protein
Mycgr3G68667,Putative uncharacterized protein
Mycgr3G68686,Set1C complex protein
Mycgr3G68689,Putative uncharacterized protein
Mycgr3G68702,Putative uncharacterized protein
Mycgr3G68707,Putative uncharacterized protein
Mycgr3G68710,Putative uncharacterized protein
Mycgr3G68720,Putative uncharacterized protein
Mycgr3G68731,Calcineurin regulatory beta sub-unit
Mycgr3G68734,Peptidase M24
Mycgr3G68741,Putative uncharacterized protein
Mycgr3G68749,Putative uncharacterized protein
Mycgr3G68751,Putative uncharacterized protein
Mycgr3G68754,Putative uncharacterized protein
Mycgr3G68767,Putative uncharacterized protein
Mycgr3G68771,Putative uncharacterized protein
Mycgr3G68779,"Putative 1,4-glycogen branching enzyme"
Mycgr3G68784,Putative uncharacterized protein
Mycgr3G68786,Putative uncharacterized protein
Mycgr3G68789,Putative uncharacterized protein
Mycgr3G68790,Putative uncharacterized protein
Mycgr3G68796,Putative uncharacterized protein
Mycgr3G68817,CSN6 from Cop9 complex
Mycgr3G68823,Putative uncharacterized protein
Mycgr3G68826,Putative uncharacterized protein
Mycgr3G68837,Putative uncharacterized protein
Mycgr3G68847,Putative uncharacterized protein
Mycgr3G68850,Putative uncharacterized protein
Mycgr3G68855,Putative uncharacterized protein
Mycgr3G68859,Putative uncharacterized protein
Mycgr3G68863,Putative uncharacterized protein
Mycgr3G68870,Putative uncharacterized protein
Mycgr3G68874,Putative uncharacterized protein
Mycgr3G68879,Putative uncharacterized protein
Mycgr3G68887,Putative uncharacterized protein
Mycgr3G68892,G-protein beta subunit
Mycgr3G68899,Putative uncharacterized protein
Mycgr3G68900,Putative uncharacterized protein
Mycgr3G68912,Putative uncharacterized protein
Mycgr3G68916,Putative uncharacterized protein
Mycgr3G68922,Putative alpha-L-Arabinofuranosidase
Mycgr3G68931,Putative uncharacterized protein
Mycgr3G68937,"Histone H3 methyltransferase complex and RNA cleavage factor II complex, subunit SWD2"
Mycgr3G68948,Putative uncharacterized protein
Mycgr3G68955,Putative uncharacterized protein
Mycgr3G68962,Putative uncharacterized protein
Mycgr3G68972,Putative uncharacterized protein
Mycgr3G68977,Putative uncharacterized protein
Mycgr3G68980,Putative uncharacterized protein
Mycgr3G68986,Putative uncharacterized protein
Mycgr3G68989,Putative uncharacterized protein
Mycgr3G68994,Putative uncharacterized protein
Mycgr3G69002,Putative uncharacterized protein MgPde1
Mycgr3G69014,Putative uncharacterized protein
Mycgr3G69016,Putative uncharacterized protein
Mycgr3G69021,Putative uncharacterized protein
Mycgr3G69026,Putative uncharacterized protein
Mycgr3G69029,Putative uncharacterized protein
Mycgr3G69031,Putative uncharacterized protein
Mycgr3G69051,Putative uncharacterized protein
Mycgr3G69055,Putative uncharacterized protein
Mycgr3G69058,Putative uncharacterized protein
Mycgr3G69060,Putative uncharacterized protein
Mycgr3G69066,Putative uncharacterized protein
Mycgr3G69070,Putative ABC transporter
Mycgr3G69084,Putative uncharacterized protein
Mycgr3G69093,Putative uncharacterized protein
Mycgr3G69100,Putative uncharacterized protein
Mycgr3G69103,Putative uncharacterized protein
Mycgr3G69117,Putative uncharacterized protein
Mycgr3G69118,Putative uncharacterized protein
Mycgr3G69123,Putative uncharacterized protein
Mycgr3G69129,Putative uncharacterized protein
Mycgr3G69132,Putative uncharacterized protein
Mycgr3G69140,Putative uncharacterized protein
Mycgr3G69142,"Putative HAM-2, hyphal anastomosis-2 protein"
Mycgr3G69151,Putative uncharacterized protein
Mycgr3G69157,Putative uncharacterized protein
Mycgr3G69159,Putative uncharacterized protein
Mycgr3G69164,Putative uncharacterized protein
Mycgr3G69167,Putative uncharacterized protein
Mycgr3G69170,Putative uncharacterized protein
Mycgr3G69185,Putative uncharacterized protein
Mycgr3G69186,Putative uncharacterized protein
Mycgr3G69205,Putative uncharacterized protein
Mycgr3G69215,Putative uncharacterized protein
Mycgr3G69219,Putative uncharacterized protein
Mycgr3G69221,Putative uncharacterized protein
Mycgr3G69227,Paf1 complex protein
Mycgr3G69232,Putative uncharacterized protein
Mycgr3G69233,Putative uncharacterized protein
Mycgr3G69244,Putative uncharacterized protein
Mycgr3G69248,Putative uncharacterized protein
Mycgr3G69260,"Actin-related protein, ARP6 class"
Mycgr3G69263,Putative uncharacterized protein
Mycgr3G69270,Putative uncharacterized protein
Mycgr3G69273,Putative uncharacterized protein
Mycgr3G69277,Putative uncharacterized protein
Mycgr3G69281,Putative uncharacterized protein
Mycgr3G69287,Putative uncharacterized protein
Mycgr3G69290,Putative uncharacterized protein
Mycgr3G69294,Putative uncharacterized protein
Mycgr3G69303,Putative uncharacterized protein
Mycgr3G69317,Putative uncharacterized protein
Mycgr3G69322,Putative uncharacterized protein
Mycgr3G69324,Putative uncharacterized protein
Mycgr3G69329,Putative alpha-L-Rhamnosidase
Mycgr3G69330,Putative acid trehalase
Mycgr3G69333,Putative uncharacterized protein
Mycgr3G69338,Putative uncharacterized protein
Mycgr3G69353,Putative uncharacterized protein
Mycgr3G69357,"Pyruvate dehydrogenase E1, BETA subunit"
Mycgr3G69366,Putative uncharacterized protein
Mycgr3G69382,Putative uncharacterized protein
Mycgr3G69388,Putative uncharacterized protein
Mycgr3G69392,Rho type ras small GTPase-like protein
Mycgr3G69399,Putative uncharacterized protein TAL1
Mycgr3G69411,Putative uncharacterized protein
Mycgr3G69430,Putative uncharacterized protein
Mycgr3G69447,"Putative 1,2-alpha-mannosidase"
Mycgr3G69448,Putative uncharacterized protein
Mycgr3G69451,Putative uncharacterized protein
Mycgr3G69454,Putative uncharacterized protein
Mycgr3G69467,Putative uncharacterized protein
Mycgr3G69474,Putative uncharacterized protein
Mycgr3G69500,Putative uncharacterized protein
Mycgr3G69507,Putative uncharacterized protein
