gene_id,ensembl_description
Mycgr3G102147,Putative uncharacterized protein
Mycgr3G102151,Putative uncharacterized protein
Mycgr3G102155,Putative uncharacterized protein
Mycgr3G102163,Putative uncharacterized protein
Mycgr3G102165,Putative uncharacterized protein
Mycgr3G102170,Putative uncharacterized protein
Mycgr3G102173,Putative uncharacterized protein
Mycgr3G102176,Putative uncharacterized protein
Mycgr3G102177,Putative uncharacterized protein
Mycgr3G102184,Putative uncharacterized protein
Mycgr3G102189,Putative uncharacterized protein
Mycgr3G102191,Putative uncharacterized protein
Mycgr3G102197,Putative uncharacterized protein
Mycgr3G102202,Putative uncharacterized protein
Mycgr3G102204,Putative uncharacterized protein
Mycgr3G102206,Putative uncharacterized protein
Mycgr3G102207,Putative uncharacterized protein
Mycgr3G102217,Putative uncharacterized protein
Mycgr3G102223,Putative uncharacterized protein
Mycgr3G102228,Putative uncharacterized protein
Mycgr3G102248,Putative uncharacterized protein
Mycgr3G102252,Putative uncharacterized protein
Mycgr3G102254,Putative uncharacterized protein
Mycgr3G102256,Putative uncharacterized protein
Mycgr3G102270,Putative uncharacterized protein
Mycgr3G102272,Putative uncharacterized protein
Mycgr3G102274,Putative uncharacterized protein
Mycgr3G102276,Putative uncharacterized protein
Mycgr3G102281,Putative uncharacterized protein
Mycgr3G102294,Putative uncharacterized protein
Mycgr3G102303,Putative uncharacterized protein
Mycgr3G102306,Putative uncharacterized protein
Mycgr3G102314,Putative uncharacterized protein
Mycgr3G102318,Putative uncharacterized protein TKL1
Mycgr3G102326,Putative uncharacterized protein
Mycgr3G102341,Beta-glucanosyltransferase
Mycgr3G102345,Putative uncharacterized protein
Mycgr3G102352,Putative uncharacterized protein
Mycgr3G102358,Putative uncharacterized protein
Mycgr3G102360,Putative uncharacterized protein
Mycgr3G102365,Putative uncharacterized protein
Mycgr3G102369,Putative uncharacterized protein
Mycgr3G102375,Putative uncharacterized protein
Mycgr3G102377,Putative uncharacterized protein
Mycgr3G102381,Putative uncharacterized protein
Mycgr3G102384,Putative uncharacterized protein
Mycgr3G102387,Putative uncharacterized protein
Mycgr3G102388,Putative uncharacterized protein
Mycgr3G102398,Putative uncharacterized protein
Mycgr3G102406,Putative uncharacterized protein
Mycgr3G102408,Putative uncharacterized protein
Mycgr3G102412,Putative uncharacterized protein
Mycgr3G102416,Putative uncharacterized protein
Mycgr3G102427,Putative uncharacterized protein
Mycgr3G102437,Putative uncharacterized protein
Mycgr3G102441,Putative uncharacterized protein
Mycgr3G102469,Putative uncharacterized protein
Mycgr3G102471,Putative uncharacterized protein
Mycgr3G102473,Putative uncharacterized protein
Mycgr3G102480,Putative uncharacterized protein
Mycgr3G102481,Putative uncharacterized protein
Mycgr3G102488,Putative uncharacterized protein
Mycgr3G102491,Putative uncharacterized protein
Mycgr3G102499,Monomeric glyoxalase I
Mycgr3G102502,Putative uncharacterized protein
Mycgr3G102508,Putative uncharacterized protein
Mycgr3G102513,Putative uncharacterized protein
Mycgr3G102517,Putative uncharacterized protein
Mycgr3G102519,Putative uncharacterized protein
Mycgr3G102520,Putative uncharacterized protein
