temperature,conc,f_T_mean,f_F_mean,f_obs_mean,f_expected_mean,delta_mean,delta_median,delta_lower,delta_upper,prob_synergy,prob_antagonism
21,0.06,0.8337267620042854,0.9465498214905324,0.7734966749377368,0.7896976937315584,-0.01620101879382171,-0.013210640231334059,-0.0932743776358942,0.04561779716455966,0.6515,0.3485
21,0.12,0.8337267620042854,0.9058699470899207,0.7407088345063247,0.7560270068491659,-0.015318172342841113,-0.012820850365212966,-0.11032312974209857,0.06696831494967606,0.60875,0.39125
21,0.25,0.8337267620042854,0.8328649248232141,0.6887246123245734,0.6954265523731162,-0.006701940048542864,-0.004567672537754197,-0.12092025622339136,0.09580432244014077,0.534125,0.465875
21,0.5,0.8337267620042854,0.7253619137832703,0.6189454642463244,0.6059095696943367,0.013035894551987684,0.014379300831452224,-0.10351333937066319,0.12619457913291762,0.40625,0.59375
21,1,0.8337267620042854,0.5803067458010145,0.5280191255878042,0.4847688811480743,0.043250244439729815,0.04137186354488537,-0.055374208453255656,0.1527292002423192,0.204375,0.795625
21,2,0.8337267620042854,0.41840563975967576,0.4219898972256806,0.3492930405910792,0.07269685663460142,0.0704407789913683,-0.011428156000806024,0.1722787273401104,0.047375,0.952625
21,4,0.8337267620042854,0.27324306162472356,0.31474264213749253,0.2277883316715763,0.08695431046591623,0.08584156427563273,-0.01344967728063882,0.19382617706520272,0.0435,0.9565
24,0.06,1,0.9465498214905324,0.9465498214905324,0.9465498214905324,1.3877787807814303e-19,0,-1.1102230246251565e-16,1.1102230246251565e-16,0.033625,0.034875
24,0.12,1,0.9058699470899207,0.9058699470899207,0.9058699470899207,-1.5265566588595697e-19,0,0,0,0.01225,0.010875
24,0.25,1,0.8328649248232141,0.8328649248232141,0.8328649248232141,-6.938893903907984e-20,0,0,0,0.008125,0.0075
24,0.5,1,0.7253619137832703,0.7253619137832703,0.7253619137832703,1.1102230246250186e-19,0,0,0,0.0085,0.0095
24,1,1,0.5803067458010145,0.5803067458010145,0.5803067458010145,6.938893903907844e-20,0,0,0,0.014,0.01425
24,2,1,0.41840563975967576,0.41840563975967576,0.41840563975967576,6.938893903906908e-21,0,0,0,0.01125,0.011125
24,4,1,0.27324306162472356,0.27324306162472356,0.27324306162472356,1.0581813203458897e-19,0,0,0,0.0165,0.018875
26,0.06,0.7984498271595485,0.9465498214905324,0.7245583548010819,0.7562421742133338,-0.03168381941225198,-0.028503956808316577,-0.11285591376170936,0.03247161739057963,0.796375,0.203625
26,0.12,0.7984498271595485,0.9058699470899207,0.6890367944738051,0.7239668211789619,-0.034930026705156984,-0.032140662506218665,-0.13134300621075734,0.04775728194705404,0.767875,0.232125
26,0.25,0.7984498271595485,0.8328649248232141,0.6356533517801971,0.665888764441441,-0.030235412661243882,-0.028283501210027484,-0.1383534407959963,0.069009738376575,0.7065,0.2935
26,0.5,0.7984498271595485,0.7253619137832703,0.5678456349792326,0.5801214085671792,-0.012275773587946627,-0.011599067005448715,-0.12010178840224522,0.09224991415940334,0.5895,0.4105
26,1,0.7984498271595485,0.5803067458010145,0.48393745700369817,0.4640914836910688,0.019845973312629366,0.017414294163272226,-0.06723780846153007,0.11618574063344778,0.336625,0.663375
26,2,0.7984498271595485,0.41840563975967576,0.3900432802972168,0.334368194566565,0.05567508573065182,0.051875855450426306,-0.017885676458007368,0.14567233564203602,0.07425,0.92575
26,4,0.7984498271595485,0.27324306162472356,0.29691474667179457,0.2180444935857052,0.07887025308608937,0.07714354602510748,-0.007911735528961905,0.1768741545700014,0.039125,0.960875
27,0.06,0.6267005835185393,0.9465498214905324,0.6237890754942961,0.5936133132805854,0.03017576221371062,0.029414883868460306,-3.111413003976338e-4,0.06400090037497229,0.02575,0.97425
27,0.12,0.6267005835185393,0.9058699470899207,0.6216693998794467,0.5683084158528369,0.05336098402660984,0.053613626846674756,0.006399862997543417,0.09759411981484922,0.017625,0.982375
27,0.25,0.6267005835185393,0.8328649248232141,0.6172230395184517,0.5227657948420398,0.09445724467641191,0.09674886579320896,0.025798143077327067,0.14805149555000877,0.009125,0.990875
27,0.5,0.6267005835185393,0.7253619137832703,0.6081295140416902,0.4554925141544049,0.15263699988728535,0.15691658136950612,0.06038096919816042,0.2117635053303133,0.00425,0.99575
27,1,0.6267005835185393,0.5803067458010145,0.586310269546161,0.3644484461520024,0.22186182339415852,0.22902038618967083,0.10729345835903706,0.2916364204719468,6.25e-4,0.999375
27,2,0.6267005835185393,0.41840563975967576,0.5272931544629283,0.26261639428638667,0.2646767601765417,0.2700390584301418,0.13652683192790133,0.3664350313856061,1.25e-4,0.999875
27,4,0.6267005835185393,0.27324306162472356,0.37943611033499386,0.17127261211979836,0.2081634982151955,0.20655266417366588,0.06355865119152318,0.3626328786991362,0.003375,0.996625
28,0.06,0.6336669755758438,0.9465498214905324,0.6216072219712699,0.6001990974380106,0.021408124533259357,0.022071027472663707,-0.025665036252885354,0.05958637627164,0.12375,0.87625
28,0.12,0.6336669755758438,0.9058699470899207,0.6117753622453758,0.574606194826728,0.037169167418647786,0.039423439889357925,-0.03021788031212362,0.08834680895856695,0.10125,0.89875
28,0.25,0.6336669755758438,0.8328649248232141,0.5916783725978851,0.5285482204020158,0.06313015219586932,0.06758558210471671,-0.028036893935334303,0.13035291334624288,0.07475,0.92525
28,0.5,0.6336669755758438,0.7253619137832703,0.5549642448453035,0.46051849795350935,0.09444574689179418,0.09946622979418449,-0.01473319827830022,0.17951073942576637,0.04475,0.95525
28,1,0.6336669755758438,0.5803067458010145,0.4868987099157889,0.36845790408880624,0.11844080582698262,0.1186119907914128,0.006519681456970956,0.22614514542950728,0.0175,0.9825
28,2,0.6336669755758438,0.41840563975967576,0.37437819300691244,0.26549771315259185,0.10888047985432057,0.10712870190865204,0.009234857803709433,0.22155203004474303,0.014375,0.985625
28,4,0.6336669755758438,0.27324306162472356,0.23781735464600343,0.1731486419013158,0.06466871274468763,0.06419768382739846,-0.04904499480738478,0.17742701513754186,0.135,0.865
