sample,project,temperature_C,prothioconazole_ug_mL,replicate,sequencing_id,group,readable_label,description
12129_21_0_R5_S29,12129,21,0,R5,S29,21_0,21C_0ug_rep5,"21°C, 0 µg/mL prothioconazole, replicate 5"
12129_21_0_R6_S30,12129,21,0,R6,S30,21_0,21C_0ug_rep6,"21°C, 0 µg/mL prothioconazole, replicate 6"
12129_21_0_R7_S31,12129,21,0,R7,S31,21_0,21C_0ug_rep7,"21°C, 0 µg/mL prothioconazole, replicate 7"
12129_21_0_R8_S32,12129,21,0,R8,S32,21_0,21C_0ug_rep8,"21°C, 0 µg/mL prothioconazole, replicate 8"
12129_21_2_R1_S33,12129,21,2,R1,S33,21_2,21C_2ug_rep1,"21°C, 2 µg/mL prothioconazole, replicate 1"
12129_21_2_R3_S34,12129,21,2,R3,S34,21_2,21C_2ug_rep3,"21°C, 2 µg/mL prothioconazole, replicate 3"
12129_21_2_R4_S35,12129,21,2,R4,S35,21_2,21C_2ug_rep4,"21°C, 2 µg/mL prothioconazole, replicate 4"
12129_21_2_R5_S36,12129,21,2,R5,S36,21_2,21C_2ug_rep5,"21°C, 2 µg/mL prothioconazole, replicate 5"
12129_21_2_R6_S37,12129,21,2,R6,S37,21_2,21C_2ug_rep6,"21°C, 2 µg/mL prothioconazole, replicate 6"
12129_21_2_R7_S38,12129,21,2,R7,S38,21_2,21C_2ug_rep7,"21°C, 2 µg/mL prothioconazole, replicate 7"
12129_21_2_R8_S39,12129,21,2,R8,S39,21_2,21C_2ug_rep8,"21°C, 2 µg/mL prothioconazole, replicate 8"
12129_27_0_R1_S40,12129,27,0,R1,S40,27_0,27C_0ug_rep1,"27°C, 0 µg/mL prothioconazole, replicate 1"
12129_27_0_R2_S41,12129,27,0,R2,S41,27_0,27C_0ug_rep2,"27°C, 0 µg/mL prothioconazole, replicate 2"
12129_27_0_R4_S42,12129,27,0,R4,S42,27_0,27C_0ug_rep4,"27°C, 0 µg/mL prothioconazole, replicate 4"
12129_27_0_R5_S43,12129,27,0,R5,S43,27_0,27C_0ug_rep5,"27°C, 0 µg/mL prothioconazole, replicate 5"
12129_27_0_R6_S44,12129,27,0,R6,S44,27_0,27C_0ug_rep6,"27°C, 0 µg/mL prothioconazole, replicate 6"
12129_27_0_R7_S45,12129,27,0,R7,S45,27_0,27C_0ug_rep7,"27°C, 0 µg/mL prothioconazole, replicate 7"
12129_27_0_R8_S46,12129,27,0,R8,S46,27_0,27C_0ug_rep8,"27°C, 0 µg/mL prothioconazole, replicate 8"
12129_27_2_R1_S47,12129,27,2,R1,S47,27_2,27C_2ug_rep1,"27°C, 2 µg/mL prothioconazole, replicate 1"
12129_27_2_R2_S48,12129,27,2,R2,S48,27_2,27C_2ug_rep2,"27°C, 2 µg/mL prothioconazole, replicate 2"
12129_27_2_R3_S49,12129,27,2,R3,S49,27_2,27C_2ug_rep3,"27°C, 2 µg/mL prothioconazole, replicate 3"
12129_27_2_R4_S50,12129,27,2,R4,S50,27_2,27C_2ug_rep4,"27°C, 2 µg/mL prothioconazole, replicate 4"
12129_27_2_R6_S51,12129,27,2,R6,S51,27_2,27C_2ug_rep6,"27°C, 2 µg/mL prothioconazole, replicate 6"
12129_27_2_R7_S52,12129,27,2,R7,S52,27_2,27C_2ug_rep7,"27°C, 2 µg/mL prothioconazole, replicate 7"
12129_27_2_R8_S53,12129,27,2,R8,S53,27_2,27C_2ug_rep8,"27°C, 2 µg/mL prothioconazole, replicate 8"
