gene,contrib,d,h27,drug21_lfc,heat27_lfc,name,desc,KEGG
Mycgr3G88619,0.016987731681650582,0.012293700413030255,1.38182411405154,1.66584804042046,1.38182411405154,,,
Mycgr3G103183,0.016980204824318307,0.010347194995893351,1.64104424735955,1.53939395225752,1.64104424735955,,,
Mycgr3G91598,0.016963134328997466,0.01125661393851846,1.50694821921112,0.874239284683298,1.50694821921112,,,
Mycgr3G89326,0.016930653109712375,0.013859056763151793,1.22163098102948,2.52044854738509,1.22163098102948,,,
Mycgr3G106929,0.01688903343451413,0.007283059249879774,2.31894769149282,1.068525503937,2.31894769149282,,,
Mycgr3G94324,0.016867871485958846,0.005847599482205526,2.88458050817065,0.863550487352154,2.88458050817065,EST2,Telomerase reverse transcriptase,map05165;map05166;map05200;map05225;map05226
Mycgr3G103449,0.016816190885041674,-0.021011571645395497,-0.800329988105711,-1.71060522849627,-0.800329988105711,RPS22,Belongs to the universal ribosomal protein uS8 family,map03010
Mycgr3G111399,0.016760906061458854,0.030780067272817298,0.544537668254574,5.66079422106536,0.544537668254574,,Belongs to the cytochrome P450 family,
Mycgr3G106445,0.016760246271034354,-0.015010400165350511,-1.11657558002505,-1.60608885891247,-1.11657558002505,,,
Mycgr3G76256,0.016760065865322787,0.012650860704866592,1.32481625213654,2.08191942153999,1.32481625213654,ats1,FR47-like protein,
Mycgr3G42027,0.016756918086240396,0.010739720354442333,1.56027508475201,0.959426414503485,1.56027508475201,,Phosphotransferase enzyme family protein,
Mycgr3G102406,0.01675371140644331,-0.019388601640285094,-0.864101069137081,-1.68061000999217,-0.864101069137081,RPL16A,Ribosomal protein L13,map03010
Mycgr3G92218,0.01674455484421311,0.013178161458433238,1.27062905527672,1.90371888276562,1.27062905527672,UBC4,Belongs to the ubiquitin-conjugating enzyme family,map04013;map04120;map04141;map04624
Mycgr3G72396,0.01672067657499855,-0.020566330619247584,-0.813012145168474,-1.60676958276698,-0.813012145168474,NAT10,"RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires the tRNA-binding adapter protein TAN1 for full tRNA acetyltransferase activity but not for 18S rRNA acetylation",map03008
Mycgr3G98465,0.016718983331981428,-0.02260283098462515,-0.739685366994691,-1.64863260529777,-0.739685366994691,tsn1,Translin family,map00563;map01100
Mycgr3G71986,0.01671165721270731,0.01823885437959097,0.916266826024305,1.43451655913742,0.916266826024305,,Sodium/hydrogen exchanger family,
Mycgr3G89506,0.016706513227697728,0.015218164022312426,1.09780083873476,1.22345251115968,1.09780083873476,,,
Mycgr3G107028,0.016691087000798546,0.02046237931926587,0.815696295155835,2.60742968504164,0.815696295155835,,Enoyl-(Acyl carrier protein) reductase,
Mycgr3G91505,0.01667583637901993,0.005259083101538351,3.1708638287427,1.05208495430477,3.1708638287427,,,
Mycgr3G75672,0.016649030292661692,-0.0208779773262098,-0.797444600716221,-1.6211516775216,-0.797444600716221,SNU13,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,map03008;map03040
Mycgr3G59963,0.016636175869641702,-0.0185888714775475,-0.894953515049886,-1.51212269210591,-0.894953515049886,RPL27B,Belongs to the eukaryotic ribosomal protein eL27 family,map03010
Mycgr3G67250,0.01662177673251561,-0.0449593631345919,-0.369706676732855,-2.87926429664895,-0.369706676732855,katG,Belongs to the peroxidase family. Peroxidase catalase subfamily,map00360;map00380;map00940;map00983;map01100;map01110
Mycgr3G71002,0.016615176448620796,0.0042352339224814356,3.92308353038642,1.8380763522446,3.92308353038642,,NmrA-like family,
