"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","description"
"Mycgr3G110466",265.156799001543,0.294007266287637,0.279032072668337,1.05366835961219,0.292034779803174,0.412556549736311,"SSL2","Helicase conserved C-terminal domain"
"Mycgr3G65995",272.139528689885,0.200378204438006,0.190149820152607,1.05379118569342,0.291978529872337,0.412556549736311,"","Mur ligase middle domain"
"Mycgr3G66163",305.934196563139,0.154925746615183,0.147038207454991,1.05364278643431,0.292046492315236,0.412556549736311,"",""
"Mycgr3G69500",33.8392851672213,0.54904327886407,0.5210042083887,1.05381735890788,0.291966544421737,0.412556549736311,"","HEAT repeat protein"
"Mycgr3G108740",170.584418633977,-0.224389709335081,0.213052125948112,-1.05321506808024,0.292242434046101,0.412770026860513,"","Major royal jelly protein"
"Mycgr3G68240",358.05524016279,-0.249292376757513,0.236734199185513,-1.0530475850773,0.292319183611442,0.412815114534238,"","Amidase"
"Mycgr3G42036",127.419564913033,0.32835999209797,0.31196161949001,1.05256535286221,0.292540243507995,0.413063953153193,"","Sir2 family"
"Mycgr3G90823",4.20507976243597,1.6471188444222,1.56501691635962,1.05246072882941,0.292588218989632,0.413068359447421,"","ankyrin repeats"
"Mycgr3G40488",18.6482208917815,0.590666194709762,0.562225193729076,1.05058649327336,0.293448547119092,0.414219446722826,"","Serine carboxypeptidase"
"Mycgr3G111289",17.9896355445967,-0.610458130959858,0.58122411119976,-1.05029732799583,0.293581433297864,0.414343512527207,NA,NA
"Mycgr3G68009",418.037065932632,-0.154174218492749,0.146808917040246,-1.05016930579553,0.29364027891326,0.414363059839444,"SNF4","Domain in cystathionine beta-synthase and other proteins."
"Mycgr3G105651",20.7653182253612,0.599586921681746,0.571191315521923,1.0497129514896,0.293850107292721,0.414530396862545,NA,NA
"Mycgr3G107953",254.821652553359,0.216441515651945,0.206209851710919,1.0496177260986,0.293893903910909,0.414530396862545,"TRS120","Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit"
"Mycgr3G67576",34.7065502896592,0.49797134143458,0.474420881175507,1.04964043783385,0.2938834577994,0.414530396862545,"hrp3","DUF4208"
"Mycgr3G31220",13.330275965446,-0.772141479395628,0.736449282326506,-1.04846524794806,0.294424305507243,0.415214920278132,"","PHD-finger"
"Mycgr3G31345",131.325498874023,-0.300659792126922,0.286843961445196,-1.04816496959573,0.294562607030071,0.415346355556564,"","Protein of unknown function (DUF1604)"
"Mycgr3G97751",3.36791789777324,1.39369451603227,1.32987603430108,1.04798829370945,0.294644000352661,0.415397519786842,NA,NA
"Mycgr3G28152",30.8087620480933,-0.416183158182145,0.397258765153739,-1.04763744613937,0.294805678012429,0.415561838177936,"","DUF1767"
"Mycgr3G40891",15.205895778884,-0.674124225269847,0.643923728649435,-1.04690073571874,0.295145362521978,0.41597698859273,"",""
"Mycgr3G51448",193.672348146777,-0.210967568451383,0.201626411732648,-1.04632903317806,0.295409145341912,0.416285052709055,"","Pyridine nucleotide-disulphide oxidoreductase"
"Mycgr3G92539",155.828278230294,-0.328021598676654,0.313552880806459,-1.04614442652538,0.295494356327114,0.41634142096334,"","Protein of unknown function (DUF3295)"
"Mycgr3G90311",11.6839483593947,-0.690811181708231,0.660543281703848,-1.04582273537974,0.295642882283307,0.416433905791355,NA,NA
"Mycgr3G93545",34.6278530929779,0.404454636607652,0.386739501892292,1.04580637516644,0.295650437187955,0.416433905791355,"","Centromere protein Scm3"
"Mycgr3G107286",472.767289270608,0.408406202177768,0.39079277263316,1.04507102172317,0.295990146019251,0.416784901328942,NA,NA
"Mycgr3G75699",382.733394381062,-0.228873808521534,0.218989857076419,-1.04513428876145,0.295960908483973,0.416784901328942,"ANP1","Glycosyltransferase family 62 protein"
"Mycgr3G43176",3.86630631895194,1.27198777721599,1.21779122755562,1.0445039744367,0.296252281346969,0.417090239859997,"","L-lysine 6-monooxygenase (NADPH-requiring)"
"Mycgr3G109986",3667.57629461129,-0.140224316326984,0.134337663391509,-1.04381982525868,0.296568757408241,0.41744415530562,"GND1","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH"
"Mycgr3G53484",20.4595022355511,-0.624992338674036,0.598786689217772,-1.04376458249347,0.296594321659754,0.41744415530562,"","Belongs to the sterol desaturase family"
"Mycgr3G32616",29.7218993527386,-0.482647716710448,0.462535218148703,-1.04348317224847,0.296724570503083,0.417521851504417,"","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"
"Mycgr3G90294",24.7332379360993,-0.575514653219961,0.551550128033506,-1.04344940553617,0.296740201769617,0.417521851504417,NA,NA
"Mycgr3G107589",6.24972522292411,-0.989763136583561,0.948720756592971,-1.04326075898031,0.296827540055591,0.41758093742315,"",""
"Mycgr3G109224",49.6174826106542,0.371466660934783,0.356252995463314,1.0427046668104,0.297085095813574,0.41781561504997,"RAD2","Helix-hairpin-helix class 2 (Pol1 family) motifs"
"Mycgr3G99708",3.8121438777247,1.32596681797685,1.27162222458397,1.04273642937521,0.297070380863841,0.41781561504997,"","Ion channel regulatory protein UNC-93"
"Mycgr3G34626",45.3074882998807,0.35905638534072,0.344485251623273,1.04229828025666,0.297273409439566,0.418016617426929,"NTH1","Bifunctional DNA N-glycosylase with associated apurinic apyrimidinic (AP) lyase function that catalyzes the first step in base excision repair (BER), the primary repair pathway for the repair of oxidative DNA damage. The DNA N-glycosylase activity releases the damaged DNA base from DNA by cleaving the N- glycosidic bond, leaving an AP site. The AP lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination. Primarily recognizes and repairs oxidative base damage of pyrimidines"
"Mycgr3G47411",52.1912791634786,0.437934385321589,0.420397453007226,1.0417151250297,0.29754377448631,0.418332918968615,"","Major Facilitator Superfamily"
"Mycgr3G18762",36.0902423332555,0.51072472838142,0.490888236232214,1.04040938585422,0.298149742935607,0.419120894931156,"","RPR"
"Mycgr3G96949",109.834591841476,0.374828434899603,0.360374861938198,1.04010705098482,0.298290168184283,0.419254297742531,NA,NA
"Mycgr3G110840",186.102824343992,-0.210662155677068,0.202737787474028,-1.03908678447058,0.298764376607183,0.419820521660414,"",""
"Mycgr3G50144",42.7830747449689,0.486451061550021,0.468171692294494,1.03904415742426,0.298784200126219,0.419820521660414,"","USP8 dimerisation domain"
"Mycgr3G100344",329.115804559571,-0.198499567056984,0.191124315730576,-1.03858876510933,0.298996033100291,0.419990004396062,"MCD4","Phosphatidylinositolglycan class N (PIG-N)"
"Mycgr3G105180",1521.99534161243,-0.140493130210104,0.135266699314686,-1.03863797166558,0.298973139059375,0.419990004396062,"","Vacuolar ATP synthase subunit S1 (ATP6S1)"
"Mycgr3G34938",48.3171601459557,0.31317857131799,0.301605526861793,1.03837146015398,0.29909715127369,0.420067967985269,"cnxG","Acts as a sulfur carrier required for molybdopterin biosynthesis. Component of the molybdopterin synthase complex that catalyzes the conversion of precursor Z into molybdopterin by mediating the incorporation of 2 sulfur atoms into precursor Z to generate a dithiolene group. In the complex, serves as sulfur donor by being thiocarboxylated (-COSH) at its C-terminus by UBA4. After interaction with MOCS2B, the sulfur is then transferred to precursor Z to form molybdopterin"
"Mycgr3G95098",3.3088099791929,-1.33851698678147,1.29009267571251,-1.03753552902099,0.299486346526926,0.420486318823977,"","short chain dehydrogenase"
"Mycgr3G98909",154.582117530604,-0.252466830495642,0.24332274826304,-1.03758005487722,0.299465607534487,0.420486318823977,"","Protein kinase domain"
"Mycgr3G10621",40.8512276337138,0.4053513642915,0.390912800570845,1.03693551016894,0.299765913242911,0.420750540322202,"ago1","Belongs to the argonaute family"
"Mycgr3G107596",109.203883060211,0.236240588312022,0.227816328562062,1.03697829652129,0.299745972041401,0.420750540322202,"","AKAP7 2'5' RNA ligase-like domain"
"Mycgr3G22584",223.054278983363,-0.326938514632483,0.315349131414814,-1.03675095969243,0.29985193581363,0.420807143692125,"","Major Facilitator Superfamily"
"Mycgr3G108675",50.9995650757853,0.43380739257491,0.418894356407111,1.03560094792327,0.300388349573402,0.421495704894326,"",""
"Mycgr3G16788",77.7376605118973,-0.393057925084737,0.379756440082176,-1.03502635794585,0.300656601931473,0.421807837779851,"","Amidohydrolase"
"Mycgr3G106752",127.840052203855,-0.277452741712494,0.268178501841213,-1.03458233903019,0.300864005352913,0.422034520227719,"",""
"Mycgr3G97002",50.5531221493149,-0.346656445440485,0.33547549607445,-1.03332866184526,0.30145011854015,0.422792284745087,"",""
"Mycgr3G19757",9.96311373199969,0.705393085504904,0.682787389240367,1.03310795808588,0.301553379560054,0.422872707837451,"",""
"Mycgr3G10173",396.097765391021,-0.173767132679097,0.168235295698388,-1.03288154817778,0.301659334793252,0.422956883999856,"","Domain present in phytochromes and cGMP-specific phosphodiesterases."
"Mycgr3G105090",9833.13737520858,-0.137865710260418,0.133497081855304,-1.03272452359558,0.301732833657932,0.422995534351636,NA,NA
"Mycgr3G69990",148.330188025056,0.636787948208064,0.616907538273484,1.03222591507022,0.301966297538554,0.423258391785775,"","Sugar (and other) transporter"
"Mycgr3G92954",4.61498927862501,-1.30802588016841,1.26822062956463,-1.03138669224884,0.302359518924404,0.423745063122027,"","antibiotic catabolic process"
"Mycgr3G48212",48.5127243544478,-0.408938379701944,0.396760315795451,-1.03069375494895,0.302684454260289,0.424135900682137,"",""
"Mycgr3G36951",63.3220713363389,0.410227378002533,0.398543772029682,1.02931574093694,0.303331328810854,0.424977667278131,"","Phosphopantetheine attachment site"
"Mycgr3G109102",154.255389866772,-0.355218983258042,0.34521614394987,-1.02897558380011,0.303491148450697,0.425082240007705,"MSS116","helicase superfamily c-terminal domain"
"Mycgr3G69603",95.4829165931758,-0.240552244106991,0.233781830577601,-1.02896039231391,0.303498287333116,0.425082240007705,"","Peroxin 26"
"Mycgr3G40128",33.0796568395044,0.561449327553353,0.545837633942605,1.02860135073132,0.303667042984278,0.425151052692294,"","Protein of unknown function (DUF4246)"
"Mycgr3G49833",30.9941488832719,0.651084038674751,0.632967108730015,1.02862222964648,0.303657227831973,0.425151052692294,"","RNA polymerase"
"Mycgr3G89428",73.082150696107,0.345024369823895,0.335443695517362,1.02856119949357,0.303685918624162,0.425151052692294,"PLCB4","phosphatidylinositol phospholipase C activity"
"Mycgr3G92717",339.538815171978,0.25710937905157,0.250077556800912,1.02811856585858,0.303894058349273,0.425377775245243,"","Domain of unknown function (DUF4149)"
"Mycgr3G26273",157.076823695132,-0.285671714007056,0.277985787795758,-1.02764863006934,0.304115140060917,0.425608944585793,"USB1","Phosphodiesterase responsible for the U6 snRNA 3' end processing. Acts as an exoribonuclease (RNase) responsible for trimming the poly(U) tract of the last nucleotides in the pre-U6 snRNA molecule, leading to the formation of mature U6 snRNA"
"Mycgr3G83907",115.446341995871,0.308100298695674,0.299833568135331,1.02757106421324,0.304151641255196,0.425608944585793,"CDC14","Dual specificity protein phosphatase, N-terminal half"
"Mycgr3G25122",48.5155187286488,-0.311298072875073,0.303132046657628,-1.02693884169452,0.304449263098319,0.425766630808264,"","Kinase-like"
"Mycgr3G30085",39.959855576898,-0.389182332828342,0.378925315324803,-1.02706870480466,0.304388113629901,0.425766630808264,"","Phosphoglycerate mutase-like protein"
"Mycgr3G43769",436.45724220161,0.166377840423339,0.162011786786413,1.02694898762324,0.304444485326651,0.425766630808264,"HIS7","Belongs to the HisA HisF family"
"Mycgr3G80311",745.439910505308,0.174878086531094,0.170263683006468,1.02710151362372,0.30437266602313,0.425766630808264,"","Oligosaccharyltransferase subunit 5"
"Mycgr3G107505",18.8912395626269,0.666838826313966,0.649639649261321,1.02647494972359,0.304667765460818,0.426007508674259,"","Nbl1 / Borealin N terminal"
"Mycgr3G24656",396.262045074356,-0.204975742898898,0.199761289790329,-1.02610342130871,0.304842837799013,0.426187595763035,"","Putative lipopolysaccharide-modifying enzyme."
"Mycgr3G98119",8.4593843936934,0.981223734191978,0.956584269647557,1.02575775634853,0.305005782656154,0.426350675847074,"vid27","VID27 cytoplasmic protein"
"Mycgr3G91858",94.665057602319,0.317610011980886,0.309874867638297,1.02496215456756,0.305381045206441,0.426810448521189,"NCB2","Histone-like transcription factor (CBF/NF-Y) and archaeal histone"
"Mycgr3G85387",697.1848864629,-0.192786351706954,0.188160459619399,-1.02458482561592,0.305559127479625,0.426994537930176,"","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide"
"Mycgr3G108530",24.1970015784677,0.634277161958826,0.61918811854229,1.02436907777245,0.305660981688858,0.427068998491683,"",""
"Mycgr3G43752",39.0178764859438,0.572153926496243,0.558593777946888,1.02427550947523,0.305705162130218,0.427068998491683,"POL5","DNA polymerase phi"
"Mycgr3G106788",46.4775881166061,0.432034066993164,0.421968506371072,1.02385381958634,0.305904325334893,0.42728241043668,"",""
"Mycgr3G86264",354.919565084038,0.264574826319113,0.258627199653217,1.02299691089673,0.306309306384965,0.42778319722462,"PIM1","ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner"
"Mycgr3G101539",436.596459180078,0.284898693324112,0.278548863206018,1.02279610853554,0.306404258352545,0.427850919661651,"","Casein kinase substrate phosphoprotein PP28"
"Mycgr3G107614",205.783136323229,-0.24335703190955,0.238003751432725,-1.02249242057993,0.306547898143504,0.427921721085876,"",""
"Mycgr3G73508",430.561497352991,0.139376784020622,0.136308092857348,1.02251290513239,0.306538207858252,0.427921721085876,"","Acyl-CoA dehydrogenase, N-terminal domain"
"Mycgr3G45998",120.93785230902,0.302769711695426,0.296198749813829,1.0221842998518,0.306693680159773,0.428060336555222,"MAE1","Malic enzyme, NAD binding domain"
"Mycgr3G88858",379.226849608172,-0.286013583351549,0.279886127705857,-1.02189267362379,0.306831700387833,0.42818807832574,"",""
"Mycgr3G101466",609.314830907309,-0.184406622681788,0.180538138021934,-1.02142752053521,0.307051932169531,0.428430491416546,"","Transmembrane amino acid transporter protein"
"Mycgr3G99443",242.351367139792,0.234224509704974,0.229372714932207,1.0211524495152,0.30718221677752,0.428547346508738,"sds22","occurring C-terminal to leucine-rich repeats"
"Mycgr3G99349",96.4656035596454,0.322027325353295,0.315432466989598,1.02090735435904,0.307298334455793,0.428644405029294,"sap145","proline-rich domain in spliceosome associated proteins"
"Mycgr3G108384",210.818093179027,0.20759997697533,0.203505753967987,1.02011846312703,0.307672281354706,0.429067685659377,"rex2","EXOIII"
"Mycgr3G108932",206.098057704568,-0.32982039951515,0.323362091669366,-1.01997237156787,0.307741564098185,0.429067685659377,"","Pyridoxal-dependent decarboxylase conserved domain"
"Mycgr3G97474",18.6629190768142,-0.468876767604443,0.459676489154623,-1.02001468133978,0.307721497968082,0.429067685659377,"","Enoyl-(Acyl carrier protein) reductase"
"Mycgr3G66675",190.731366663476,0.246504401142021,0.241824807713454,1.01935117191993,0.308036278308491,0.429413576588388,"","SNF2 family N-terminal domain"
"Mycgr3G50597",1069.96636049741,-0.235264483145108,0.230831013704722,-1.01920655881214,0.308104913534314,0.429444248333207,"","Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family"
"Mycgr3G26212",73.5974209280596,0.294642847984173,0.289208064496063,1.01879195000174,0.308301748247566,0.429653571369829,"","NUDIX domain"
"Mycgr3G98392",431.373074469624,0.120029354281761,0.117834003994553,1.01863087235252,0.308378241973214,0.429695147576233,"ubc15","Belongs to the ubiquitin-conjugating enzyme family"
"Mycgr3G76594",140.771898119933,-0.324796988164909,0.318893679158009,-1.01851184075673,0.308434776628154,0.429708904382552,"",""
"Mycgr3G40511",31.1497882623302,-0.569176770547324,0.559129782162854,-1.01796897376063,0.308692700954076,0.43000318909183,"GCN5","bromo domain"
"Mycgr3G92716",20.9458714692781,-0.412558021163173,0.405531565436244,-1.0173265322007,0.308998118862017,0.430363532456188,NA,NA
"Mycgr3G50963",221.27808235337,-0.212907669675496,0.209447300673375,-1.01652143040753,0.309381147660019,0.430732829717777,"SLA2","I/LWEQ domain"
"Mycgr3G74566",228.036821492201,-0.29505535333418,0.29025993649056,-1.01652111173729,0.309381299330115,0.430732829717777,"","Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family"
"Mycgr3G92136",20.4310868745981,-0.474697104920151,0.467003559112346,-1.01647427660386,0.309403590898371,0.430732829717777,"","N-terminal domain on NACHT_NTPase and P-loop NTPases"
"Mycgr3G67977",162.306767846044,0.222790973815808,0.219205441641631,1.01635694874783,0.309459438718998,0.430745461179452,"END3","Actin cytoskeleton-regulatory complex protein END3"
"Mycgr3G75846",19.5319113428333,0.533991329695054,0.525716176263734,1.01574072437742,0.309752869615028,0.431023598713327,"","Pro-kumamolisin, activation domain"
"Mycgr3G95893",218.738687480601,-0.181550422174407,0.1787277379458,-1.01579320737256,0.309727871345642,0.431023598713327,"",""
"Mycgr3G108195",17.0039230953569,0.60391893360737,0.594819260204306,1.01529821579741,0.309963694657024,0.431251799984368,"",""
"Mycgr3G107673",261.323416108522,0.201979268889616,0.199106674054385,1.01442741610182,0.310378847753966,0.431719385998323,"","Cyclic phosphodiesterase-like protein"
"Mycgr3G13616",191.072662561147,0.217475327412944,0.214457742633773,1.01407076630628,0.310548986179482,0.431719385998323,"","Prion-inhibition and propagation"
"Mycgr3G34023",107.920657446843,-0.235945866561545,0.232627564053526,-1.01426444248565,0.310456586060304,0.431719385998323,"","Alpha/beta hydrolase family"
"Mycgr3G67015",11.6504394573277,0.721455986556628,0.711358449751663,1.01419472392363,0.310489845692627,0.431719385998323,"","Pro-kumamolisin, activation domain"
"Mycgr3G69029",60.2416461151517,0.407427381466643,0.401800741569432,1.01400355777153,0.310581054646421,0.431719385998323,"ECM16","Helicase associated domain (HA2)  Add an annotation"
"Mycgr3G88655",4.41153594142099,1.35084281108259,1.33172641440893,1.01435459751104,0.310413580585053,0.431719385998323,"","Fungal specific transcription factor domain"
"Mycgr3G110319",219.330459644336,-0.186023050141676,0.183499045997592,-1.01375486248641,0.310699738292111,0.431754019908262,NA,NA
"Mycgr3G60481",364.565431108977,0.195499248189829,0.192839559497842,1.01379223588206,0.310681900856945,0.431754019908262,"FCF1","Large family of predicted nucleotide-binding domains"
"Mycgr3G92237",94.2695715544072,0.326568013223817,0.322188496583341,1.01359302609162,0.310776986763748,0.431796208676427,"","Putative cyclase"
"Mycgr3G53498",4438.60761693807,0.124068815130874,0.122419127985978,1.01347573023951,0.310832982865296,0.431808860945318,"AAT1","Aminotransferase class I and II"
"Mycgr3G101229",873.98439013937,-0.106035793059201,0.104660510604737,-1.01314041414969,0.310993096801258,0.431966127970254,"","Serine threonine-protein phosphatase"
"Mycgr3G44078",165.193259029051,-0.33645672137351,0.332257669698067,-1.01263793753583,0.311233131983585,0.432234340587669,"NMA111","Trypsin-like peptidase domain"
"Mycgr3G74015",136.270029444339,0.241078566602345,0.238138467638202,1.01234617402767,0.311372564695983,0.432362778691995,"mcm7","Belongs to the MCM family"
"Mycgr3G41407",392.255363149586,0.133825577848867,0.13223881987738,1.01199918430124,0.311538443438375,0.432527894711894,"CAP1","F-actin-capping proteins bind in a Ca(2 )-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments"
"Mycgr3G51687",7.62706017770271,-0.951934933021222,0.941040151091504,-1.01157738266224,0.311740164535492,0.432657597972065,NA,NA
"Mycgr3G66114",94.8791958393822,-0.24882281209205,0.245963010198322,-1.01162695923839,0.311716450724079,0.432657597972065,"","Fungal specific transcription factor domain"
"Mycgr3G99433",807.697874928055,-0.189590399197178,0.187433205221009,-1.01150913454009,0.311772811395659,0.432657597972065,"ALG8","Belongs to the ALG6 ALG8 glucosyltransferase family"
"Mycgr3G67791",469.894530397339,0.153206249984639,0.151498372120398,1.011273242348,0.311885669065613,0.432749002022786,"","Voltage-dependent anion channel"
"Mycgr3G85996",314.615897528597,0.238474276306839,0.23594859186496,1.01070438446746,0.312157937940751,0.433061532162756,"","AAA ATPase domain"
"Mycgr3G107355",47.7478472957396,0.360246182352043,0.356665695550304,1.0100387753754,0.312476713038801,0.433384076961619,"","Set domain-containing protein"
"Mycgr3G85041",98.1313252709055,-0.280734319839594,0.277948606084013,-1.01002240592183,0.312484555437632,0.433384076961619,"","Pfam:WHIM2"
"Mycgr3G13612",28.7599118665655,-0.519869838523552,0.51478649270569,-1.00987466821661,0.312555340575605,0.433416975058085,"","7 transmembrane receptor (Secretin family)"
"Mycgr3G101009",96.9515363038816,-0.222365625256758,0.220287392565322,-1.00943418807238,0.312766449237078,0.433579140602778,"","Transport protein particle (TRAPP) component"
"Mycgr3G51033",14.9612115137761,-0.67126872941564,0.664975158710251,-1.00946436964291,0.312751981137239,0.433579140602778,"","Domain of unknown function (DUF3328)"
"Mycgr3G28863",129.361519172369,-0.218492039106394,0.216508696369215,-1.00916056846879,0.312897634019515,0.43369571217425,"","CoA binding domain"
"Mycgr3G58567",33.7782116807459,0.571895699112012,0.567101664820204,1.00845357118345,0.313236766090646,0.434100433247368,"","NAD dependent epimerase/dehydratase family"
"Mycgr3G101230",741.267412444662,0.218250102038647,0.216599147863121,1.00762216376109,0.31363588461688,0.434559629065862,"","Mycolic acid cyclopropane synthetase"
"Mycgr3G107729",143.022717480314,-0.240688646223923,0.238881087920169,-1.00756677022652,0.313662488261569,0.434559629065862,"SHE3","RNA-binding protein that binds specific mRNAs including the ASH1 mRNA, coding for a repressor of the HO endonuclease. Part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud and in the daughter cell"
"Mycgr3G75941",244.599262902595,-0.243141323743886,0.241392817059567,-1.0072434080915,0.313817817812798,0.434709429037012,"NMD3","Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit"
"Mycgr3G39611",35.0040384299134,0.472073645430977,0.468756825546731,1.00707577938812,0.313898359496334,0.43475560123353,"","AAR2 protein"
"Mycgr3G107136",967.697761583179,0.105514860441017,0.104801877045362,1.00680315482657,0.314029378282459,0.434871660842582,"",""
"Mycgr3G102943",5559.94675629732,0.139039986526808,0.13813799074677,1.00652967207038,0.314160845639404,0.434988306644606,"ARF1","Belongs to the small GTPase superfamily. Arf family"
"Mycgr3G54740",7521.7858793614,-0.185812173879426,0.184690890647802,-1.00607113446522,0.314381352917767,0.435228183857444,"ERG13","This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase"
"Mycgr3G94201",10.7539473558584,0.651887463761802,0.648298503338884,1.00553596900877,0.314638838626531,0.435519174043548,"",""
"Mycgr3G77354",5663.78862142176,0.447006179216951,0.444995052236776,1.00451943672197,0.31512830741668,0.436131136609589,"","DJ-1/PfpI family"
"Mycgr3G39787",11.210298558225,-0.781153000869197,0.778124651792457,-1.00389185597676,0.3154307424528,0.436484103267894,"",""
"Mycgr3G107517",49.8218928787824,-0.359949665316055,0.358695456217835,-1.00349658485068,0.3156213238772,0.436682207269401,"",""
"Mycgr3G10165",24.6940926982601,-0.571848654737433,0.570730957906828,-1.00195836026611,0.316363704157457,0.437643585937512,"","Glycosyltransferase family 1 protein"
"Mycgr3G26886",115.314757943793,-0.242582651543196,0.242209969342228,-1.00153867407679,0.316566452570393,0.43785828502865,"SFL1","heat shock factor"
"Mycgr3G31624",411.71176149746,0.162497313348627,0.162270930548508,1.00139509152597,0.316635836191013,0.437888484079146,"DCG1","Hydantoin racemase"
"Mycgr3G69448",68.2984276203001,0.25849469333022,0.258288816948665,1.00079707818552,0.316924922422939,0.438222464052979,"","NADH:flavin oxidoreductase / NADH oxidase family"
