,Ribosome (map03010),Ribosome biogenesis (map03008),OXPHOS (map00190),TCA (map00020),AOX,ABC transporters,Glutathione,Xenobiotic P450 (map00980),FA degradation (map00071),Ergosterol (map00100),cond
12129_21_2_R8_S39,-0.8431460150143418,-0.17729734932893576,-0.41155113001202615,-0.18419499095916814,1.0908308809519847,0.28384831208605177,0.37483820771252674,0.6107151925877021,0.4481788270116105,-0.4349079171545102,21_2
12129_27_0_R1_S40,0.6684197739236237,0.02514361125785728,0.37547187590853537,0.2828110442403597,-1.0122272129320626,-0.24532734706719864,-0.08760527536331274,-0.5015355028885238,-0.43918444224196473,0.18214970125428076,27_0
12129_27_0_R2_S41,1.091351674527821,0.07985698810136496,1.1174881059248378,0.6366579114349944,-0.5654546834833002,-0.20014029516800183,0.23187951610459764,-0.15144010556076234,-0.3574447975830362,-0.20050597466013823,27_0
12129_27_0_R4_S42,-0.5272358873272982,0.0702049383518945,-0.38984338342683533,-0.1209560248580552,0.38521408047381966,0.26373007054511055,0.4764098082560323,0.3391080191221606,0.23114367150795692,-0.4801921272247796,27_0
12129_27_0_R5_S43,0.1055184297903867,-0.11151079160031577,-0.025444558050432654,0.2753577388605137,-0.04304857147180834,-0.25766716167600595,0.2312739616224047,0.027172777215926584,0.15203687019972517,-0.13622733792395347,27_0
12129_27_0_R6_S44,-0.4680082870925104,-0.037367845339974254,-0.003947653640687422,0.07156583097936114,0.582374063269361,0.12073890658638274,0.6260346706170965,0.4832777906499608,0.22780204103499052,-0.12227465192547238,27_0
12129_27_0_R7_S45,-0.541126077328965,-0.1553922702416873,-0.16585820809260712,-0.35976056537489265,0.8448493801496757,0.02454839398522833,0.5186822191287004,0.46425173775796036,0.11137924791478188,-0.6132782932814355,27_0
12129_27_0_R8_S46,0.01778625592542212,-0.1729517419825635,0.18666947306324036,-0.012865654842216908,0.2762428932038223,0.15364676399328125,0.3158174692450288,0.1557548575885236,0.02109443941124119,-0.39504068338713755,27_0
12129_27_2_R1_S47,-0.33667515147756033,-0.40683226477783485,-0.05854039432597207,0.1982284745438165,0.9037615981807813,-0.05995669243628236,0.09377296326248194,0.24310984657003754,0.47318476315394875,-0.11608784459151454,27_2
12129_27_2_R2_S48,-0.4833119957658451,-0.30448062745737015,-0.3809894284817344,-0.2806290096654963,0.84889829659679,0.20435315075300517,-0.0428649068513637,0.0944263454848793,0.27610629714164797,-0.22544109582678015,27_2
12129_27_2_R3_S49,-0.7521129567700628,-0.4017816304019224,-0.3338721218430211,-0.4390403234091091,1.6811807204414226,0.09559063081854068,0.5436436417883898,0.4039021482764348,0.3476432962058851,-1.3051841233482628,27_2
12129_27_2_R4_S50,-0.3941555764091812,-0.5524138605781322,0.08467701796969156,0.021890085294304747,0.5351291679086292,-0.11791926804598458,0.1413015508466016,0.15978945930569063,0.2662054487463992,0.40054944022654704,27_2
12129_27_2_R6_S51,-0.4046892013427031,-0.29784675791546633,-0.15297134955673514,-0.316206996777539,0.8914826154854024,0.2679391573480964,0.28038348810417557,0.26291991759097255,0.07302150423844787,-0.11127477984751287,27_2
12129_27_2_R7_S52,-0.7476028678520104,-0.3210376219785043,-0.5846594903689023,-0.2656648521885523,0.7799739804704477,0.23831842918021362,0.00576401768256162,-0.04966096126067951,0.25108881433615354,0.041131816877138794,27_2
12129_27_2_R8_S53,-0.4846946346224574,-0.4893521323971935,0.2837913892516821,-0.29271268562464076,1.5076842295247348,0.029522788469606563,0.6606391109206305,0.7443863919036784,0.2905115117212453,-0.8878290625716067,27_2
