rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth,refined
3NTD2ppNo2,P00634,Topt_i,0.0,CT_max_C,False,False
3NTD9ppNo1,P08331,Topt_i,0.0,CT_max_C,False,False
3NTD9ppNo2,P00634,Topt_i,0.0,CT_max_C,False,False
RMKNo1,P32171,Topt_i,0.0,CT_max_C,False,False
MEPCTNo1,Q46893,Topt_i,6.824199441111387e-06,CT_max_C,False,False
GLUDyNo1,P00370,Topt_i,0.007532309627478038,niche_width_C,False,True
GLUDyNo2,P09831,Topt_i,0.0,CT_max_C,False,False
23PDE7ppNo1,P08331,Topt_i,0.0,CT_max_C,False,False
GALTptsppNo1,P08839,Topt_i,0.0,CT_max_C,False,False
ZN2abcppNo1,P37617,Topt_i,0.0,CT_max_C,False,False
GLYCLTDyNo1,P75913,Topt_i,0.0,CT_max_C,False,False
GLYCLTDyNo2,P37666,Topt_i,0.0,CT_max_C,False,False
LYSDCNo1,P52095,Topt_i,0.0,CT_max_C,False,False
LYSDCNo2,P0A9H3,Topt_i,0.0,CT_max_C,False,False
DAADNo1,P0A6J5,Topt_i,0.0003120308083447337,CT_max_C,False,False
GLCptsppNo1,P08839,Topt_i,0.0,CT_max_C,False,False
GLCptsppNo2,P08839,Topt_i,0.0,CT_max_C,False,False
GLCptsppNo3,P08839,Topt_i,0.0,CT_max_C,False,False
GLYC3PabcppNo1,P0AG80,Topt_i,0.0,CT_max_C,False,False
ACMUMptsppNo1,P08839,Topt_i,0.0,CT_max_C,False,False
HSTPTNo1,P06986,Topt_i,0.0,CT_max_C,False,False
SPMDabcppNo1,P0AFK4,Topt_i,0.0,CT_max_C,False,False
SPMDabcppNo2,P0AFR9,Topt_i,0.0,CT_max_C,False,False
NTPP5No1,P0AFC0,Topt_i,0.0,CT_max_C,False,False
NTPP5No2,P0AEY3,Topt_i,0.0,CT_max_C,False,False
THDPSNo1,P0A9D8,Topt_i,0.0,CT_max_C,False,False
ACONMTNo1,P76145,Topt_i,0.0,CT_max_C,False,False
THRD_LNo1,P04968,Topt_i,0.0,CT_max_C,False,False
THRD_LNo2,P0AGF6,Topt_i,0.0,CT_max_C,False,False
NTD3No1,P0A840,Topt_i,0.0,CT_max_C,False,False
NTD3No2,P76491,Topt_i,0.0,CT_max_C,False,False
NTD3No3,P76514,Topt_i,0.0,CT_max_C,False,False
GLYOXNo1,P0AC84,Topt_i,0.0,CT_max_C,False,False
NAMNPPNo1,P18133,Topt_i,0.0,CT_max_C,False,False
SELNPSNo1,P16456,Topt_i,0.0,CT_max_C,False,False
MTRPOXNo1,P40874,Topt_i,0.0,CT_max_C,False,False
AGM4PCPppNo1,P0AFV4,Topt_i,0.0,CT_max_C,False,False
GTPDPDPNo1,P25552,Topt_i,0.0,CT_max_C,False,False
CRNCARNo1,P31551,Topt_i,0.0,CT_max_C,False,False
GALabcppNo1,P0AAG8,Topt_i,0.0,CT_max_C,False,False
GALabcppNo2,P37772,Topt_i,0.0,CT_max_C,False,False
RNDR2No1,P00452,Topt_i,0.0,CT_max_C,False,False
RNDR2No2,P00452,Topt_i,0.0,CT_max_C,False,False
ANHMKNo1,P77570,Topt_i,0.0,CT_max_C,False,False
DHFRNo1,P0AFS3,Topt_i,0.0,CT_max_C,False,False
DHFRNo2,P0ABQ4,Topt_i,0.0002654587287595653,CT_max_C,False,False
PRAIiNo1,P00909,Topt_i,0.0,CT_max_C,False,False
XANDNo1,Q46799,Topt_i,0.0,CT_max_C,False,False
HACD3No1,P21177,Topt_i,0.0,CT_max_C,False,False
HACD3No2,P77399,Topt_i,5.070856792235718e-05,CT_max_C,False,False
TYRTANo1,P04693,Topt_i,0.0,CT_max_C,False,False
TYRTANo2,P00509,Topt_i,0.0,CT_max_C,False,False
TYRTANo3,P0AB80,Topt_i,0.0,CT_max_C,False,False
SHKKNo1,P0A6D7,Topt_i,0.0,CT_max_C,False,False
SHKKNo2,P0A6E1,Topt_i,3.325632781333847e-06,CT_max_C,False,False
ARBTNabcppNo1,P06972,Topt_i,0.0,CT_max_C,False,False
NNDMBRTNo1,P36562,Topt_i,0.0,CT_max_C,False,False
THRA2No1,P0A825,Topt_i,0.0,CT_max_C,False,False
THRA2No2,P75823,Topt_i,0.0,CT_max_C,False,False
PPKNo1,P0A7B1,Topt_i,0.0,CT_max_C,False,False
SADHNo1,P76216,Topt_i,0.0,CT_max_C,False,False
GLUSyNo1,P09831,Topt_i,0.0,CT_max_C,False,False
