EFMGRG_id_original,Mycgr3G_id,match_confidence
Mycgr3G101080,Mycgr3G101080,unique
Mycgr3G101090,Mycgr3G101090,unique
Mycgr3G101096,Mycgr3G101096,unique
Mycgr3G101103,Mycgr3G101103,unique
Mycgr3G101108,Mycgr3G101108,unique
Mycgr3G101114,Mycgr3G101114,unique
Mycgr3G101121,Mycgr3G101121,unique
Mycgr3G101124,Mycgr3G101124,unique
Mycgr3G101134,Mycgr3G101134,unique
Mycgr3G101149,Mycgr3G101149,unique
Mycgr3G101160,Mycgr3G101160,unique
Mycgr3G101162,Mycgr3G101162,unique
Mycgr3G101169,Mycgr3G101169,unique
Mycgr3G101180,Mycgr3G101180,unique
Mycgr3G101182,Mycgr3G101182,unique
Mycgr3G101192,Mycgr3G101192,unique
Mycgr3G101194,Mycgr3G101194,unique
Mycgr3G101204,Mycgr3G101204,unique
Mycgr3G101206,Mycgr3G101206,unique
Mycgr3G101210,Mycgr3G101210,unique
Mycgr3G101221,Mycgr3G101221,unique
Mycgr3G101229,Mycgr3G101229,unique
Mycgr3G101230,Mycgr3G101230,unique
Mycgr3G101235,Mycgr3G101235,unique
Mycgr3G101238,Mycgr3G101238,unique
Mycgr3G101240,Mycgr3G101240,unique
Mycgr3G101252,Mycgr3G101252,unique
Mycgr3G10126,Mycgr3G10126,unique
Mycgr3G101265,Mycgr3G101265,unique
Mycgr3G101270,Mycgr3G101270,unique
Mycgr3G101271,Mycgr3G101271,unique
Mycgr3G101275,Mycgr3G101275,unique
Mycgr3G101277,Mycgr3G101277,unique
Mycgr3G101279,Mycgr3G101279,unique
Mycgr3G101297,Mycgr3G101297,unique
Mycgr3G101300,Mycgr3G101300,unique
Mycgr3G101301,Mycgr3G101301,unique
Mycgr3G101325,Mycgr3G101325,unique
Mycgr3G101326,Mycgr3G101326,unique
Mycgr3G101338,Mycgr3G101338,unique
Mycgr3G101342,Mycgr3G101342,unique
Mycgr3G101353,Mycgr3G101353,unique
Mycgr3G101356,Mycgr3G101356,unique
Mycgr3G101358,Mycgr3G101358,unique
Mycgr3G101362,Mycgr3G101362,unique
Mycgr3G101365,Mycgr3G101365,unique
Mycgr3G101366,Mycgr3G101366,unique
Mycgr3G101384,Mycgr3G101384,unique
Mycgr3G101387,Mycgr3G101387,unique
Mycgr3G101398,Mycgr3G101398,unique
Mycgr3G101405,Mycgr3G101405,unique
Mycgr3G101408,Mycgr3G101408,unique
