module,n_genes,trait,pearson_r,pearson_p,spearman_rho,spearman_p
Xenobiotic P450,36,respiration,0.5344173687008976,0.27468926130041793,0.3714285714285715,0.4684781341107872
Xenobiotic P450,36,CUE,-0.935595394590185,0.006088356152503339,-0.8285714285714287,0.04156268221574335
Ergosterol,24,growth,0.3228687510645861,0.5325254756428501,0.2571428571428572,0.6227871720116619
Ergosterol,24,respiration,-0.8520607587549299,0.031210128120473697,-0.7714285714285715,0.07239650145772594
Ergosterol,24,CUE,0.6725547499186071,0.14327618369776918,0.6,0.208
FA biosynthesis,14,growth,-0.32431881277947694,0.5305781437803064,-0.2571428571428572,0.6227871720116619
FA biosynthesis,14,respiration,0.8875443947169371,0.018258323150280354,0.7714285714285715,0.07239650145772594
FA biosynthesis,14,CUE,-0.78776136834581,0.06278768544273998,-0.6,0.208
FA elongation,11,growth,0.9534800633323374,0.003195819759027973,0.942857142857143,0.004804664723032055
FA elongation,11,respiration,-0.07880317619075934,0.8820399172346024,0.08571428571428573,0.8717434402332361
FA elongation,11,CUE,0.5406946069986875,0.26799430157865617,0.6,0.208
Unsat. FA biosynthesis,20,growth,-0.32771376737692215,0.5260269741562339,-0.08571428571428573,0.8717434402332361
Unsat. FA biosynthesis,20,respiration,0.7945202877773732,0.05899499502513628,0.8285714285714287,0.04156268221574335
Unsat. FA biosynthesis,20,CUE,-0.8254971586516245,0.04301994836371865,-0.7714285714285715,0.07239650145772594
FA degradation,36,growth,-0.870545790515593,0.0240528663126905,-0.7714285714285715,0.07239650145772594
FA degradation,36,respiration,0.4520993501427581,0.3680541319258679,0.2571428571428572,0.6227871720116619
FA degradation,36,CUE,-0.9050404620438857,0.013097830794912581,-0.7714285714285715,0.07239650145772594
Glycerophospholipid,46,growth,0.6967328337422329,0.124010572843836,0.3142857142857143,0.5440932944606415
Glycerophospholipid,46,respiration,-0.5390223271662713,0.2697716489196462,-0.6,0.208
Glycerophospholipid,46,CUE,0.7912446503426505,0.06081954061642778,0.6571428571428573,0.1561749271137024
Glycerolipid,40,growth,-0.8297274149914164,0.04102079429084932,-0.8857142857142858,0.01884548104956266
Glycerolipid,40,respiration,-0.012890591761439167,0.980665183355616,-0.2,0.7040000000000001
Glycerolipid,40,CUE,-0.5649011679102884,0.2427819944015226,-0.5428571428571429,0.26570262390670546
Ether lipid,13,growth,0.5755467026398953,0.23200602174958765,0.3142857142857143,0.5440932944606415
Ether lipid,13,respiration,-0.6250054399411391,0.18456534008154601,-0.6,0.208
Ether lipid,13,CUE,0.8030413924537788,0.05436876222317258,0.6571428571428573,0.1561749271137024
Sphingolipid,24,growth,-0.5945081183015916,0.21329926829892706,-0.5428571428571429,0.26570262390670546
Sphingolipid,24,respiration,-0.4150859201308609,0.41313000829129465,-0.6571428571428573,0.1561749271137024
Sphingolipid,24,CUE,-0.19139291565188798,0.7164161072169886,-0.028571428571428574,0.9571545189504373
GPI anchor,23,growth,0.9005177125699373,0.014352813822460012,0.7142857142857143,0.11078717201166179
GPI anchor,23,respiration,-0.4979406253532578,0.314819972878608,-0.48571428571428577,0.3287230320699708
GPI anchor,23,CUE,0.8594571541461856,0.028240415649807688,0.8857142857142858,0.01884548104956266
Peroxisome,73,growth,-0.8176449554743458,0.04684808421779448,-0.7714285714285715,0.07239650145772594
Peroxisome,73,respiration,0.5977282289134462,0.2101855392303328,0.6,0.208
Peroxisome,73,CUE,-0.9510796446324111,0.0035312636281028616,-0.942857142857143,0.004804664723032055
Starch/sucrose (storage),60,growth,0.030932636594829508,0.9536158437142634,-0.14285714285714288,0.7871720116618076
Starch/sucrose (storage),60,respiration,-0.8203300001571179,0.04552197188788835,-0.942857142857143,0.004804664723032055
Starch/sucrose (storage),60,CUE,0.6522601623558582,0.1603596207575978,0.5428571428571429,0.26570262390670546
Cell wall (chitin/glucan),4,growth,-0.37104940943087855,0.4689684938575348,-0.5428571428571429,0.26570262390670546
Cell wall (chitin/glucan),4,respiration,0.12842291950720713,0.808424624788115,0.028571428571428574,0.9571545189504373
Cell wall (chitin/glucan),4,CUE,-0.1276707202822484,0.8095344239980582,-0.3714285714285715,0.4684781341107872
