"File","Time","T","Dose","Replicate","Oxygen"
"sham_15_Oxygen.csv",200.52,15,"Control","R1",11.92
"sham_15_Oxygen.csv",201.52,15,"Control","R1",11.93
"sham_15_Oxygen.csv",202.52,15,"Control","R1",11.92
"sham_15_Oxygen.csv",203.53,15,"Control","R1",11.92
"sham_15_Oxygen.csv",204.53,15,"Control","R1",11.9
"sham_15_Oxygen.csv",205.53,15,"Control","R1",11.92
"sham_15_Oxygen.csv",206.53,15,"Control","R1",11.93
"sham_15_Oxygen.csv",207.53,15,"Control","R1",11.92
"sham_15_Oxygen.csv",208.53,15,"Control","R1",11.9
"sham_15_Oxygen.csv",209.55,15,"Control","R1",11.9
"sham_15_Oxygen.csv",210.55,15,"Control","R1",11.88
"sham_15_Oxygen.csv",211.55,15,"Control","R1",11.9
"sham_15_Oxygen.csv",212.55,15,"Control","R1",11.9
"sham_15_Oxygen.csv",213.55,15,"Control","R1",11.9
"sham_15_Oxygen.csv",214.55,15,"Control","R1",11.88
"sham_15_Oxygen.csv",215.55,15,"Control","R1",11.9
"sham_15_Oxygen.csv",216.57,15,"Control","R1",11.88
"sham_15_Oxygen.csv",217.57,15,"Control","R1",11.9
"sham_15_Oxygen.csv",218.57,15,"Control","R1",11.88
"sham_15_Oxygen.csv",219.57,15,"Control","R1",11.88
"sham_15_Oxygen.csv",220.58,15,"Control","R1",11.92
"sham_15_Oxygen.csv",221.58,15,"Control","R1",11.92
"sham_15_Oxygen.csv",222.58,15,"Control","R1",11.92
"sham_15_Oxygen.csv",223.58,15,"Control","R1",11.9
"sham_15_Oxygen.csv",224.58,15,"Control","R1",11.92
"sham_15_Oxygen.csv",225.58,15,"Control","R1",11.88
"sham_15_Oxygen.csv",226.6,15,"Control","R1",11.88
"sham_15_Oxygen.csv",227.6,15,"Control","R1",11.9
"sham_15_Oxygen.csv",228.6,15,"Control","R1",11.9
"sham_15_Oxygen.csv",229.6,15,"Control","R1",11.9
"sham_15_Oxygen.csv",230.6,15,"Control","R1",11.88
"sham_15_Oxygen.csv",231.6,15,"Control","R1",11.88
"sham_15_Oxygen.csv",232.6,15,"Control","R1",11.85
"sham_15_Oxygen.csv",233.6,15,"Control","R1",11.87
"sham_15_Oxygen.csv",234.62,15,"Control","R1",11.88
"sham_15_Oxygen.csv",235.62,15,"Control","R1",11.88
"sham_15_Oxygen.csv",236.62,15,"Control","R1",11.88
